"doc_id","path","language","branch","file_type","provenance_url_or_path","sha256","license_or_availability_note","witness_category"
"src-openlogic-sfr","source_bodies/openlogic/sets-functions-relations.tex","en","Germanic/West Germanic","tex","packaged from handoff-bodies/olp-relation-function-support-20260705/native-source-bodies/openlogic-olp/sets-functions-relations.tex","62c683ba88df4742cbef61369a755fbae8dd53e2173d5f3d1b8a9fc675f27538","OpenLogic license signal copied in source_witnesses/openlogic/LICENSE.md; no license-clearance claim","source-witness"
"src-openlogic-sfr-complete","source_bodies/openlogic/sets-functions-relations-complete.tex","en","Germanic/West Germanic","tex","packaged from OLP source-body package","03e55d8ee2ec4586a5dc8b64e6fa59950c46da3cdee54267946015e7bbd989ed","OpenLogic license signal copied; no license-clearance claim","source-witness"
"src-dmoi-sets","source_bodies/dmoi/sec_structures-sets.ptx","en","Germanic/West Germanic","ptx","packaged from DMOI edition source cache","0d525f026c14b828c16a7e4534dbe7df0bed77919456262d31a088eb643c8af7","DMOI license signal copied; no license-clearance claim","source-witness"
"src-dmoi-relations","source_bodies/dmoi/sec_structures-relations.ptx","en","Germanic/West Germanic","ptx","packaged from DMOI edition source cache","688add4ecd65787fba6beb4bc516f22c355753c427ee0a34c32d9f26a2220094","DMOI license signal copied; no license-clearance claim","source-witness"
"src-dmoi-functions","source_bodies/dmoi/sec_structures-functions.ptx","en","Germanic/West Germanic","ptx","packaged from DMOI edition source cache","56ec951f529b91b0e4041a3c54bca3afb9997aa34ef326219a82bfde276cf292","DMOI license signal copied; no license-clearance claim","source-witness"
"src-openintro-ims","source_bodies/openintro/github_ims_index_qmd_at_b88f367a.qmd","en","Germanic/West Germanic","qmd","packaged from OpenIntro IMS source witness cache","e0745bf7528b494b188e7e62ad86d0322a4ca8a9271a439319372652a8e52117","OpenIntro license page copied; no license-clearance claim","source-witness"
"src-aata-project","source_bodies/aata/project_ptx_at_master.ptx","en","Germanic/West Germanic","ptx","packaged from AATA source witness cache","d7d0f199c46124d3ebe1585013cb3197d72b9d2fd6384bd7f5fb9a67ab65e091","GFDL signal copied in source_witnesses/aata/COPYING_at_master.txt; no license-clearance claim","source-witness"
"draft-olp-il-scaffold","generated-draft/NONCANONICAL_INTERLANGUAGE_RELATION_FUNCTION_SCAFFOLDS.csv","x-il-draft","generated-draft","csv","handoff-bodies generated-draft scaffold, copied as derived support by this package","73f7424f0d0fc9bb7607e3530c792958b6dbc2d78c9ce2cbad9eee43428fbf2c","project-generated draft; not source witness","generated-draft"
"src-fable-recovery-be-bnt-elementary","source_bodies/fable_mirror_underrepresented_slavic/interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/shelves/underrepresented_slavic/belarusian/belarusian_bnt_elementary_math.html","be","Slavic/East","html","origin/codex/noether-pc-20260629 Fable full mirror under underrepresented_slavic shelf","52cc7e17a36743949dce632c15b98163b66acccae779e691eaa1f2d0e15b4344","availability/license signal inherited from Fable mirror; no license-clearance claim","source-witness; source-acquisition-recovery; not row-verified relation/function attestation"
"src-fable-recovery-be-algebra","source_bodies/fable_mirror_underrepresented_slavic/interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/shelves/underrepresented_slavic/belarusian/belarusian_rubelmatslovar_1993_algebra.html","be","Slavic/East","html","origin/codex/noether-pc-20260629 Fable full mirror under underrepresented_slavic shelf","9d095f356e9fb009b0400378c1f37289605a4a3ee145c209b3d6141025f12fa0","availability/license signal inherited from Fable mirror; no license-clearance claim","source-witness; source-acquisition-recovery; not row-verified relation/function attestation"
