"lexeme_id","language","branch","script","source_form","normalized_form","source_document","source_location","witness_category"
"rf_relation","en","Germanic","Latin","relation","relation","src-openlogic-sfr; src-dmoi-relations","sets/functions/relations sections","source-witness"
"rf_relation","x-il-draft","generated-draft","Latin","relatio","relatio","draft-olp-il-scaffold","K-IL-003","generated-draft"
"rf_function","en","Germanic","Latin","function","function","src-openlogic-sfr; src-dmoi-functions","function sections","source-witness"
"rf_function","x-il-draft","generated-draft","Latin","functio","functio","draft-olp-il-scaffold","K-IL-003","generated-draft"
"rf_domain","en","Germanic","Latin","domain","domain","src-openlogic-sfr-complete; src-dmoi-functions","domain/codomain rows","source-witness"
"rf_domain","x-il-draft","generated-draft","Latin","dominio","dominio","draft-olp-il-scaffold","K-IL-004","generated-draft"
"rf_codomain","en","Germanic","Latin","codomain","codomain","src-openlogic-sfr-complete; src-dmoi-functions","domain/codomain rows","source-witness"
"rf_codomain","x-il-draft","generated-draft","Latin","codominio","codominio","draft-olp-il-scaffold","K-IL-004","generated-draft"
"rf_image_range","en","Germanic","Latin","image/range","image range","src-openlogic-sfr-complete; src-dmoi-functions","image/range rows","source-witness"
"rf_image_range","x-il-draft","generated-draft","Latin","imago/rango","imago rango","draft-olp-il-scaffold","K-IL-004","generated-draft"
"rf_injective","en","Germanic","Latin","injective/one-to-one","injective one-to-one","src-openlogic-sfr; src-dmoi-functions","property rows","source-witness"
"rf_surjective","en","Germanic","Latin","surjective/onto","surjective onto","src-openlogic-sfr; src-dmoi-functions","property rows","source-witness"
"rf_bijective","en","Germanic","Latin","bijective/bijection","bijective bijection","src-openlogic-sfr; src-dmoi-functions","property rows","source-witness"
"rf_equivalence_relation","en","Germanic","Latin","equivalence relation","equivalence relation","src-openlogic-sfr; src-dmoi-relations","relation property rows","source-witness"
"rf_partial_order","en","Germanic","Latin","partial order","partial order","src-openlogic-sfr; src-dmoi-relations","relation property rows","source-witness"
"rf_composition","en","Germanic","Latin","composition","composition","src-openlogic-sfr; src-dmoi-functions","composition rows","source-witness"
"rf_inverse","en","Germanic","Latin","inverse","inverse","src-openlogic-sfr; src-dmoi-functions","inverse rows","source-witness"
"rf_cardinality","en","Germanic","Latin","cardinality/same size/bijection","cardinality same size bijection","src-openlogic-sfr-complete; src-dmoi-sets","sets/cardinality rows","source-witness"
"rf_linear_map","en","Germanic","Latin","linear map/homomorphism","linear map homomorphism","src-aata-project","project source witness","source-witness"
"rf_function","mk","Slavic/South","Latin transliteration in source text","funkcija","funkcija","src-fable-recovery-mk-lexicon","macedonian_ukim_math_lexicon.txt lines with function/funkcija","source-witness; term-probe; not native review"
"rf_relation","mk","Slavic/South","Latin transliteration in source text","relacija","relacija","src-fable-recovery-mk-lexicon","macedonian_ukim_math_lexicon.txt lines with relation/relacija","source-witness; term-probe; not native review"
"rf_domain","mk","Slavic/South","Latin transliteration in source text","domen","domen","src-fable-recovery-mk-lexicon","macedonian_ukim_math_lexicon.txt line with Funkcija f so domen D","source-witness; term-probe; not native review"
