"lexeme_id","route","needed_next_evidence","can_be_used_now","blocked_claims"
"rf_relation","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_function","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_domain","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_codomain","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_image_range","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_injective","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_surjective","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_bijective","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_equivalence_relation","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_partial_order","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_composition","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_inverse","relation/function language owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_cardinality","set-theory/relation-function owner lanes","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
"rf_linear_map","advanced algebra owner lane; Session D if new construction method arises","target-language source witness plus false-friend check plus owner review","pretranslation/interlinear scaffold only","native review; accepted terminology; source certification; translation completion"
