"lexeme_id","source_probe_languages","coverage_bucket","generated_interlanguage_control","formula_neighboring_usage_note","macedonian_probe","upper_sorbian_probe","handoff_action","required_review_before_use","source_use_label"
"rf_relation","en; mk","source-probe-baseline-sufficient-for-scoped-owner-draft","relatio","R subset A x B; x R y; ordered pairs","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_function","en; mk; pl; uk","source-probe-baseline-sufficient-for-scoped-owner-draft","functio","f: A -> B; f(x)=y; uniqueness of output","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_domain","en; mk; pl; uk","source-probe-baseline-sufficient-for-scoped-owner-draft","dominio","domain(f); x in A; f: A -> B","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_codomain","en; mk; pl","source-probe-baseline-sufficient-for-scoped-owner-draft","codominio","codomain B in f: A -> B; distinguish from image","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_image_range","en; pl; uk","source-probe-baseline-sufficient-for-scoped-owner-draft","imago/rango","im(f); f(A); range(f); f^{-1}(S)","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_injective","en; pl; uk","source-probe-baseline-sufficient-for-scoped-owner-draft","injectiv","f(x1)=f(x2) => x1=x2","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_surjective","en; pl; uk","source-probe-baseline-sufficient-for-scoped-owner-draft","surjectiv","forall y in B exists x in A with f(x)=y","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_bijective","en; mk; pl; uk","source-probe-baseline-sufficient-for-scoped-owner-draft","bijectiv","injective and surjective; inverse exists","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_equivalence_relation","en","source-probe-baseline-sufficient-for-scoped-owner-draft","equivalens relatio","reflexive; symmetric; transitive; equivalence classes","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_partial_order","en","source-probe-baseline-sufficient-for-scoped-owner-draft","ordo partial","reflexive; antisymmetric; transitive; poset","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_composition","en; mk; hsb","source-probe-baseline-sufficient-for-scoped-owner-draft","compositio","g o f; g(f(x)); A -> B -> C","source-probe present in recovered Macedonian lexicon; not approval","general Kompozicije source probe present; weak topic fit; not approval","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_inverse","en; mk; pl; uk","source-probe-baseline-sufficient-for-scoped-owner-draft","inversa","f^{-1}; inverse image; inverse function when bijective","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_cardinality","en; mk; pl; uk","source-probe-baseline-sufficient-for-scoped-owner-draft","kardinalitas/equinumeral","|A|; bijection A -> B; finite/infinite","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
"rf_linear_map","en; pl; uk","source-probe-baseline-sufficient-for-scoped-owner-draft","mapa linear / homomorfismo","T(u+v)=T(u)+T(v); T(cu)=cT(u); ker(T); im(T)","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","language owner may start bounded draft rendering with source-context notes and caveats","source context check; formula-neighboring check; false-friend/adverse-evidence check; native review if available","generated-draft/non-canonical owner handoff"
