"lexeme_id","gloss","source_spine","formula_neighboring_usage_note","generated_interlanguage_control","english_control","spanish_slot","french_slot","german_slot","russian_slot","ukrainian_slot","interslavic_slot","macedonian_probe","upper_sorbian_probe","branch_metric_status","source_use_label","owner_route"
"rf_relation","relation as subset/predicate between objects","OpenLogic sets-functions-relations; DMOI relations","R subset A x B; x R y; ordered pairs","relatio","relation as subset/predicate between objects","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
"rf_function","function as unique-output map","OpenLogic sets-functions-relations; DMOI functions","f: A -> B; f(x)=y; uniqueness of output","functio","function as unique-output map","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
"rf_domain","domain/input set of a function","OpenLogic and DMOI functions","domain(f); x in A; f: A -> B","dominio","domain/input set of a function","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
"rf_codomain","declared target set/codomain","OpenLogic and DMOI functions","codomain B in f: A -> B; distinguish from image","codominio","declared target set/codomain","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
"rf_image_range","image/range as attained values","OpenLogic and DMOI functions","im(f); f(A); range(f); f^{-1}(S)","imago/rango","image/range as attained values","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
"rf_injective","injective/one-to-one property","OpenLogic and DMOI functions","f(x1)=f(x2) => x1=x2","injectiv","injective/one-to-one property","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
"rf_surjective","surjective/onto property","OpenLogic and DMOI functions","forall y in B exists x in A with f(x)=y","surjectiv","surjective/onto property","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
"rf_bijective","bijective property","OpenLogic and DMOI functions","injective and surjective; inverse exists","bijectiv","bijective property","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","source-probe present in recovered Macedonian lexicon; not approval","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
"rf_equivalence_relation","equivalence relation from reflexive/symmetric/transitive","OpenLogic and DMOI relations","reflexive; symmetric; transitive; equivalence classes","equivalens relatio","equivalence relation from reflexive/symmetric/transitive","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
"rf_partial_order","partial order from reflexive/antisymmetric/transitive","OpenLogic and DMOI relations","reflexive; antisymmetric; transitive; poset","ordo partial","partial order from reflexive/antisymmetric/transitive","owner-filled generated-draft slot; require Spanish lane source witness","owner-filled generated-draft slot; require French lane source witness","owner-filled generated-draft slot; require German lane source witness","owner-filled generated-draft slot; require Russian lane source witness","owner-filled generated-draft slot; require Ukrainian lane source witness","owner-filled generated-draft slot; require Fable/Interslavic owner review","no explicit Macedonian form probe in this package","no explicit Upper Sorbian form probe in this package","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","generated-draft/non-canonical pretranslation scaffold","relation/function language owner lanes"
