"lexeme_id","doc_id","language","branch","source_path","source_url","candidate_use","counted_in_branch_weight","next_action"
"rf_injective","src-ext-wikimedia-pl-injective","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_roznicowartosciowa.wiki.txt","https://pl.wikipedia.org/wiki/Funkcja_r%C3%B3%C5%BCnowarto%C5%9Bciowa","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
"rf_bijective","src-ext-wikimedia-pl-injective","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_roznicowartosciowa.wiki.txt","https://pl.wikipedia.org/wiki/Funkcja_r%C3%B3%C5%BCnowarto%C5%9Bciowa","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
"rf_surjective","src-ext-wikimedia-pl-surjective","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_surjekcja.wiki.txt","https://pl.wikipedia.org/wiki/Surjekcja","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
"rf_bijective","src-ext-wikimedia-pl-bijective","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_wzajemnie_jednoznaczna.wiki.txt","https://pl.wikipedia.org/wiki/Funkcja_wzajemnie_jednoznaczna","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
"rf_inverse","src-ext-wikimedia-pl-bijective","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_wzajemnie_jednoznaczna.wiki.txt","https://pl.wikipedia.org/wiki/Funkcja_wzajemnie_jednoznaczna","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
"rf_domain","src-ext-wikimedia-pl-domain","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_dziedzina_matematyka.wiki.txt","https://pl.wikipedia.org/wiki/Dziedzina_(matematyka)","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
"rf_codomain","src-ext-wikimedia-pl-codomain","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_przeciwdziedzina.wiki.txt","https://pl.wikipedia.org/wiki/Przeciwdziedzina","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
"rf_image_range","src-ext-wikimedia-pl-codomain","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_przeciwdziedzina.wiki.txt","https://pl.wikipedia.org/wiki/Przeciwdziedzina","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
"rf_inverse","src-ext-wikimedia-pl-inverse","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_odwrotna.wiki.txt","https://pl.wikipedia.org/wiki/Funkcja_odwrotna","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
"rf_bijective","src-ext-wikimedia-pl-inverse","pl","Slavic/West","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_odwrotna.wiki.txt","https://pl.wikipedia.org/wiki/Funkcja_odwrotna","source-canon candidate for owner/source check","no","language owner or support lane should verify formula-neighboring context before forms.csv or branch_weight_ledger promotion"
