"doc_id","language","branch","lexeme_ids","source_path","line_count","lead_contexts","formula_contexts","emitted_contexts","status"
"src-ext-wikimedia-pl-injective","pl","Slavic/West","rf_injective; rf_bijective","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_roznicowartosciowa.wiki.txt","62","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-pl-surjective","pl","Slavic/West","rf_surjective","source_bodies/external_wikimedia_recovery/20260705/pl_surjekcja.wiki.txt","58","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-pl-bijective","pl","Slavic/West","rf_bijective; rf_inverse","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_wzajemnie_jednoznaczna.wiki.txt","58","6","6","12","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-pl-domain","pl","Slavic/West","rf_domain","source_bodies/external_wikimedia_recovery/20260705/pl_dziedzina_matematyka.wiki.txt","52","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-pl-codomain","pl","Slavic/West","rf_codomain; rf_image_range","source_bodies/external_wikimedia_recovery/20260705/pl_przeciwdziedzina.wiki.txt","24","6","8","14","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-pl-inverse","pl","Slavic/West","rf_inverse; rf_bijective","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_odwrotna.wiki.txt","87","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-pl-cardinality","pl","Slavic/West","rf_cardinality; rf_bijective","source_bodies/external_wikimedia_recovery/20260705/pl_moc_zbioru.wiki.txt","116","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-pl-linear-map","pl","Slavic/West","rf_linear_map; rf_function","source_bodies/external_wikimedia_recovery/20260705/pl_przeksztalcenie_liniowe.wiki.txt","179","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-pl-image","pl","Slavic/West","rf_image_range; rf_function","source_bodies/external_wikimedia_recovery/20260705/pl_obraz_matematyka.wiki.txt","100","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-pl-function","pl","Slavic/West","rf_function; rf_domain; rf_codomain; rf_image_range","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja.wiki.txt","525","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-uk-injective","uk","Slavic/East","rf_injective; rf_function","source_bodies/external_wikimedia_recovery/20260705/uk_injection_math.wiki.txt","54","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-uk-surjective","uk","Slavic/East","rf_surjective; rf_function","source_bodies/external_wikimedia_recovery/20260705/uk_surjection.wiki.txt","51","6","7","13","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-uk-bijective","uk","Slavic/East","rf_bijective; rf_inverse","source_bodies/external_wikimedia_recovery/20260705/uk_bijection.wiki.txt","53","6","7","13","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-uk-domain","uk","Slavic/East","rf_domain; rf_function","source_bodies/external_wikimedia_recovery/20260705/uk_domain.wiki.txt","65","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-uk-function","uk","Slavic/East","rf_function; rf_domain; rf_codomain; rf_image_range","source_bodies/external_wikimedia_recovery/20260705/uk_function_math.wiki.txt","239","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-uk-image-range","uk","Slavic/East","rf_image_range; rf_function","source_bodies/external_wikimedia_recovery/20260705/uk_image_range.wiki.txt","28","6","6","12","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-uk-inverse","uk","Slavic/East","rf_inverse; rf_bijective","source_bodies/external_wikimedia_recovery/20260705/uk_inverse_function.wiki.txt","406","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-uk-cardinality","uk","Slavic/East","rf_cardinality; rf_bijective","source_bodies/external_wikimedia_recovery/20260705/uk_cardinality_set.wiki.txt","97","6","10","16","context windows extracted; not branch-weight evidence"
"src-ext-wikimedia-uk-linear-map","uk","Slavic/East","rf_linear_map; rf_function","source_bodies/external_wikimedia_recovery/20260705/uk_linear_map.wiki.txt","122","6","10","16","context windows extracted; not branch-weight evidence"
