"lexeme_id","coverage_bucket","active_branch_count","effective_branch_number_D","current_positive_branches","missing_active_branches","raw_witness_counts","query_hints","next_source_canon_targets","owner_review_use","claim_boundary"
"rf_relation","source-probe-baseline-sufficient-for-scoped-owner-draft","3","2.5217","Germanic; Slavic_West; Slavic_South","Slavic_East","Germanic:37; Slavic_East:0; Slavic_West:2; Slavic_South:405; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","relation; relacija; odnos; relacyja; vidnoshennya","Slavic East: be/ru/uk source-level relation-function contexts, preferably TeX/HTML/text with formulas","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_function","source-probe-baseline-sufficient-for-scoped-owner-draft","4","3.0175","Germanic; Slavic_East; Slavic_West; Slavic_South","","Germanic:139; Slavic_East:4; Slavic_West:1; Slavic_South:1329; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","function; funkcija; funkcyja; funktsiya","","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_domain","source-probe-baseline-sufficient-for-scoped-owner-draft","4","2.956","Germanic; Slavic_East; Slavic_West; Slavic_South","","Germanic:79; Slavic_East:1; Slavic_West:1; Slavic_South:108; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","domain; domen; definiciono mnozestvo; oblast","","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_codomain","source-probe-baseline-sufficient-for-scoped-owner-draft","3","2.4486","Germanic; Slavic_West; Slavic_South","Slavic_East","Germanic:51; Slavic_East:0; Slavic_West:1; Slavic_South:5; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","codomain; kodomen; codominio; target set","Slavic East: be/ru/uk source-level relation-function contexts, preferably TeX/HTML/text with formulas","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_image_range","source-probe-baseline-sufficient-for-scoped-owner-draft","4","3.8762","Germanic; Slavic_East; Slavic_West; Slavic_South","","Germanic:140; Slavic_East:11; Slavic_West:65; Slavic_South:126; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","image; range; obraz; slika; opseg","","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_injective","source-probe-baseline-sufficient-for-scoped-owner-draft","4","3.2293","Germanic; Slavic_East; Slavic_West; Slavic_South","","Germanic:29; Slavic_East:1; Slavic_West:1; Slavic_South:9; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","injective; injektiv; one-to-one; ednoznachno","","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_surjective","source-probe-baseline-sufficient-for-scoped-owner-draft","4","3.2361","Germanic; Slavic_East; Slavic_West; Slavic_South","","Germanic:28; Slavic_East:1; Slavic_West:1; Slavic_South:9; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","surjective; surjektiv; onto; na","","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_bijective","source-probe-baseline-sufficient-for-scoped-owner-draft","4","3.2909","Germanic; Slavic_East; Slavic_West; Slavic_South","","Germanic:9; Slavic_East:1; Slavic_West:1; Slavic_South:21; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","bijective; bijektiv; biekcija; one-to-one correspondence","","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_equivalence_relation","source-probe-baseline-sufficient-for-scoped-owner-draft","3","2.303","Germanic; Slavic_East; Slavic_South","Slavic_West","Germanic:5; Slavic_East:1; Slavic_West:0; Slavic_South:142; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","equivalence relation; relacija na ekvivalencija; equivalence class","Slavic West: hsb/pl/cs source-level relation-function contexts, not only general glossary hits","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_partial_order","source-probe-baseline-sufficient-for-scoped-owner-draft","3","2.7023","Germanic; Slavic_East; Slavic_South","Slavic_West","Germanic:9; Slavic_East:2; Slavic_West:0; Slavic_South:39; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","partial order; parcijalen red; poset","Slavic West: hsb/pl/cs source-level relation-function contexts, not only general glossary hits","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_composition","source-probe-baseline-sufficient-for-scoped-owner-draft","3","2.2544","Germanic; Slavic_West; Slavic_South","Slavic_East","Germanic:1; Slavic_East:0; Slavic_West:3; Slavic_South:107; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","composition; compose; sostav; sostavuvanje; kompozicija","Slavic East: be/ru/uk source-level relation-function contexts, preferably TeX/HTML/text with formulas","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_inverse","source-probe-baseline-sufficient-for-scoped-owner-draft","4","2.8846","Germanic; Slavic_East; Slavic_West; Slavic_South","","Germanic:14; Slavic_East:1; Slavic_West:1; Slavic_South:227; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","inverse; inverse image; inverzna; obratna; reciprocal","","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_cardinality","source-probe-baseline-sufficient-for-scoped-owner-draft","4","3.1996","Germanic; Slavic_East; Slavic_West; Slavic_South","","Germanic:20; Slavic_East:1; Slavic_West:1; Slavic_South:26; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","cardinality; kardinal; cardinal number; same size","","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
"rf_linear_map","source-probe-baseline-sufficient-for-scoped-owner-draft","4","2.3682","Germanic; Slavic_East; Slavic_West; Slavic_South","","Germanic:1; Slavic_East:1; Slavic_West:1; Slavic_South:353; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","linear map; linear transformation; homomorphism; linearen operator","","scoped generated-draft review support allowed; still non-canonical","no native review; no accepted terminology; no source certification; no translation completion"
