"lexeme_id","language","branch","source_form","source_document","review_required","false_friend_or_register_risk","current_use_allowed","blocked_claims"
"rf_function","pl","Slavic/West","Funkcja","src-ext-wikimedia-pl-function","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","verify source-context, formula-neighboring usage, and register before any rendering use","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_injective","pl","Slavic/West","Funkcja różnowartościowa","src-ext-wikimedia-pl-injective","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","verify source-context, formula-neighboring usage, and register before any rendering use","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_surjective","pl","Slavic/West","Surjekcja","src-ext-wikimedia-pl-surjective","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","verify source-context, formula-neighboring usage, and register before any rendering use","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_bijective","pl","Slavic/West","Funkcja wzajemnie jednoznaczna","src-ext-wikimedia-pl-bijective","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","bijection may be definitionally linked to inverse/cardinality; verify exact role","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_domain","pl","Slavic/West","Dziedzina (matematyka)","src-ext-wikimedia-pl-domain","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","domain may mean mathematical domain or broader field; verify function-context usage","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_codomain","pl","Slavic/West","Przeciwdziedzina","src-ext-wikimedia-pl-codomain","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","codomain/range ambiguity; verify declared target set vs actual image/range before use","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_inverse","pl","Slavic/West","Funkcja odwrotna","src-ext-wikimedia-pl-inverse","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","inverse function vs inverse image vs reciprocal; verify formula-neighboring role","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_cardinality","pl","Slavic/West","Moc zbioru","src-ext-wikimedia-pl-cardinality","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","verify source-context, formula-neighboring usage, and register before any rendering use","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_linear_map","pl","Slavic/West","Przekształcenie liniowe","src-ext-wikimedia-pl-linear-map","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","linear map/transformation/operator register may vary by source and course level","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_image_range","pl","Slavic/West","Obraz (matematyka)","src-ext-wikimedia-pl-image","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","image/range false-friend risk; verify actual-value set, not illustration/image sense","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_function","uk","Slavic/East","Функція (математика)","src-ext-wikimedia-uk-function","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","verify source-context, formula-neighboring usage, and register before any rendering use","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_injective","uk","Slavic/East","Ін'єкція (математика)","src-ext-wikimedia-uk-injective","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","verify source-context, formula-neighboring usage, and register before any rendering use","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_surjective","uk","Slavic/East","Сюр'єкція","src-ext-wikimedia-uk-surjective","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","verify source-context, formula-neighboring usage, and register before any rendering use","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_bijective","uk","Slavic/East","Бієкція","src-ext-wikimedia-uk-bijective","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","bijection may be definitionally linked to inverse/cardinality; verify exact role","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_domain","uk","Slavic/East","Область визначення","src-ext-wikimedia-uk-domain","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","domain may mean mathematical domain or broader field; verify function-context usage","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_inverse","uk","Slavic/East","Обернена функція","src-ext-wikimedia-uk-inverse","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","inverse function vs inverse image vs reciprocal; verify formula-neighboring role","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_cardinality","uk","Slavic/East","Потужність множини","src-ext-wikimedia-uk-cardinality","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","verify source-context, formula-neighboring usage, and register before any rendering use","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_linear_map","uk","Slavic/East","Лінійне відображення","src-ext-wikimedia-uk-linear-map","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","linear map/transformation/operator register may vary by source and course level","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
"rf_image_range","uk","Slavic/East","Область значень","src-ext-wikimedia-uk-image-range","language-owner source-context check; formula-neighboring check; false-friend/adverse-evidence check","image/range false-friend risk; verify actual-value set, not illustration/image sense","branch-weight/source-probe support only; generated-draft handoff only","native review; accepted terminology; canonical approval; source certification; translation completion"
