"audit_id","source_witness_id","lane","target_language_or_access_target","witness_class","source_level","source_title_or_source_label","topic_tags","route_status","evidence_tier","source_url","current_url_status","current_content_type","current_content_length","local_path","local_sha256","local_byte_count","license_or_access_signal","source_package_search_query","source_package_status","source_package_url_or_pointer","source_package_hash_or_status","gap_or_blocker_note","non_claim_boundary"
"R7MYSRC001","MI-MY-COURSE-01","Malay-Indonesian","Malaysian Malay","course_catalog","pdf_text_extracted","UKM Pusat Pengajian Sains Matematik undergraduate guide 2012-2013","course;proof;ring;field;ideal;homomorphism;polynomial;covariant","source_canon_witness_not_translation_authority","MALAY_PDF_COURSE_PROVENANCE_SOURCE_PACKAGE_GAP","https://www.ukm.my/fst/wp-content/uploads/2015/12/25ppsm.pdf","200","application/pdf","822448","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T023522Z_r7_east_southeast_asia_pacific_closure\malay_indonesian_alignment\downloaded_pdfs\malaysia_ukm_pusat_pengajian_sains_matematik_2012_2013.pdf","4CBA7ACEC085DEFCC9FCE85E8900A8204A27F08188E65CE65DD4351D0B89972A","822448","not_established_in_local_capture; current_url_status_200; no_license_clearance_claimed","gh search code Pusat Pengajian Sains Matematik UKM --extension tex","no_matching_tex_source_package_found","not_applicable_no_matching_source_package_found","not_applicable_no_matching_source_package_found","Course/catalog PDF is current-accessible and locally hashed, but remains course metadata rather than full research proof prose; no matching source package found.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7MYSRC002","MI-MY-COURSE-02","Malay-Indonesian","Malaysian Malay","course_program","pdf_text_extracted","UMT Matematik Kewangan programme PDF 2023","course;theorem;proof;ring;field;ideal;module;polynomial","source_canon_witness_not_translation_authority","MALAY_PDF_COURSE_PROVENANCE_SOURCE_PACKAGE_GAP","https://www.umt.edu.my/wp-content/uploads/2023/11/Matematik-Kewangan.pdf","200","application/pdf","150136","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T023522Z_r7_east_southeast_asia_pacific_closure\malay_indonesian_alignment\downloaded_pdfs\malaysia_umt_matematik_kewangan_programme_2023.pdf","50ACCF000861AD9841134333EB73AC6B0BB184A9B091EBD71B5039620A2BBA4B","150136","not_established_in_local_capture; current_url_status_200; no_license_clearance_claimed","gh search code Matematik Kewangan UMT --extension tex","no_matching_tex_source_package_found","not_applicable_no_matching_source_package_found","not_applicable_no_matching_source_package_found","Course/catalog PDF is current-accessible and locally hashed, but remains course metadata rather than full research proof prose; no matching source package found.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7MYSRC003","MI-MY-COURSE-03","Malay-Indonesian","Malaysian Malay","course_catalog","pdf_text_extracted","UPM Fakulti Sains course catalog 2024-2025","course;algebra;ring;field;module;ideal;polynomial","source_canon_witness_not_translation_authority","MALAY_PDF_COURSE_PROVENANCE_SOURCE_PACKAGE_GAP","https://akademik.upm.edu.my/upload/dokumen/202409241203594._Fakulti_Sains_2024-2025_24.9.2024.pdf","200","application/pdf","3621548","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T023522Z_r7_east_southeast_asia_pacific_closure\malay_indonesian_alignment\copied_prior_evidence\upm_science_course_catalog_2024_2025.pdf","6BE9FB840581FE90C5201944E427F10A593C9B4C6C77487B9D88FDA0CB14856B","3621548","not_established_in_local_capture; current_url_status_200; no_license_clearance_claimed","gh search code Fakulti Sains UPM gelanggang --extension tex","no_matching_tex_source_package_found","not_applicable_no_matching_source_package_found","not_applicable_no_matching_source_package_found","Course/catalog PDF is current-accessible and locally hashed, but remains course metadata rather than full research proof prose; no matching source package found.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7MYSRC004","MI-MY-COURSE-04","Malay-Indonesian","Malaysian Malay","course_catalog","pdf_text_extracted","UPM Fakulti Sains course catalog 2025-2026","course;algebra;ring;field;module;ideal;polynomial","source_canon_witness_not_translation_authority","MALAY_PDF_COURSE_PROVENANCE_SOURCE_PACKAGE_GAP","https://akademik.upm.edu.my/upload/dokumen/20251002105700Fakulti_Sains_-_Sesi_2025-2026_1.10.2025.pdf","200","application/pdf","3371152","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T023522Z_r7_east_southeast_asia_pacific_closure\malay_indonesian_alignment\copied_prior_evidence\upm_science_course_catalog_2025_2026.pdf","9719C427F850AE2760F2A2235767A617FF5ED0249B3B317CBA06C8D82E09E8D7","3371152","not_established_in_local_capture; current_url_status_200; no_license_clearance_claimed","gh search code Fakulti Sains UPM gelanggang --extension tex","no_matching_tex_source_package_found","not_applicable_no_matching_source_package_found","not_applicable_no_matching_source_package_found","Course/catalog PDF is current-accessible and locally hashed, but remains course metadata rather than full research proof prose; no matching source package found.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7MYSRC005","MI-MY-COURSE-05","Malay-Indonesian","Malaysian Malay","course_catalog","pdf_text_extracted","UKM Sains Matematik BM edited graduate guide","course;algebra;group;ring;field;module;homomorphism;isomorphism","source_canon_witness_not_translation_authority","MALAY_PDF_COURSE_PROVENANCE_SOURCE_PACKAGE_GAP","https://www.ukm.my/fst/wp-content/uploads/2015/12/Sains-Matematik-BM-edited.pdf","200","application/pdf","862843","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T040330Z_malay_indonesian_official_terminology_higher_algebra_expansion\downloaded_pdfs\malaysia_ukm_sains_matematik_bm_edited.pdf","E9CA3CAFCDE7158B57B6E29EA3D13D28F538AE277F09188FD908C6A32F03A512","862843","not_established_in_local_capture; current_url_status_200; no_license_clearance_claimed","gh search code Sains Matematik BM UKM --extension tex","false_positive_tex_hit_not_catalog_source","false_positive: https://github.com/pekikn/pengukuhan/blob/8fc4a816a3e929e78024f8b2c4fa71fc2b0ec733/Naskah_Pidato_Prof_Pekik_N.tex","not_applicable_no_matching_source_package_found","Course/catalog PDF is current-accessible and locally hashed, but remains course metadata rather than full research proof prose; no matching source package found.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7MYSRC006","MI-MY-COURSE-06","Malay-Indonesian","Malaysian Malay","course_catalog","pdf_text_extracted","UMT Buku Panduan Akademik UG FSKM 2025-2026 Versi BM","course;algebra;group;ring;field;module;homomorphism;linear","source_canon_witness_not_translation_authority","MALAY_PDF_COURSE_PROVENANCE_SOURCE_PACKAGE_GAP","https://fskm.umt.edu.my/wp-content/uploads/2025/09/Buku-Panduan-Akademik-UG-FSKM-2025-2026-Versi-BM-V2-25-Sep-2025-1.pdf","200","application/pdf","28633706","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T040330Z_malay_indonesian_official_terminology_higher_algebra_expansion\downloaded_pdfs\malaysia_umt_ug_fskm_2025_2026_bm.pdf","490B37558EB40DCA50C4032D1E55BB73A0926F80546552877E6DB6491B17BFC3","28633706","not_established_in_local_capture; current_url_status_200; no_license_clearance_claimed","gh search code Buku Panduan Akademik FSKM UMT --extension tex","no_matching_tex_source_package_found","not_applicable_no_matching_source_package_found","not_applicable_no_matching_source_package_found","Course/catalog PDF is current-accessible and locally hashed, but remains course metadata rather than full research proof prose; no matching source package found.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7MYSRC007","MI-MY-GLOS-01","Malay-Indonesian","Malaysian Malay","terminology_glossary","pdf_text_extracted","UM Mathematical and Statistical Terms BM to English","glossary;ring;field;module;ideal;invariant;covariant;determinant;resultant","comparator_only","MALAY_GLOSSARY_COMPARATOR_ONLY_SOURCE_PACKAGE_GAP","https://ism.um.edu.my/Image/Research/Links/MATHEMATICAL%20%26%20STATISTICAL%20TERMS/bm_to_english.pdf","200","application/pdf","408172","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T023522Z_r7_east_southeast_asia_pacific_closure\malay_indonesian_alignment\copied_prior_evidence\um_bm_to_english_math_terms.pdf","DAE4319313FDD8B453978C9C260DA1700D47CF4DCA676EA8EE1005B30E27C9EA","408172","not_established_in_local_capture; current_url_status_200; no_license_clearance_claimed","gh search code bm_to_english mathematical statistical terms --extension tex","no_matching_tex_source_package_found","not_applicable_no_matching_source_package_found","not_applicable_no_matching_source_package_found","Terminology glossary PDF is current-accessible and locally hashed, but remains comparator-only and not proof prose; no matching source package found.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7MYSRC008","MI-MY-GLOS-02","Malay-Indonesian","Malaysian Malay","terminology_glossary","pdf_text_extracted","UM Mathematical and Statistical Terms English to BM","glossary;ring;field;module;ideal;invariant;covariant;determinant;resultant","comparator_only","MALAY_GLOSSARY_COMPARATOR_ONLY_SOURCE_PACKAGE_GAP","https://ism.um.edu.my/Image/Research/Links/MATHEMATICAL%20%26%20STATISTICAL%20TERMS/english_to_bm.pdf","200","application/pdf","407161","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T023522Z_r7_east_southeast_asia_pacific_closure\malay_indonesian_alignment\copied_prior_evidence\um_english_to_bm_math_terms.pdf","3C9F7D27BA9B11851033755E3003BA6EB8470881BFD72D1346FCA0CF6263BDE6","407161","not_established_in_local_capture; current_url_status_200; no_license_clearance_claimed","gh search code bm_to_english mathematical statistical terms --extension tex","no_matching_tex_source_package_found","not_applicable_no_matching_source_package_found","not_applicable_no_matching_source_package_found","Terminology glossary PDF is current-accessible and locally hashed, but remains comparator-only and not proof prose; no matching source package found.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7MYSRC009","MI-MY-PRPM-01","Malay-Indonesian","Malaysian Malay","official_search_snapshot","html_snapshot","PRPM search snapshot: invarian","invariant;PRPM;search_snapshot","comparator_only","PRPM_OFFICIAL_SEARCH_COMPARATOR_ONLY_SOURCE_PACKAGE_GAP","https://prpm.dbp.gov.my/Cari1?keyword=invarian","200","text/html; charset=utf-8","25437","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T040330Z_malay_indonesian_official_terminology_higher_algebra_expansion\html_snapshots\prpm_invarian_search.html","F83E664160B067BA293AD345F7B6C87D4CDCAF290F2B0FAB2F57F325834B69CE","25437","official_search_snapshot_license_not_established; current_url_status_200; no_license_clearance_claimed","gh search code PRPM invarian kovarian --extension tex","no_matching_tex_source_package_found_comparator_only","not_applicable_no_matching_source_package_found","not_applicable_no_matching_source_package_found","PRPM official search snapshot is current-accessible and locally hashed, but remains search/comparator-only, not exact adoption or translation authority.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7MYSRC010","MI-MY-PRPM-02","Malay-Indonesian","Malaysian Malay","official_search_snapshot","html_snapshot","PRPM search snapshot: kovarian","covariant;PRPM;search_snapshot","comparator_only","PRPM_OFFICIAL_SEARCH_COMPARATOR_ONLY_SOURCE_PACKAGE_GAP","https://prpm.dbp.gov.my/Cari1?keyword=kovarian","200","text/html; charset=utf-8","25675","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T040330Z_malay_indonesian_official_terminology_higher_algebra_expansion\html_snapshots\prpm_kovarian_search.html","E26129304250E4B8D667D63DED96D09B45E76DE0E515BEA35474043D4EB68B84","25675","official_search_snapshot_license_not_established; current_url_status_200; no_license_clearance_claimed","gh search code PRPM invarian kovarian --extension tex","no_matching_tex_source_package_found_comparator_only","not_applicable_no_matching_source_package_found","not_applicable_no_matching_source_package_found","PRPM official search snapshot is current-accessible and locally hashed, but remains search/comparator-only, not exact adoption or translation authority.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
