physical_page	printed_page	archive_path	finding	disposition
1-6	0,273-277	legacy_corpus_entry/notes.md	Routing note explicitly states transcription and translation not_started; collected-volume page labels 741-775 are comparator folios, not authority article folios.	ZERO_ACCEPTED; control/routing only
1-6	0,273-277	legacy_corpus_entry/source_extract_aligned.aux	Build byproduct for the machine-aligned draft; no independent article reading.	ZERO_ACCEPTED; control/routing only
1-6	0,273-277	legacy_corpus_entry/source_extract_aligned.log	Build byproduct for the machine-aligned draft; no independent article reading.	ZERO_ACCEPTED; control/routing only
1-6	0,273-277	legacy_corpus_entry/source_extract_aligned.out	Build byproduct for the machine-aligned draft; no independent article reading.	ZERO_ACCEPTED; control/routing only
1-6	0,273-277	legacy_corpus_entry/source_extract_aligned.pdf	Compiled machine-aligned OCR draft; layout witness only, not an accepted text.	ZERO_ACCEPTED; control/routing only
1-6	0,273-277	legacy_corpus_entry/source_extract_aligned.tex	Machine-aligned OCR dump with severe glyph and mathematics corruption; page boundaries useful only as routing evidence.	ZERO_ACCEPTED; control/routing only
1-6	0,273-277	legacy_corpus_entry/source_transcription.tex	Template placeholder marked not_started and containing no article transcription/translation; no usable wording.	ZERO_ACCEPTED; control/routing only
1-6	0,273-277	legacy_corpus_entry/translation_en.tex	Template placeholder marked not_started and containing no article transcription/translation; no usable wording.	ZERO_ACCEPTED; control/routing only
1-6	0,273-277	ocr_legacy/Deligne_Weil_I_combined.md	Machine OCR for the opening unit contains pervasive accent, symbol, formula, page-number, and glyph corruption (for example PI~RR~, thdorie, malformed products, and confused ℓ/Q_ℓ notation). Inspected only as a locator after source freeze.	ZERO_ACCEPTED; no OCR wording imported
1-6	0,273-277	ocr_legacy/weil1_batch_p0001-0010/Deligne_Weil_I_PMIHES_tome43_1974/Deligne_Weil_I_PMIHES_tome43_1974.md	Machine OCR for the opening unit contains pervasive accent, symbol, formula, page-number, and glyph corruption (for example PI~RR~, thdorie, malformed products, and confused ℓ/Q_ℓ notation). Inspected only as a locator after source freeze.	ZERO_ACCEPTED; no OCR wording imported
1-6	0,273-277	ocr_legacy/weil1_batch_p0001-0010/Deligne_Weil_I_PMIHES_tome43_1974/Deligne_Weil_I_PMIHES_tome43_1974_meta.json	OCR-generation metadata only; no textual reading accepted. Confirms machine extraction provenance for the first-page batch.	ZERO_ACCEPTED; no OCR wording imported
1	0	ocr_legacy/weil1_batch_p0001-0010/Deligne_Weil_I_PMIHES_tome43_1974/_page_0_Picture_6.jpeg	Extracted NUMDAM wordmark from the repository cover; repository branding is excluded from both scholarly bodies.	ZERO_ACCEPTED; no OCR wording imported
1-6	0,273-277	ocr_paper20/batch_p0001-0010/20_La_conjecture_de_Weil_I/20_La_conjecture_de_Weil_I.md	Machine OCR for the opening unit contains pervasive accent, symbol, formula, page-number, and glyph corruption (for example PI~RR~, thdorie, malformed products, and confused ℓ/Q_ℓ notation). Inspected only as a locator after source freeze.	ZERO_ACCEPTED; no OCR wording imported
1-6	0,273-277	ocr_paper20/batch_p0001-0010/20_La_conjecture_de_Weil_I/20_La_conjecture_de_Weil_I_meta.json	OCR-generation metadata only; no textual reading accepted. Confirms machine extraction provenance for the first-page batch.	ZERO_ACCEPTED; no OCR wording imported
1	0	zenodo_public/21801004/CONTROL_D010-D020.zip	Public D020 control/identity evidence confirms title, byline, span, and ZERO_ACCEPTED status; it contains no certified French or English edition for import.	ZERO_ACCEPTED; boundary/control evidence only
1	0	zenodo_public/21801004/D020_NEGATIVE_SOURCE_UPDATE_INVENTORY.json	Public D020 control/identity evidence confirms title, byline, span, and ZERO_ACCEPTED status; it contains no certified French or English edition for import.	ZERO_ACCEPTED; boundary/control evidence only
