"witness_id","language","grade","source_title","live_url","source_url","refreshed_access_license_signal","residual_gap_or_limit","boundary"
"FR-A-001","French","A","Constructions cachees en algebre abstraite. Dimension de Krull Going Up Going Down","https://arxiv.org/abs/1712.04728","https://arxiv.org/e-print/1712.04728v2","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1712.04728; arXiv API license field blank; no license-clearance claim","Not invariant theory; source witness only","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"FR-A-002","French","A","Algebres amassees et applications","https://arxiv.org/abs/0911.2903","https://arxiv.org/e-print/0911.2903v2","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/0911.2903; arXiv API license field blank; no license-clearance claim","Domain-adjacent; not Noether corpus source alone","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"FR-A-003","French","A","Extensions des modules de dimension finie pour les algebres de courants tordues","https://arxiv.org/abs/1508.04495","https://arxiv.org/e-print/1508.04495v1","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim","Does not unblock Noether tensor corpus row without German anchor","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"FR-A-004","French","A","Sur la noetherianite locale des foncteurs polynomiaux","https://arxiv.org/abs/2211.16134","https://arxiv.org/e-print/2211.16134v2","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/2211.16134; arXiv API license field blank; no license-clearance claim","Functor-category domain; not classical invariant theory","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"FR-A-005","French","A","Revetements etales et groupe fondamental SGA 1","https://arxiv.org/abs/math/0206203","https://arxiv.org/e-print/math/0206203v2","arXiv HTML license href http://arxiv.org/licenses/assumed-1991-2003/; TeX href /src/math/0206203; arXiv API license field blank; no license-clearance claim","Very broad; not Noether-specific","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"FR-A-006","French","A","Algebres simples centrales sur les corps de fonctions de deux variables","https://arxiv.org/abs/math/0507070","https://arxiv.org/e-print/math/0507070v1","arXiv HTML license href http://arxiv.org/licenses/assumed-1991-2003/; TeX href /src/math/0507070; arXiv API license field blank; no license-clearance claim","Adjacent algebra source","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"FR-C-007","French","C","ACGA-cours 2024-2025","https://perso.univ-rennes1.fr/christophe.mourougane/enseignements/2024-25/ACGA/ACGA-cours.pdf","https://perso.univ-rennes1.fr/christophe.mourougane/enseignements/2024-25/ACGA/ACGA-cours.pdf","Public author/institution PDF URL HTTP 200; license not found; local provenance/fallback only; no license-clearance claim","No TeX/source package verified","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"FR-C-008","French","C","Invariants de plusieurs formes binaires","https://www.numdam.org/item/?id=BSMF_1982__110__429_0","https://www.numdam.org/item/?id=BSMF_1982__110__429_0","Numdam bibliographic/PDF access HTTP 200; DOI/page verified; license/access terms not normalized; no license-clearance claim","PDF fallback only","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"FR-C-009","French","C","Note sur les residus des invariants et covariants des formes binaires","https://www.numdam.org/articles/10.24033/bsmf.260/","https://www.numdam.org/articles/10.24033/bsmf.260/","Numdam bibliographic/PDF access HTTP 200; DOI/page verified; license/access terms not normalized; no license-clearance claim","Historical register and PDF fallback only","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"FR-C-010","French","C","Theorie geometrique des invariants","https://webusers.imj-prg.fr/~julien.marche/M2/GIT.pdf","https://webusers.imj-prg.fr/~julien.marche/M2/GIT.pdf","Public course PDF URL HTTP 200; license not found; local provenance/fallback only; no license-clearance claim","PDF fallback; no TeX source found","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"ES-A-007","Spanish","A","Superficies elipticas y el decimo problema de Hilbert","https://arxiv.org/abs/2207.10005","https://arxiv.org/e-print/2207.10005v1","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/2207.10005; arXiv API license field blank; no license-clearance claim","Not Hilbert-basis theorem","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"ES-C-008","Spanish","C","Teoria de invariantes de grupos finitos","https://uvadoc.uva.es/handle/10324/71007","https://uvadoc.uva.es/bitstream/handle/10324/71007/TFG-G6811.pdf?sequence=1&isAllowed=y","UVaDOC metadata: openAccess; CC BY-NC-ND 4.0 rights URI; PDF fallback HTTP 200; no license-clearance claim","PDF/text fallback; URL and access/license signal refreshed; no TeX/source archive verified","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"ES-C-009","Spanish","C","Introduccion a la Teoria Geometrica de Invariantes","https://web.dm.uba.ar/index.php/509-tesis-de-licenciatura","https://web.dm.uba.ar/files/tesis_lic/2012/gargiulo_javier.pdf","UBA departmental listing and direct PDF HTTP 200; license not found; local provenance/fallback only; no license-clearance claim","PDF/text fallback; semisimple bridge remains review-sensitive; license not found","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"ES-C-010","Spanish","C","Dialnet Hilbert/Gordan invariant-theory hard-term PDF","https://dialnet.unirioja.es/descarga/articulo/8832426.pdf","https://dialnet.unirioja.es/descarga/articulo/8832426.pdf","Dialnet direct PDF HTTP 200; license not found; local provenance/fallback only; no license-clearance claim","PDF fallback; bibliographic metadata still thin; license not found","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
"ES-GAP-003","Spanish","GAP","Spanish PDF live URL/license gap","","","not applicable","Original live URL/license gap narrowed; residual gaps retained on ES-C-008/009/010 rows","draft/non-canonical; not native reviewed; not approved; no license-clearance claim; no gate promotion; no Git push"
