authority_boundary,branch_path,csv_row_count,frontier,generated_utc,git_blob,local_source_body_path,mode,object_type,old_path,payload_group,previous_frontier,sequence,sha256,size_bytes,source_link_status,source_use_label,status
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/B3_AND_INTERLANGUAGE_HANDOFF_SENT_18BBB185.md,,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,4877e29118560916610fac3f3e12afc0a4e770d8,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0001_4877e29118_B3_AND_INTERLANGUAGE_HANDOFF_SENT_18BBB185.md,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,1,9F94CAD40A5E272DFB24167E72AAED279B03E27BE684FB71F01BDB03D5F5E957,1481,branch_blob_extracted_to_local_source_body_by_object_id,source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/BRANCH_COMPARE_COMMITS_A55A9D0F_TO_18BBB185.csv,1,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,776acc821587911ec3d68a057d9f4107346e123b,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0002_776acc8215_BRANCH_COMPARE_COMMITS_A55A9D0F_TO_18BBB185.csv,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,2,428E15ACD7093AD4B73810A2154E8251158964B3628DC95B5F23703B01289A92,170,branch_blob_extracted_to_local_source_body_by_object_id,r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/BRANCH_COMPARE_FILES_A55A9D0F_TO_18BBB185.csv,85,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,e3437ba71202993c0b1bd23dd793684383c09201,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0003_e3437ba712_BRANCH_COMPARE_FILES_A55A9D0F_TO_18BBB185.csv,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,3,3CEE2F153AB1815DA26FB9F5D25A1B627E6B83A05E66A2E565CB5BFEB5FBC0C5,22147,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/BRANCH_COMPARE_SUMMARY_18BBB185.csv,1,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,e19601686734605239a5a42da76e32d5c0d0e53e,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0004_e196016867_BRANCH_COMPARE_SUMMARY_18BBB185.csv,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,4,E7FA00C0023F67E23C0246A0479329A7E82E0BC85A8F679BD7F478996E3FCF22,379,branch_blob_extracted_to_local_source_body_by_object_id,b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/CHILD_PACKET_INVENTORY_18BBB185.csv,15,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,70bd8bb8fa6b4da0ec012f261f54a3ec2110a308,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0005_70bd8bb8fa_CHILD_PACKET_INVENTORY_18BBB185.csv,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,5,E96B4BFE8904736012A80FE818A46C157AE929D3C9CC32E0307D63FE433BA238,3662,branch_blob_extracted_to_local_source_body_by_object_id,source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/EIGHT_LANE_ROUTE_STATUS_ROWS_18BBB185.csv,8,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,e4c63c71335b1ea2773a9883a8270778703f503b,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0006_e4c63c7133_EIGHT_LANE_ROUTE_STATUS_ROWS_18BBB185.csv,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,6,4960B2667EAC9A3FB28DA706D9A9D824ABC329DC530A2AEFA0109B913A8A2870,4796,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/EXACT_BLOCKER_RECOVERY_ROWS_18BBB185.csv,8,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,9d65b8bf8fa5e7064b25d2fd55e46243f047475a,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0007_9d65b8bf8f_EXACT_BLOCKER_RECOVERY_ROWS_18BBB185.csv,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,7,A0AB09D09DD562DF6E7D28C8B98BBDABD26380E2AFDC1C487A1ED1E21897903C,2330,branch_blob_extracted_to_local_source_body_by_object_id,source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/MANIFEST.csv,11,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,28bb2ff57bfa897ba5fe95ee6ea4bd49757931d9,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0008_28bb2ff57b_MANIFEST.csv,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,8,417CCEBA481AA742DF14A1B2E8F9F14E53861873D3E836348BDB3A2E1B0D1E14,1206,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/README.md,,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,47a218e59ba321269888c3feac1417655a8bc08e,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0009_47a218e59b_README.md,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,9,5E32F6E10B15B57B15D4105257BA21D9FDD60E7CA70D9C7954A06223F921FD2C,4071,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/SHA256SUMS.txt,,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,83d1d7c120a60fa892643d7e06587377e5cb18c9,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0010_83d1d7c120_SHA256SUMS.txt,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,10,3E2A1CF8F925433B4DB2920FF65D407AC8BAAB61CDF67A1E593C33F0604E05BC,1144,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_18BBB185.csv,10,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,5d8ebe744854de1120919b42de4857af7b4f4be0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0011_5d8ebe7448_SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_18BBB185.csv,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,11,306868664495CB4FA7409804741B2CEFB7F9D06D60D60A1F2ED739BD976CCB90,3122,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/SUMMARY.json,,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,7aa7deb2e0b2b3c8dfa95f3d20ee1c32704ecbe0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0012_7aa7deb2e0_SUMMARY.json,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,12,2F0AB4AB7365E485FF1629034028015676AF62B767315ACF66BF4F730B005FB8,1785,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/VISIBLE_THREAD_WAKE_STATUS_18BBB185.csv,6,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,121e2e366090a617ac727e0ae68a9de20fea2566,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0013_121e2e3660_VISIBLE_THREAD_WAKE_STATUS_18BBB185.csv,100644,blob,,non_slavic_core_18b_a55_7b_route_context_batch,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,13,3834464BDF7C925E585ADEC9ED56C482F24680B484A03BC61AD7C7D50B19C73E,1263,branch_blob_extracted_to_local_source_body_by_object_id,source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-1fa37d6d-18bbb-route-context-visibility-20260707/NON_SLAVIC_CORE_1FA37D6D_18BBB_ROUTE_CONTEXT_VISIBILITY_20260707/B3_HANDOFF_SENT_1FA37D6D.md,,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,5488cbbac4279ea0be736a128c9e91873d8569b2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0014_5488cbbac4_B3_HANDOFF_SENT_1FA37D6D.md,100644,blob,,non_slavic_core_1fa_18b_route_context_visibility,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,14,3280B48DA94E729467AF759C07F1471449A3030EB36015E846E3D5294AA1270F,1310,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-1fa37d6d-18bbb-route-context-visibility-20260707/NON_SLAVIC_CORE_1FA37D6D_18BBB_ROUTE_CONTEXT_VISIBILITY_20260707/BRANCH_COMPARE_COMMITS_18BBB185_TO_1FA37D6D.csv,2,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,0c6a9bf3a16003888e5dfa5fd6b400b3f4fc48c2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0015_0c6a9bf3a1_BRANCH_COMPARE_COMMITS_18BBB185_TO_1FA37D6D.csv,100644,blob,,non_slavic_core_1fa_18b_route_context_visibility,18bbb1855ba0b669e3d92bfa9466bf71bb13c83c,15,C51C7525F84CBB6859CB02212EA90A880D465B251DAFB989237CB49DCA802AA0,287,branch_blob_extracted_to_local_source_body_by_object_id,source_use;blocker_recovery_gap;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,A
