b3_action,claim_boundary,frontier,generated_utc,handoff_type,path
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\BRANCH_CHANGED_PATHS_18BBB185_TO_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\BRANCH_COMMITS_18BBB185_TO_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\GIT_OBJECT_EXTRACTED_BRANCH_ARTIFACTS_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\GIT_OBJECT_EXTRACTION_FAILURES_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\PAYLOAD_GROUP_COUNTS_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\SOURCE_USE_ADVERSE_COVERAGE_LEDGER_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\BRANCH_WEIGHTING_LEDGER_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\MARGINAL_INTELLIGIBILITY_LEDGER_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\NORMALIZATION_MARKER_TABLE_LEDGER_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\DO_NOT_USE_LEDGER_4065F6A4.csv
"package/upload as source-use authority evidence, not approval",source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_4065F6A4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\INTERSLAVIC_CORRECTION_LEDGER_4065F6A4.csv
