extracted_source_body_count,frontier,generated_utc,labels_seen,next_action,payload_group,routing_status
10,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,b3_handoff;r3_arabic_persianate_route;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,b3_18b_a55_persianate_child_return_transfer_audit,source-linked authority evidence; non-canonical/no approval
10,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,b3_handoff;interslavic_boundary;b3_handoff;non_slavic_core_route;interslavic_boundary;manifest_hash_validation;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,b3_1fa_nonslavic_18b_route_context_transfer_audit,source-linked authority evidence; non-canonical/no approval
10,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;olp_review_boundary,route to lane owner/B3 with source-use and gap labels intact,b3_ac6_r3_18b_route_context_source_use_gap_transfer_audit,source-linked authority evidence; non-canonical/no approval
10,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,b3_handoff;interslavic_boundary;b3_handoff;non_slavic_core_route;interslavic_boundary;manifest_hash_validation;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,b3_c033_nonslavic_branch_visibility_transfer_audit,source-linked authority evidence; non-canonical/no approval
10,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,b3_handoff;interslavic_boundary;b3_handoff;non_slavic_core_route;interslavic_boundary;manifest_hash_validation;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,b3_f347_nonslavic_1fa_route_context_transfer_audit,source-linked authority evidence; non-canonical/no approval
13,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_pe,route to lane owner/B3 with source-use and gap labels intact,non_slavic_core_18b_a55_7b_route_context_batch,source-linked authority evidence; non-canonical/no approval
12,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;blocker_recovery_gap;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;intersla,route to lane owner/B3 with source-use and gap labels intact,non_slavic_core_1fa_18b_route_context_visibility,source-linked authority evidence; non-canonical/no approval
9,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,non_slavic_core_a55_r3_r6_accounting_refresh_route,source-linked authority evidence; non-canonical/no approval
11,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,manifest_hash_validation;non_slavic_core_route;interslavic_boundary;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,non_slavic_core_c033_18b_1fa_branch_visibility,source-linked authority evidence; non-canonical/no approval
34,4065f6a4b22c625356e2fd080167c5c5d03b0a00,2026-07-07T04:50:32Z,adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;r6_ethics_authority;r3_arabic_persianate_route;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;branch_weighting;r6_ethics_authority;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;manifest_hash_validation;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3,route to lane owner/B3 with source-use and gap labels intact,persianate_tajik_a55_r3_r6_accounting_refresh_route,source-linked authority evidence; non-canonical/no approval
