language,witness_category,files,bytes,use_boundary
_package_metadata,audit-ledger,2,8799,package metadata only; no language authorization or review claim
_package_metadata,method-note,1,4175,package metadata only; no language authorization or review claim
_provenance,audit-ledger,3,85753,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
fa_IR,adjacent-source-body,1,1530533,"fa_IR source only; does not authorize Dari, Tajik, Urdu, or Arabic rows; no native review, accepted terminology, license clearance, gate promotion, source certification, or completion claim"
fa_IR,native-source-body,9,13661685,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
fa_IR,OCR-witness,7,1874143,"fa_IR source only; does not authorize Dari, Tajik, Urdu, or Arabic rows; no native review, accepted terminology, license clearance, gate promotion, source certification, or completion claim"
fa_IR,pointer-only,1,6078,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
generated-draft,generated-draft,1,19161,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
prs_AF,native-source-body,6,12665997,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
prs_AF,OCR-witness,2,2003497,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
ps_AF,native-source-body,5,101735989,"ps_AF Pashto source only; RTL-adjacent evidence that does not authorize Dari/Persian, Iranian Persian, Tajik, Urdu, or Arabic rows; no native review, accepted terminology, license clearance, gate promotion, source certification, or completion claim"
ps_AF,OCR-witness,5,1861011,"ps_AF Pashto source only; RTL-adjacent evidence that does not authorize Dari/Persian, Iranian Persian, Tajik, Urdu, or Arabic rows; no native review, accepted terminology, license clearance, gate promotion, source certification, or completion claim"
tg_Cyrl_TJ,native-source-body,13,30746964,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
tg_Cyrl_TJ,OCR-witness,8,8480593,"Tajik source-discovery/non-row only unless separately promoted; does not authorize Persian, Dari, Urdu, or Arabic rows; no native review, accepted terminology, license clearance, gate promotion, source certification, or completion claim"
tg_Cyrl_TJ,pointer-only,1,1207,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
tg_Cyrl_TJ,source-discovery-body,2,19771422,"Tajik source-discovery/non-row only unless separately promoted; does not authorize Persian, Dari, Urdu, or Arabic rows; no native review, accepted terminology, license clearance, gate promotion, source certification, or completion claim"
ur,adjacent-source-body,1,823675,"Urdu source only; does not authorize Persian, Dari, Tajik, or Arabic rows; no native review, accepted terminology, license clearance, gate promotion, source certification, or completion claim"
ur,native-source-body,1,15738106,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
ur,OCR-witness,2,267952,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
ur,pointer-only,2,9969,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
