"package_id","original_relative_path","bytes","sha256","media_type","width_px","height_px","dpi_x","dpi_y","pdf_pages","role","disposition","linked_scope"
"P04_INTRO_S02_S04","03_source_evidence/contact_sheet.png","5303901","7CDBF74643EE5FA79C1EF8AD0DD481600CB345B34C9CFD76ABE4ECAE643B12F1","image/png","1140","8190","96","96","","source authority/page/crop witness","rights_blocked_not_public","paper04-introduction-sections02-04"
"P04_INTRO_S02_S04","03_source_evidence/eq28_printed_p133_subscripts.png","184972","C81407404991697268B6DCC188412D926902938A42B1CA92E4992C7410496689","image/png","1500","600","239.9792","239.9792","","source authority/page/crop witness","rights_blocked_not_public","paper04-introduction-sections02-04"
"P04_INTRO_S02_S04","03_source_evidence/original_p129_formula16_prose_missing_ellipsis_crop.png","109981","317659687D11D91CDC414E1F57FC124EF8308DC0E8644F2231BCE8C812B6CFC4","image/png","1450","360","239.9792","239.9792","","source authority/page/crop witness","rights_blocked_not_public","paper04-introduction-sections02-04"
"P04_INTRO_S02_S04","03_source_evidence/original_p130_general_expansion_K_minus_1_context_crop.png","194041","63C3186105A888917AD07C3028A9F7E55212077F3A5A8B219E909D557978B451","image/png","1450","830","239.9792","239.9792","","source authority/page/crop witness","rights_blocked_not_public","paper04-introduction-sections02-04"
"P04_INTRO_S02_S04","03_source_evidence/page-9.png","978707","79ECB7AFF99D5B61CEF6DA47F8F9B63F170AF90F574A8963FE0277548EC4882B","image/png","1556","2260","240.0046","240.0046","","source authority/page/crop witness","rights_blocked_not_public","paper04-introduction-sections02-04"
"P04_INTRO_S02_S04","03_source_evidence/printed-p132_physical-p15.png","1040819","1E3AB11AE29720BB5E27002B5684704FACD28580DC488AB48268F858782514BC","image/png","1556","2260","239.9792","239.9792","","source authority/page/crop witness","rights_blocked_not_public","paper04-introduction-sections02-04"
"P37","03_source_evidence/P37_printed_p147_fullres.jpg","3318292","37E0B6700603821D39F106769F8CE9AC29E3C4B6F1F664505B05B46B4ECDAE85","image/jpeg","3800","5789","600","600","","source authority/page/crop witness","rights_blocked_not_public","paper37"
"P37","03_source_evidence/P37_printed_p150_v1_to_vt_crop_fullres.png","137141","8FEBDDE386B784861C91E26522E5233059BC363E880E395CCC43DB813DBD6A64","image/png","3450","650","599.9988","599.9988","","source authority/page/crop witness","rights_blocked_not_public","paper37"
"P37","03_source_evidence/P37_printed_p151_fullres.jpg","3325829","6CE8C3C2B7C6043695AC613BE134A3DB00C968163BA4EF7599FBCD4AEC82E256","image/jpeg","3800","5789","600","600","","source authority/page/crop witness","rights_blocked_not_public","paper37"
"P04_S05","03_source_evidence/P04_p132_four_cases_600dpi_crop.png","512973","7360CE6F2A331E7AD5A8C157658757BF69A360A4397ABE855BEE4A59E72A0C3F","image/png","3500","1100","599.9988","599.9988","","source authority/page/crop witness","rights_blocked_not_public","paper04-section05"
"P04_S05","03_source_evidence/P04_p135_eq35_600dpi_crop.png","410886","661A6006C42E6D3035D228A0492E0E7A0FA6F3AD54ED4D0B8FD798C5CD7AA3A8","image/png","3600","700","599.9988","599.9988","","source authority/page/crop witness","rights_blocked_not_public","paper04-section05"
"P04_S05","03_source_evidence/P04_p137_defect_alpha_and_identity_600dpi_crop.png","1516685","46271D1E96FA96A71B3CF1425441FBD724F2DE03C8C1C6FDED0DB3F4925506D7","image/png","3550","2600","599.9988","599.9988","","source authority/page/crop witness","rights_blocked_not_public","paper04-section05"
"P04_S05","03_source_evidence/P04_p137_eq38_39_600dpi_crop.png","1604599","31326226B33A5CC5A28C22BD4F116C80FCE256E761415D9B94AA38CF7345BF04","image/png","3550","2500","599.9988","599.9988","","source authority/page/crop witness","rights_blocked_not_public","paper04-section05"
"P04_S05","03_source_evidence/P04_printed_p132_600dpi.png","5129938","CF34B3A52E265154E4E34396832FFA502E9B5CE4D58262EA6EE210D99E6066CC","image/png","3888","5649","599.9988","599.9988","","source authority/page/crop witness","rights_blocked_not_public","paper04-section05"
"P04_S05","03_source_evidence/P04_printed_p135_600dpi.png","5513004","C127BF97B551835590387D48BCA7065AC39332B411A603353136E366DB9AA067","image/png","3888","5649","599.9988","599.9988","","source authority/page/crop witness","rights_blocked_not_public","paper04-section05"
"P04_S05","03_source_evidence/P04_printed_p137_600dpi.png","5706294","ADEAFCD19664FAFFF084BBF7D2536CCA257F4197BB026CB5B2AAF936A3D15AAC","image/png","3888","5649","599.9988","599.9988","","source authority/page/crop witness","rights_blocked_not_public","paper04-section05"
"P04_S05","03_source_evidence/paper_04_crelle139_pp118_154_ORIGINAL.pdf","72444867","D7F7CE6D4B311FFD968ED47DC9C1478CFFCF9F446A86BF90263E0C9D1B41C9EF","application/pdf","","","","","","source authority/page/crop witness","rights_blocked_not_public","paper04-section05"
