"field","value","source","boundary"
"current_frontier","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","git ls-remote origin refs/heads/codex/noether-pc-20260629","current OLP route visibility frontier"
"current_subject","Add 02F 0BF OLP Persianate source-gap returns","git log 2bbebc4e","route/package visibility only"
"parent_frontier","02f0611b4f4bcb2890ac3950523e6eeecc2efe0c","git log 2bbebc4e --parents","prior frontier lineage"
"parent_subject","Refresh 0BF Persianate Tajik source-gap accounting","git log 02f0611b","source-gap accounting lineage"
"intermediate_frontier","feaf3962c34b2270de67068becdf100e53b59d7e","git log 0bf2ae1d..2bbebc4e","prior route/package lineage"
"intermediate_subject","Add 0BF OLP Non-Slavic Persianate returns batch","git log feaf3962","route/package visibility only"
"prior_olp_frontier","0bf2ae1d4de8896273014591df92043aa25f62a5","ACTIVE_SESSION_STATE and prior OLP packet set","prior OLP owner packet lineage"
"compare_02f_to_2bbe_ahead_by","1","git rev-list --count 02f0611b..2bbebc4e","route delta count only"
"compare_02f_to_2bbe_changed_paths","40","git diff --name-only 02f0611b..2bbebc4e","route delta count only"
"compare_0bf_to_2bbe_ahead_by","3","git rev-list --count 0bf2ae1d..2bbebc4e","route delta count only"
"compare_0bf_to_2bbe_changed_paths","171","git diff --name-only 0bf2ae1d..2bbebc4e","route delta count only"
"b3_post_package_root","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_02F0611B_0BF_OLP_PT_RECHECK_NONSLAVIC_SOURCE_GAP_RETURN_20260707","B3 post package visibility","B3 package/reference context only"
"b3_post_manifest_status","present locally; route/source-use/provenance/gap context only","local B3 outputs","not reviewer return or source certification"
"persianate_tajik_packet_status","prior 0BF carryforward OK=31/NONOK=0; local SHA verification OK=32/NONOK=0","PERSIANATE_TAJIK_0BF2AE1D_FRONTIER_WAKE_CARRYFORWARD_20260707","source-use/gap context only"
"direct_source_body_evidence_changed","false","OLP 2BBE packet generation and route readback","no source-body promotion"
"source_body_promotions","0","OLP 2BBE route accounting","zero-claim boundary"
"real_reviewer_return_rows","0","OLP 2BBE review-boundary accounting","no direct reviewer/source return evidence changed"
"mapping_count_delta","0","OLP 2BBE packet validation","zero unless direct evidence changes"
"translation_count_delta","0","OLP 2BBE packet validation","zero unless direct evidence changes"
"approval_count_delta","0","OLP 2BBE packet validation","zero unless direct evidence changes"
"generated_draft_noncanonical_boundary","preserved","interlinear/terminology package guard","no native review or accepted terminology claim"
"five_hour_reset_rule","after any five-hour pause or app/token/rate-limit reset, reread heartbeat/logbook/state, verify branch/frontier if possible, wake stale siblings, and continue from artifacts","current heartbeat/delegation rule","recovery procedure only"
"generated_utc","2026-07-07T14:56:35Z","local packet refresh","artifact timestamp only"
"packet_kind","interlinear/terminology generated-draft/non-canonical","OLP package role","lane support only"
"previous_package","OLP_0BF2AE1D_INTERLINEAR_TERMINOLOGY_A9C_ROUTE_20260707","local artifact lineage","prior context only"
