"pattern","line","sample"
"algebra","9282","algebra/0001"
"algebra","9283","algebraisce/0015"
"matemat","36855","matematice/0014"
"matemat","36856","matematikar/0044"
"matemat","36857","matematikarce/0014"
"matemat","36858","matematisce/0015"
"matemat","36859","matematisko-hudźbna/0011"
"matemat","36860","matematisko-přirodowědna/0011"
"matemat","36861","matematizuj/0017"
"matemat","53889","njematematizuj/0017"
"geometr","23195","geometrija/0012"
"geometr","23196","geometrijowa/0011"
"geometr","23197","geometrisce/0015"
"funkc","11898","bjezfunkcisce/0015"
"funkc","19725","dysfunkcionalna/0011"
"funkc","22793","funkcija/0012"
"funkc","22794","funkcijna/0011"
"funkc","22795","funkcijowa/0011"
"funkc","22796","funkcionalita/0030"
"funkc","22797","funkcionalizm/0005"
"funkc","22798","funkcionalna/0008"
"funkc","22799","funkcionalna/0011"
"funkc","22800","funkcionalnosć/0023"
"grup","23667","grupa/0001"
"grup","23668","grupěruj/0017"
"grup","52679","njegrupěruj/0017"
"grup","56568","njepřegrupěruj/0279"
"grup","78174","přegrupěruj/0279"
"wektor","31921","konwektor/0033"
"wektor","84962","radiuswektor/0033"
"wektor","99389","wektor/0033"
"wektor","99390","wektorografikowa/0011"
"wektor","99391","wektorowa/0011"
"matric","36894","matrica/0002"
"matric","36895","matricowa/0011"
"modul","7732","UMTS-modul/0009"
"modul","16497","demodulacija/0012"
"modul","38604","modul/0009"
"modul","38605","modulacija/0012"
"modul","38606","modulacisce/0015"
"modul","38607","modularizuj/0017"
"modul","38608","modularna/0011"
"modul","38609","modularna/0016"
"modul","38610","modulator/0033"
"modul","38611","modulowa/0011"
