lexeme_id,english_concept,language_id,tree_branch,leaf_equal_splits_weight,raw_attestation,weighted_mass,source_document_count_for_language,evidence_status,non_claim_boundary
cjklex-0001,module,ja,Japonic,1.0,1,1.0,9,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0001,module,zh-Hans,Sinitic,1.0,1,1.0,2,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0001,module,ko,Koreanic,1.0,1,1.0,30,fallback-source-body-term-attestation-not-row-draft,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0004,submodule,ja,Japonic,1.0,1,1.0,9,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0004,submodule,zh-Hans,Sinitic,1.0,1,1.0,2,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0004,submodule,ko,Koreanic,1.0,1,1.0,30,fallback-source-body-term-attestation-not-row-draft,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0006,semisimple,ja,Japonic,1.0,1,1.0,9,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0006,semisimple,zh-Hans,Sinitic,1.0,1,1.0,2,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0006,semisimple,ko,Koreanic,1.0,1,1.0,30,fallback-source-body-term-attestation-not-row-draft,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0007,completely reducible,ja,Japonic,1.0,1,1.0,9,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0007,completely reducible,zh-Hans,Sinitic,1.0,1,1.0,2,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0007,completely reducible,ko,Koreanic,1.0,1,1.0,30,fallback-source-body-term-attestation-not-row-draft,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0008,character,ja,Japonic,1.0,1,1.0,9,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0008,character,zh-Hans,Sinitic,1.0,1,1.0,2,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0008,character,ko,Koreanic,1.0,1,1.0,30,fallback-source-body-term-attestation-not-row-draft,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0009,irreducible representation,ja,Japonic,1.0,1,1.0,9,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0009,irreducible representation,zh-Hans,Sinitic,1.0,1,1.0,2,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0009,irreducible representation,ko,Koreanic,1.0,1,1.0,30,fallback-source-body-term-attestation-not-row-draft,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0011,representation,ja,Japonic,1.0,1,1.0,9,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0011,representation,zh-Hans,Sinitic,1.0,1,1.0,2,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0011,representation,ko,Koreanic,1.0,1,1.0,30,fallback-source-body-term-attestation-not-row-draft,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0012,representation theory,ja,Japonic,1.0,1,1.0,9,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
cjklex-0012,representation theory,zh-Hans,Sinitic,1.0,1,1.0,2,source-canon-sufficient-generated-draft-row,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
