priority,rel_path,grade,score,flags,bytes,title_guess,recommended_action
P0_REPAIR_FROM_SCAN,20_Gauss_Werke_Band06/gauss_b06_ch8.tex,D,-1990,OCR_ARTIFACTS|OCR_SPACING|OCR_HEADERS|LOW_MATH,151288,"Carl Friedrich Gau Werke --- Band 6, Teil 8","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,20_Gauss_Werke_Band06/gauss_b06_ch10.tex,D,-1767,OCR_ARTIFACTS|OCR_SPACING|LOW_MATH,151308,"Carl Friedrich Gau Werke --- Band 6, Teil 10","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,21_Gauss_Werke_Band07/gauss_b07_ch8.tex,D,-1218,OCR_ARTIFACTS|LOW_MATH,117626,"Carl Friedrich Gau Werke --- Band 7, Teil 8","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,19_Gauss_Werke_Band05/gauss_b05_ch2.tex,D,-926,OCR_SPACING|LOW_MATH,106769,"Carl Friedrich Gauß Werke --- Band 5, Teil 2","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,20_Gauss_Werke_Band06/gauss_b06_ch13.tex,D,-666,OCR_SPACING|LOW_MATH,226405,"Carl Friedrich Gau Werke --- Band~6, Teil~13","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,20_Gauss_Werke_Band06/gauss_b06_ch11.tex,D,-643,OCR_ARTIFACTS|OCR_SPACING|LOW_MATH,223401,"Carl Friedrich Gauß Werke --- Band~6, Teil~11","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,18_Gauss_Werke_Band04/gauss_b04_ch6.tex,D,-510,OCR_SPACING|LOW_MATH,98658,"Carl Friedrich Gau Werke --- Band 4, Teil 6","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,20_Gauss_Werke_Band06/gauss_b06_ch2.tex,D,-426,OCR_SPACING|LOW_MATH,97058,"Carl Friedrich Gau Werke --- Band 6, Teil 2","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,18_Gauss_Werke_Band04/gauss_b04_ch7.tex,D,-325,OCR_SPACING|LOW_MATH,66740,"Carl Friedrich Gau Werke --- Band 4, Teil 7","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,19_Gauss_Werke_Band05/gauss_b05_ch8.tex,D,-68,OCR_HEADERS,112098,"Carl Friedrich Gauß Werke --- Band 5, Teil 8","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,20_Gauss_Werke_Band06/gauss_b06_ch12.tex,D,-42,RAW_PROSE_DUMP|LOW_MATH,214309,"Carl Friedrich Gau Werke --- Band 6, Teil 12","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P0_REPAIR_FROM_SCAN,16_Gauss_Werke_Band02/gauss_b02_ch9.tex,D,-38,OCR_SPACING|GOOD_MATH,56099,"Carl Friedrich Gau  Werke --- Band 2, Teil 9","Do not translate first; compare against source scan, remove OCR artifacts, then re-render."
P1_AUDIT_AND_REPAIR,24_Gauss_Werke_Band01_alt/gauss_b01a_ch9.tex,C,-3,LOW_MATH,116297,"Band 1 (Alternate), Teil 9",Render and compare samples; repair low-math/raw-prose sections before front-facing use.
P1_AUDIT_AND_REPAIR,18_Gauss_Werke_Band04/gauss_b04_ch2.tex,C,0,LOW_MATH,80291,"Carl Friedrich Gau  Werke --- Band 4, Teil 2",Render and compare samples; repair low-math/raw-prose sections before front-facing use.
P1_AUDIT_AND_REPAIR,18_Gauss_Werke_Band04/gauss_b04_ch5_raw.tex,C,0,LOW_MATH,77572,"Carl Friedrich Gau Werke --- Band 4, Teil 5",Render and compare samples; repair low-math/raw-prose sections before front-facing use.
P1_AUDIT_AND_REPAIR,20_Gauss_Werke_Band06/section5.tex,C,0,LOW_MATH,5065,Carl Friedrich Gau Werke --- Band 6,Render and compare samples; repair low-math/raw-prose sections before front-facing use.
P1_AUDIT_AND_REPAIR,19_Gauss_Werke_Band05/gauss_b05_ch7.tex,C,1,RAW_PROSE_DUMP,117774,"Carl Friedrich Gauß Werke --- Band 5, Teil 7",Render and compare samples; repair low-math/raw-prose sections before front-facing use.
P1_AUDIT_AND_REPAIR,19_Gauss_Werke_Band05/gauss_b05_ch4.tex,C,4,OCR_HEADERS|GOOD_MATH,99390,"Carl Friedrich Gauß Werke --- Band 5, Teil 4",Render and compare samples; repair low-math/raw-prose sections before front-facing use.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch3.tex,A,70,GOOD_MATH,39186,"Carl Friedrich Gau Werke --- Band 2, Teil 3",Good candidate for English translation if not already public and source pages can be checked.
