"current_head_context","prior_frontier_context","carried_from_branch_context","term_id","language_lane","english_concept","draft_target_rendering","draft_status","source_body_status","source_locator_count","source_context_note","formula_neighboring_usage_note","term_alternatives_or_register_note","interlinear_or_linguistic_scaffold","source_gate","current_head_delta_effect","source_use_label","b3_action","boundary"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0001","french","algebra","algèbre","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","8","Risk ids: AFF-014; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","normalize diacritics for search but preserve target orthography and modifiers in drafts | use generated drafts as scaffolds and controls as controls only","DE: Algebra / noncommutative algebra | EN: algebra | FRENCH: algèbre | PRETRANS-SCAFFOLD[french]: EN=algebra => target-draft=algèbre; risk=AFF-014; AFF-015; status=generated-draft_standard_source_gate","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0002","french","commutative algebra","algèbre commutative","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","8","Risk ids: AFF-014; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","normalize diacritics for search but preserve target orthography and modifiers in drafts | use generated drafts as scaffolds and controls as controls only","DE: kommutative Algebra | EN: commutative algebra | FRENCH: algèbre commutative | PRETRANS-SCAFFOLD[french]: EN=commutative algebra => target-draft=algèbre commutative; risk=AFF-014; AFF-015; status=generated-draft_standard_source_gate","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0003","french","Hilbert basis","base de Hilbert","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","5","Validated French TeX still has 0 exact base de Hilbert hits; supplemental local French course text has theorem-level evidence for théorème de la base de Hilbert at line 819 and théorème de Hilbert at line 115. Prefer theorem-context phrasing; keep base de Hilbert as glossary shorthand pending review. Risk ids: AFF-008; AFF-015 Line-hash locators recorded: 5 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near basis/finiteness formulas such as F=A_1f_1+...+A_kf_k; keep theorem, basis, and finiteness wording tied to the displayed representation context. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","require direct theorem-source row or explicit local context | use generated drafts as scaffolds and controls as controls only","DE: Hilbertsches Theorem / Modulbasis / Basissaetze | EN: Hilbert basis | FRENCH: base de Hilbert | PRETRANS-SCAFFOLD[french]: EN=Hilbert basis => target-draft=base de Hilbert; risk=AFF-008; AFF-015; status=generated-draft_review_guard","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0004","french","localization","localisation","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","6","German source uses Quotientenring/localized notation rather than literal Lokalisierung. Risk ids: AFF-007; AFF-015 Line-hash locators recorded: 6 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","algebraic localization only with multiplicative-set/ring/module context | use generated drafts as scaffolds and controls as controls only","DE: Quotientenring / localized quotient-ring construction | EN: localization | FRENCH: localisation | PRETRANS-SCAFFOLD[french]: EN=localization => target-draft=localisation; risk=AFF-007; AFF-015; status=generated-draft_review_guard","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0005","french","field","corps","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","8","Risk ids: AFF-003; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","keep corps/cuerpo/Körper algebra-field evidence separate from ordinary field/campo/champ | use generated drafts as scaffolds and controls as controls only","DE: Koerper | EN: field | FRENCH: corps | PRETRANS-SCAFFOLD[french]: EN=field => target-draft=corps; risk=AFF-003; AFF-015; status=generated-draft_guarded_context_required","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0006","french","module","module","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","8","Risk ids: AFF-005; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near ideal-chain and finite-basis conditions; use modern Noetherian wording only as a marked explanatory rendering of Endlichkeitsbedingung or finite-chain source. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","use algebraic-module only with algebraic context; keep compound modifiers bound | use generated drafts as scaffolds and controls as controls only","DE: Modul | EN: module | FRENCH: module | PRETRANS-SCAFFOLD[french]: EN=module => target-draft=module; risk=AFF-005; AFF-015; status=generated-draft_guarded_context_required","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0007","french","quotient module","module quotient","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","8","Restklassenmodul rendered as module quotient / module de classes résiduelles. Risk ids: AFF-005; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near quotient/submodule notation, especially M/U; preserve quotient-module and residual-class wording around formulas. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","use algebraic-module only with algebraic context; keep compound modifiers bound | use generated drafts as scaffolds and controls as controls only","DE: Restklassenmodul / M/U | EN: quotient module | FRENCH: module quotient | PRETRANS-SCAFFOLD[french]: EN=quotient module => target-draft=module quotient; risk=AFF-005; AFF-015; status=generated-draft_guarded_context_required","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0009","french","submodule","sous-module","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","8","Risk ids: AFF-005; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near ideal-chain and finite-basis conditions; use modern Noetherian wording only as a marked explanatory rendering of Endlichkeitsbedingung or finite-chain source. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","use algebraic-module only with algebraic context; keep compound modifiers bound | use generated drafts as scaffolds and controls as controls only","DE: Untermodul | EN: submodule | FRENCH: sous-module | PRETRANS-SCAFFOLD[french]: EN=submodule => target-draft=sous-module; risk=AFF-005; AFF-015; status=generated-draft_guarded_context_required","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0010","french","automorphism","automorphisme","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","8","Risk ids: AFF-010; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near morphism/representation notation; preserve the -morphism or representation register and avoid over-normalizing historical prose. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","keep prefix-specific terms separate with source rows | use generated drafts as scaffolds and controls as controls only","DE: Automorphismenring / Automorphismen | EN: automorphism | FRENCH: automorphisme | PRETRANS-SCAFFOLD[french]: EN=automorphism => target-draft=automorphisme; risk=AFF-010; AFF-015; status=generated-draft_guarded_context_required","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0011","french","endomorphism","endomorphisme","generated-draft/non-canonical/not-native-reviewed","source-context/witness rows available; inspect line hashes before promotion","8","German source uses Homomorphismus-in-sich / Homomorphismen in sich; audited English control renders this as endomorphism(s). Draft only; keep German historical wording visible to reviewers. Risk ids: AFF-010; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near Homomorphismus-in-sich wording; keep the historical German anchor visible when using endomorphism in draft. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","keep prefix-specific terms separate with source rows | use generated drafts as scaffolds and controls as controls only","DE: Homomorphismus in sich / Homomorphismen in sich | EN: endomorphism | FRENCH: endomorphisme | PRETRANS-SCAFFOLD[french]: EN=endomorphism => target-draft=endomorphisme; risk=AFF-010; AFF-015; status=generated-draft_guarded_context_required","source_gated_generated_draft_with_line_hash_context","carry forward as source-backed generated-draft; 8BE delta adds no direct target-language source body or row promotion","generated-draft/noncanonical/source-gated/pretranslation","route as source-backed generated-draft/non-canonical pretranslation/interlinear support","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
