"current_head_context","source_package_context","branch_head_context","compared_against_branch_context","carried_from_package","term_id","language_lane","english_concept","preferred_generated_draft_or_blocked_candidate","alternatives_or_register_note","do_not_use_check","source_gate","review_boundary"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0001","french","algebra","algèbre","normalize diacritics for search but preserve target orthography and modifiers in drafts | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-014; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0002","french","commutative algebra","algèbre commutative","normalize diacritics for search but preserve target orthography and modifiers in drafts | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-014; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0003","french","Hilbert basis","base de Hilbert","require direct theorem-source row or explicit local context | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-008; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0004","french","localization","localisation","algebraic localization only with multiplicative-set/ring/module context | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-007; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0005","french","field","corps","keep corps/cuerpo/Körper algebra-field evidence separate from ordinary field/campo/champ | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-003; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0006","french","module","module","use algebraic-module only with algebraic context; keep compound modifiers bound | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-005; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0007","french","quotient module","module quotient","use algebraic-module only with algebraic context; keep compound modifiers bound | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-005; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0009","french","submodule","sous-module","use algebraic-module only with algebraic context; keep compound modifiers bound | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-005; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0010","french","automorphism","automorphisme","keep prefix-specific terms separate with source rows | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-010; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0011","french","endomorphism","endomorphisme","keep prefix-specific terms separate with source rows | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-010; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0012","french","homomorphism","homomorphisme","keep prefix-specific terms separate with source rows | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-010; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0013","french","isomorphism","isomorphisme","keep prefix-specific terms separate with source rows | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-010; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0014","french","Noetherian ring","anneau noethérien","keep eponym adjective and Noetherian-ring scope separate | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-009; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0015","french","Noetherian","noethérien","keep eponym adjective and Noetherian-ring scope separate | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-009; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0016","french","irreducible","irréductible","bind adjective to representation when the source row requires the compound | use generated drafts as scaffolds and controls as controls only","adverse guard present: Adverse risks: AFF-011; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","outputs/ROMANCE_212DFB_FOLLOWUP_GAP_AUDIT_20260706","term-fr-0017","french","representation","représentation","use generated drafts as scaffolds and controls as controls only | use only with group/module/action formula context or explicit representation-theory source","adverse guard present: Adverse risks: AFF-006; AFF-015; preserve do-not-use guards and false-friend/register blockers.","source_context_sufficient_for_generated_draft_support","term alternatives are generated-draft/source-use review aids only; not accepted terminology"
