"current_head_context","prior_frontier_context","carried_from_branch_context","term_id","language_lane","english_concept","row_bucket","current_head_delta_effect","source_use_gate","draft_target_rendering_or_blocked_candidate","draft_status","source_context_note","formula_neighboring_usage_note","term_register_alternatives","interlinear_or_linguistic_scaffold","branch_weight_basis","adverse_evidence_note","do_not_use_status","blocker_or_recovery_action","source_use_label","b3_handoff_route","boundary"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0001","french","algebra","source_gated_generated_draft_noncanonical","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_context_sufficient_for_generated_draft_support","algèbre","generated-draft/non-canonical/not-native-reviewed","Risk ids: AFF-014; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","normalize diacritics for search but preserve target orthography and modifiers in drafts | use generated drafts as scaffolds and controls as controls only","DE: Algebra / noncommutative algebra | EN: algebra | FRENCH: algèbre | PRETRANS-SCAFFOLD[french]: EN=algebra => target-draft=algèbre; risk=AFF-014; AFF-015; status=generated-draft_standard_source_gate","source-gated Romance witness/context row; generated drafts carry zero native-review weight","Adverse risks: AFF-014; AFF-015; preserve do-not-use guards and false-friend/register blockers.","adverse/register guard only; generated-draft review boundary","preserve false-friend/register guard during draft use and source review","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0002","french","commutative algebra","source_gated_generated_draft_noncanonical","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_context_sufficient_for_generated_draft_support","algèbre commutative","generated-draft/non-canonical/not-native-reviewed","Risk ids: AFF-014; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","normalize diacritics for search but preserve target orthography and modifiers in drafts | use generated drafts as scaffolds and controls as controls only","DE: kommutative Algebra | EN: commutative algebra | FRENCH: algèbre commutative | PRETRANS-SCAFFOLD[french]: EN=commutative algebra => target-draft=algèbre commutative; risk=AFF-014; AFF-015; status=generated-draft_standard_source_gate","source-gated Romance witness/context row; generated drafts carry zero native-review weight","Adverse risks: AFF-014; AFF-015; preserve do-not-use guards and false-friend/register blockers.","adverse/register guard only; generated-draft review boundary","preserve false-friend/register guard during draft use and source review","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0003","french","Hilbert basis","source_gated_generated_draft_noncanonical","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_context_sufficient_for_generated_draft_support","base de Hilbert","generated-draft/non-canonical/not-native-reviewed","Validated French TeX still has 0 exact base de Hilbert hits; supplemental local French course text has theorem-level evidence for théorème de la base de Hilbert at line 819 and théorème de Hilbert at line 115. Prefer theorem-context phrasing; keep base de Hilbert as glossary shorthand pending review. Risk ids: AFF-008; AFF-015 Line-hash locators recorded: 5 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near basis/finiteness formulas such as F=A_1f_1+...+A_kf_k; keep theorem, basis, and finiteness wording tied to the displayed representation context. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","require direct theorem-source row or explicit local context | use generated drafts as scaffolds and controls as controls only","DE: Hilbertsches Theorem / Modulbasis / Basissaetze | EN: Hilbert basis | FRENCH: base de Hilbert | PRETRANS-SCAFFOLD[french]: EN=Hilbert basis => target-draft=base de Hilbert; risk=AFF-008; AFF-015; status=generated-draft_review_guard","source-gated Romance witness/context row; generated drafts carry zero native-review weight","Adverse risks: AFF-008; AFF-015; preserve do-not-use guards and false-friend/register blockers.","adverse/register guard only; generated-draft review boundary","preserve false-friend/register guard during draft use and source review","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0004","french","localization","source_gated_generated_draft_noncanonical","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_context_sufficient_for_generated_draft_support","localisation","generated-draft/non-canonical/not-native-reviewed","German source uses Quotientenring/localized notation rather than literal Lokalisierung. Risk ids: AFF-007; AFF-015 Line-hash locators recorded: 6 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","algebraic localization only with multiplicative-set/ring/module context | use generated drafts as scaffolds and controls as controls only","DE: Quotientenring / localized quotient-ring construction | EN: localization | FRENCH: localisation | PRETRANS-SCAFFOLD[french]: EN=localization => target-draft=localisation; risk=AFF-007; AFF-015; status=generated-draft_review_guard","source-gated Romance witness/context row; generated drafts carry zero native-review weight","Adverse risks: AFF-007; AFF-015; preserve do-not-use guards and false-friend/register blockers.","adverse/register guard only; generated-draft review boundary","preserve false-friend/register guard during draft use and source review","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0005","french","field","source_gated_generated_draft_noncanonical","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_context_sufficient_for_generated_draft_support","corps","generated-draft/non-canonical/not-native-reviewed","Risk ids: AFF-003; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","keep corps/cuerpo/Körper algebra-field evidence separate from ordinary field/campo/champ | use generated drafts as scaffolds and controls as controls only","DE: Koerper | EN: field | FRENCH: corps | PRETRANS-SCAFFOLD[french]: EN=field => target-draft=corps; risk=AFF-003; AFF-015; status=generated-draft_guarded_context_required","source-gated Romance witness/context row; generated drafts carry zero native-review weight","Adverse risks: AFF-003; AFF-015; preserve do-not-use guards and false-friend/register blockers.","adverse/register guard only; generated-draft review boundary","preserve false-friend/register guard during draft use and source review","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0006","french","module","source_gated_generated_draft_noncanonical","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_context_sufficient_for_generated_draft_support","module","generated-draft/non-canonical/not-native-reviewed","Risk ids: AFF-005; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near ideal-chain and finite-basis conditions; use modern Noetherian wording only as a marked explanatory rendering of Endlichkeitsbedingung or finite-chain source. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","use algebraic-module only with algebraic context; keep compound modifiers bound | use generated drafts as scaffolds and controls as controls only","DE: Modul | EN: module | FRENCH: module | PRETRANS-SCAFFOLD[french]: EN=module => target-draft=module; risk=AFF-005; AFF-015; status=generated-draft_guarded_context_required","source-gated Romance witness/context row; generated drafts carry zero native-review weight","Adverse risks: AFF-005; AFF-015; preserve do-not-use guards and false-friend/register blockers.","adverse/register guard only; generated-draft review boundary","preserve false-friend/register guard during draft use and source review","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0007","french","quotient module","source_gated_generated_draft_noncanonical","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_context_sufficient_for_generated_draft_support","module quotient","generated-draft/non-canonical/not-native-reviewed","Restklassenmodul rendered as module quotient / module de classes résiduelles. Risk ids: AFF-005; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near quotient/submodule notation, especially M/U; preserve quotient-module and residual-class wording around formulas. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","use algebraic-module only with algebraic context; keep compound modifiers bound | use generated drafts as scaffolds and controls as controls only","DE: Restklassenmodul / M/U | EN: quotient module | FRENCH: module quotient | PRETRANS-SCAFFOLD[french]: EN=quotient module => target-draft=module quotient; risk=AFF-005; AFF-015; status=generated-draft_guarded_context_required","source-gated Romance witness/context row; generated drafts carry zero native-review weight","Adverse risks: AFF-005; AFF-015; preserve do-not-use guards and false-friend/register blockers.","adverse/register guard only; generated-draft review boundary","preserve false-friend/register guard during draft use and source review","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0008","french","tensor product","manual_source_review_blocker","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_recovery_gap_do_not_use","produit tensoriel [candidate only; do not use in corpus prose]","blocked_no_corpus_prose","Target-language witnesses are useful terminology/context evidence, but current German baseline search still does not provide a direct named Tensorprodukt/tensor-product Noether corpus anchor.","No formula-neighboring corpus prose permitted for this candidate under current source gate.","candidate listed only to block corpus prose; recover direct German/source-corpus tensor-product anchor before any use","","hard source-recovery blocker; no corpus prose weight","Adverse risks: AFF-001; AFF-015; preserve do-not-use guards and false-friend/register blockers.","hard-source-recovery-blocker","Search canon German/source-corpus and page/slice queue for a direct Tensorprodukt/tensor-product prose anchor; keep produit tensoriel out of corpus prose until found.","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0009","french","submodule","source_gated_generated_draft_noncanonical","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_context_sufficient_for_generated_draft_support","sous-module","generated-draft/non-canonical/not-native-reviewed","Risk ids: AFF-005; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near ideal-chain and finite-basis conditions; use modern Noetherian wording only as a marked explanatory rendering of Endlichkeitsbedingung or finite-chain source. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","use algebraic-module only with algebraic context; keep compound modifiers bound | use generated drafts as scaffolds and controls as controls only","DE: Untermodul | EN: submodule | FRENCH: sous-module | PRETRANS-SCAFFOLD[french]: EN=submodule => target-draft=sous-module; risk=AFF-005; AFF-015; status=generated-draft_guarded_context_required","source-gated Romance witness/context row; generated drafts carry zero native-review weight","Adverse risks: AFF-005; AFF-015; preserve do-not-use guards and false-friend/register blockers.","adverse/register guard only; generated-draft review boundary","preserve false-friend/register guard during draft use and source review","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
"8be81510d284b9804706e426a312f1649f39d080","1a1110ebfcbe729d3c0db2a3fe98148e070a5389","a2c52a42f5484c3889473135fd85f2fea9491aaf","term-fr-0010","french","automorphism","source_gated_generated_draft_noncanonical","8BE is corrected live frontier; no direct Romance/French/Spanish filename delta; current-head R6/A2 live recovery packet is method/routing support only","source_context_sufficient_for_generated_draft_support","automorphisme","generated-draft/non-canonical/not-native-reviewed","Risk ids: AFF-010; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","Near morphism/representation notation; preserve the -morphism or representation register and avoid over-normalizing historical prose. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","keep prefix-specific terms separate with source rows | use generated drafts as scaffolds and controls as controls only","DE: Automorphismenring / Automorphismen | EN: automorphism | FRENCH: automorphisme | PRETRANS-SCAFFOLD[french]: EN=automorphism => target-draft=automorphisme; risk=AFF-010; AFF-015; status=generated-draft_guarded_context_required","source-gated Romance witness/context row; generated drafts carry zero native-review weight","Adverse risks: AFF-010; AFF-015; preserve do-not-use guards and false-friend/register blockers.","adverse/register guard only; generated-draft review boundary","preserve false-friend/register guard during draft use and source review","source-gated-generated-draft-carry-forward-with-8BE-current-head-method-support","B3/uploader-ready 8BE current-head correction; no language-lane push","generated-draft/noncanonical/source-use/provenance/gap only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion claim"
