"current_head_context","source_package_context","branch_head_context","term_id","language_lane","english_concept","target_rendering","formula_neighboring_usage_note","source_context_note","source_locator_count","boundary"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0001","french","algebra","algèbre","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","Risk ids: AFF-014; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","8","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0002","french","commutative algebra","algèbre commutative","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","Risk ids: AFF-014; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","8","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0003","french","Hilbert basis","base de Hilbert","Near basis/finiteness formulas such as F=A_1f_1+...+A_kf_k; keep theorem, basis, and finiteness wording tied to the displayed representation context. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","Validated French TeX still has 0 exact base de Hilbert hits; supplemental local French course text has theorem-level evidence for théorème de la base de Hilbert at line 819 and théorème de Hilbert at line 115. Prefer theorem-context phrasing; keep base de Hilbert as glossary shorthand pending review. Risk ids: AFF-008; AFF-015 Line-hash locators recorded: 5 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","5","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0004","french","localization","localisation","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","German source uses Quotientenring/localized notation rather than literal Lokalisierung. Risk ids: AFF-007; AFF-015 Line-hash locators recorded: 6 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","6","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0005","french","field","corps","No special displayed-formula hazard beyond preserving the German source slice anchor and local Romance term evidence. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","Risk ids: AFF-003; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","8","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0006","french","module","module","Near ideal-chain and finite-basis conditions; use modern Noetherian wording only as a marked explanatory rendering of Endlichkeitsbedingung or finite-chain source. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","Risk ids: AFF-005; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","8","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0007","french","quotient module","module quotient","Near quotient/submodule notation, especially M/U; preserve quotient-module and residual-class wording around formulas. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","Restklassenmodul rendered as module quotient / module de classes résiduelles. Risk ids: AFF-005; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","8","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0009","french","submodule","sous-module","Near ideal-chain and finite-basis conditions; use modern Noetherian wording only as a marked explanatory rendering of Endlichkeitsbedingung or finite-chain source. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","Risk ids: AFF-005; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","8","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0010","french","automorphism","automorphisme","Near morphism/representation notation; preserve the -morphism or representation register and avoid over-normalizing historical prose. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","Risk ids: AFF-010; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","8","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
"8be81510d284b9804706e426a312f1649f39d080","A2C52A42","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","term-fr-0011","french","endomorphism","endomorphisme","Near Homomorphismus-in-sich wording; keep the historical German anchor visible when using endomorphism in draft. Adverse guard: preserve mathematical scope near formulas; avoid ordinary-language false-friend senses; inspect line hashes for source context before promotion.","German source uses Homomorphismus-in-sich / Homomorphismen in sich; audited English control renders this as endomorphism(s). Draft only; keep German historical wording visible to reviewers. Risk ids: AFF-010; AFF-015 Line-hash locators recorded: 8 Source-use: generated-draft rows are scaffolds; line hashes are source-context locators; project controls are controls only.","8","generated-draft/non-canonical/pretranslation support only; no accepted terminology, source certification, gate promotion, final status, translation completion, license clearance, or Git push"
