artifact_id,path,bytes,sha256,publication_role,caveat
SGA6-XIV-693-702-STATUS,STATUS.md,2024,74CC6CDD7F58E7C1BB16B5B0F739B28A667FA82B80625241EEC15D9F86319868,public_checkpoint_control,No publication or readback claimed
SGA6-XIV-693-702-TEX,target/SGA6_XIV_idx693_702_English_SourceChecked.tex,23305,34D12DBA7B2DB4F34F0B75F361FD650E9DE8DA58890B0488C5BEBFD4609056B7,public_editable_target,Underlying French-source rights retained
SGA6-XIV-693-702-PDF,output/pdf/SGA6_XIV_idx693_702_English_SourceChecked.pdf,392144,DB5E5B5555B4133B93143F7DF7E4ED531948000E2CA40E98A026D80623D1B642,public_reader_target,Seven pages; bounded terminal checkpoint
SGA6-XIV-693-702-BUILD-SUMMARY,build/BUILD_SUMMARY_PUBLIC.md,842,B2C98B52611F5A7BF0CF03880B3511A147B94317D9387F41B47FDD3EE0CC5F61,public_build_evidence,Path-neutral summary
SGA6-XIV-693-702-REVIEW,review/INDEPENDENT_FINAL_REVIEW.md,1274,6B0E7F33960AF84F3D239511B77AB0176A99DD2B4B2980676231F88790E95030,public_review_evidence,Independent PASS
SGA6-XIV-693-702-PASS1,build/PASS1.log,40830,CA3AE2C9F877D1831CA0A7790CA736BDB257091C6CF332F1F7CC1FC9EE8F179D,internal_only,Contains host-local paths; do not publish
SGA6-XIV-693-702-PASS2,build/PASS2.log,40830,CA3AE2C9F877D1831CA0A7790CA736BDB257091C6CF332F1F7CC1FC9EE8F179D,internal_only,Contains host-local paths; do not publish
SGA6-XIV-693-702-RENDER-01,render/page-1.png,341403,23A252B6A85D647659CF889BE43001B678161F63F65D66AF4751B714D0A847A1,public_visual_qa,Rendered target page 1 of 7
SGA6-XIV-693-702-RENDER-02,render/page-2.png,316185,C590B93E3D0CFCD1DE249EA7D98F8A8D85AD100FBAC3632517AFC061BFE636F1,public_visual_qa,Rendered target page 2 of 7
SGA6-XIV-693-702-RENDER-03,render/page-3.png,346446,A922A33CF71B6D4FDE05FE7EA2EF8104CF59200D0B31D48C69D5EB2343CFC834,public_visual_qa,Rendered target page 3 of 7
SGA6-XIV-693-702-RENDER-04,render/page-4.png,429338,299AADD372D27D573FE4DE89123BC747A356E737781189AF815C568AA6CDD3D2,public_visual_qa,Rendered target page 4 of 7
SGA6-XIV-693-702-RENDER-05,render/page-5.png,421119,20383751BECE427366991A9DBFF6906DAA7072FC9EC41ACC4168AFAEB34171C8,public_visual_qa,Rendered target page 5 of 7
SGA6-XIV-693-702-RENDER-06,render/page-6.png,333718,89FDCE537397E71453F94713CBE92E52BA3C7DA507FF2E0F5EC8EDD867C24AF5,public_visual_qa,Rendered target page 6 of 7
SGA6-XIV-693-702-RENDER-07,render/page-7.png,330040,D81C95A9002D9ECAC61F09E5CE6593F9F7CAE1D632CC27D6F729A8EE1B567035,public_visual_qa,Rendered target page 7 of 7
