"control_id","revision","status","role","locator","bytes","sha256","scope","method","disposition"
"P04S07-CTRL-001","1","active","textual_authority","R823 cumulative German TeX","2125031","EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21","lines 4112-4268","whole-file SHA-256","editable routing authority subject to print adjudication"
"P04S07-CTRL-002","1","active","authority_slice","R823 lines 4112-4268","13024","6A693F9E3936CDD0EC07DE8B66C925839CA989FC5D80932D5D8916E5B1AD5CFA","157 lines","UTF-8 CRLF bounded slice","exact bounded-source fingerprint"
"P04S07-CTRL-003","1","active","original_print","paper 04 original scan","72444867","D7F7CE6D4B311FFD968ED47DC9C1478CFFCF9F446A86BF90263E0C9D1B41C9EF","printed pages 141-146 physical 24-29","whole-file SHA-256","original-print authority for disputed glyphs"
"P04S07-CTRL-004","1","active","rendered_scan_control","excluded original-print render, physical page 24","1439222","3CCAF3E31CDC923201EEA0501488F7E7FF5639971BA145970D801E97CE205C07","printed page 141 partial","300 dpi Poppler render","section heading formula 46 and source notes"
"P04S07-CTRL-005","1","active","rendered_scan_control","excluded original-print render, physical page 25","1382597","DB9F523FBA3533D1371C1B5F5499DE19349BDB9800CDDCFA5C3AD405D57F2699","printed page 142","300 dpi Poppler render","formulas 47-50 control"
"P04S07-CTRL-006","1","active","rendered_scan_control","excluded original-print render, physical page 26","1234248","7813CD99BB242BC0FC1311BA1AE2BB91A4016375995864187E3F059281CE1B5E","printed page 143","300 dpi Poppler render","formulas 50-52 and four dotted-symbol readings"
"P04S07-CTRL-007","1","active","rendered_scan_control","excluded original-print render, physical page 27","1180546","BEF46D76934A9B42305BA6E7A3A3185DF9048F36D49EB51EEC918DA2B08A978C","printed page 144","300 dpi Poppler render","formulas 53-58 and Mertens note"
"P04S07-CTRL-008","1","active","rendered_scan_control","excluded original-print render, physical page 28","1290353","05DE51CA3D1F4432E370064B61DF798F8BCFD500240F5A67A37BDCD978EDADD4","printed page 145","300 dpi Poppler render","formulas 59-61 and comparison note"
"P04S07-CTRL-009","1","active","rendered_scan_control","excluded original-print render, physical page 29","1378006","C179A3DDC03521EACADD98AAFCBF8197B01FC76306E3AD4592C0A59019DA227F","printed page 146 partial","300 dpi Poppler render","Theorem VII and section-8 boundary"
"P04S07-CTRL-010","1","active","comparison_only","inherited English Paper 04 TeX","109132","200C9F9115C22D93455A3B7AA372687059E539C6D01959D30EEB25BBEEFFE722","lines 924-1083","whole-file SHA-256","target-language comparison only"
"P04S07-CTRL-011","1","active","comparison_slice","inherited English lines 924-1083","12364","77B2F7FF212360F641C56056110E5166E6931584A87201E2AC68C14EAA343743","160 lines","UTF-8 bounded slice","comparison fingerprint only"
"P04S07-CTRL-012","1","active","source_defect_alert","excluded dotted-symbol source-defect routing receipt","4574","4EB3F02BEF743A7E91F2A0A16CBC2AB15EDD8D05B94B76D55B49639012858654","R823 lines 4181-4189","durable alert receipt","four occurrences grouped and routed upstream"
"P04S07-CTRL-013","1","active","editorial_disposition_receipt","excluded dotted-symbol editorial-disposition receipt","5344","2F6022168F05B29A3BA48ACB97196DDE70F72FD0142B1E58924A10EA18034DD5","R823 lines 4181-4189","UTF-8 decision row joined with trailing LF","print dots govern target and German owner owns correction"
"P04S07-CTRL-014","1","active","source_defect_alert","excluded rho-endpoint source-defect routing receipt","3983","E774DDE59BB948AC7A80DB75D3789BC995965FF250531FB19605AF7C9D57FA55","R823 line 4121","durable alert receipt","print inclusive endpoint governs and source owner was notified"
"P04S07-CTRL-015","1","active","editorial_disposition_receipt","excluded rho-endpoint editorial-disposition receipt","5889","D370225C48EB3F4669B4E2D5A05B344A3746EE707EA8B9223C39DD1C016D1437","R823 line 4121","UTF-8 decision row joined with trailing LF","restore rho at most n and reopen prior closure"
"P04S07-CTRL-016","1","active","pre_repair_snapshot","excluded pre-repair snapshot checksum inventory","2874","F069A8E7C764E84B5D49DB594A8A04EF2FC19527C8B45901566C4EDF09D12585","27 copied pre-repair core files","exact manifest revalidation","preserves superseded TeX PDF render build ledger validation and inventory states"
