"record_id","revision","status","witness_locator","witness_reading","authority_reading","target_reading","failure_class","severity","disposition"
"P04S07-ADV-001","1","active","inherited line 990","sigma greater than tau","sigma at least tau","sigma at least tau","formula-condition regression","high","repaired from R823 and print"
"P04S07-ADV-002","1","active","inherited line 1029","determinant product similar to Delta","determinant product equals Delta","determinant product equals Delta","defining-relation regression","high","repaired from R823 and print"
"P04S07-ADV-003","1","active","inherited line 928","min of tau and n-sigma","paired endpoints tau and n-sigma","min of tau and n-sigma","source-equivalent normalization lineage","low","retained with explicit ledger disclosure"
"P04S07-ADV-004","1","active","R823 line 4183 and inherited line 995","undotted complementary q","original print dotted complementary q","dotted complementary q","editable-source and inherited glyph loss","high","print reading restored and disclosed as P04S07-SRCDEF-001"
"P04S07-ADV-005","1","active","R823 line 4183 and inherited line 995","undotted complementary p in double sum","original print dotted complementary p","dotted complementary p","editable-source and inherited glyph loss","high","print reading restored and disclosed as P04S07-SRCDEF-002"
"P04S07-ADV-006","1","active","R823 line 4187 and inherited line 999","R823 primed p; inherited undotted p","original print dotted complementary p","dotted complementary p","editable-source glyph substitution and inherited loss","high","print reading restored and disclosed as P04S07-SRCDEF-003"
"P04S07-ADV-007","1","active","R823 line 4189 and inherited line 1003","undotted complementary p in prose","original print dotted complementary p","dotted complementary p","editable-source and inherited glyph loss","high","print reading restored and disclosed as P04S07-SRCDEF-004"
"P04S07-ADV-008","1","active","formula 48 print versus R823","print restarts second line with equality","R823 uses multiplication continuation","multiplication continuation","editorial layout delta","low","follow coherent R823 recast with no content change"
"P04S07-ADV-009","1","active","print page 144 versus R823 line 4213","print dummy p_sigma and xi^(sigma)","R823 dummy p_rho and xi^(rho)","p_rho and xi^(rho)","editorial dummy-index normalization","low","follow coherent R823 naming"
"P04S07-ADV-010","1","active","entire inherited slice","fluent derivative English target material","R823 plus original-print adjudication controls the target","independently source-aligned English","authority-misclassification risk","high","comparison-only status enforced"
"P04S07-ADV-011","1","active","R823 line 4121 and inherited line 933","rho less than n","original print rho at most n; formula 54 and later rho equals n treatment corroborate inclusion","rho at most n","editable-source endpoint defect propagated into inherited English","high","print endpoint restored and disclosed as P04S07-SRCDEF-005"
