"record_id","revision","status","r823_lines","printed_pages","physical_pages","unit_type","source_features","target_features","disposition"
"P04S07-ALIGN-001","1","active","4112-4119","141-142","24-25","heading_introduction_formula","section heading; two opening footnotes; formula (46)","heading; both source notes; formula (46)","paired lambda endpoints normalized equivalently as min"
"P04S07-ALIGN-002","1","active","4120-4130","142","25","proof_setup_formula","proof idea; transformed rows; formula (47)","proof setup; transformed rows; formula (47)","all indices and prime marks retained"
"P04S07-ALIGN-003","1","active","4131-4144","142","25","ground_form_formula","unnumbered ground-form product; formula (48)","ground-form product; formula (48)","R823 multiplication-continuation layout retained"
"P04S07-ALIGN-004","1","active","4145-4166","142-143","25-26","formula_sequence","formulas (49) (50) (51)","formulas (49) (50) (51)","orders exponents derivatives and row products retained"
"P04S07-ALIGN-005","1","active","4167-4174","143","26","defining_property_one","property 1; invariant differentiation; formula (52)","property 1; differentiation; formula (52)","complete property and simultaneous-invariant conclusion retained"
"P04S07-ALIGN-006","1","active","4175-4189","143","26","defining_property_two","property 2; three unnumbered displays; four dotted-symbol print readings","property 2; three displays; four restored dotted symbols and immediate disclosures","inclusive sigma relation restored and grouped source defect disclosed"
"P04S07-ALIGN-007","1","active","4190-4207","144","27","polar_expansion","formula (53); Mertens note; formulas (54) (55)","formula (53); original footnote; formulas (54) (55)","all bounds operation indices and note retained"
"P04S07-ALIGN-008","1","active","4208-4225","144","27","iterated_expansion","formulas (56) (57) (58); dummy-index editorial delta","formulas (56) (57) (58)","defining equality for Delta restored against inherited regression"
"P04S07-ALIGN-009","1","active","4226-4239","145","28","transformed_coefficient","unnumbered G calculation; formula (59)","G calculation; formula (59)","derivative exponents and Mertens locator retained"
"P04S07-ALIGN-010","1","active","4240-4249","145","28","ground_form_expansion","unnumbered f Delta relation; formula (60); Mertens section-7 footnote","ground-form relation; formula (60); original footnote","complete argument and note retained"
"P04S07-ALIGN-011","1","active","4250-4265","145-146","28-29","arbitrary_form_expansion","formula (61); three unnumbered concluding relations","formula (61); three concluding displays","all Delta and nabla powers retained"
"P04S07-ALIGN-012","1","active","4266-4268","146","29","theorem","summary transition; Theorem VII","summary; Theorem VII","complete section closure retained"
"P04S07-ALIGN-002","2","active","4120-4130","142","25","proof_setup_formula","proof idea; rho at most n in print; formula (47)","proof setup with rho at most n and immediate source-defect disclosure; formula (47)","print endpoint restored as P04S07-SRCDEF-005; supersedes revision 1"
"P04S07-ALIGN-002","3","closed_public_checkpoint","4120-4130","142","25","proof_setup_formula","proof idea; rho at most n in print; formula (47)","proof setup with rho at most n and immediate public source-defect disclosure; formula (47)","inclusive printed endpoint retained; independent source and package audits passed"
