"record_id","revision","status","locator","source_structure","inherited_witness","target_structure","check","disposition","notes"
"P04S07-FORM-001","1","active","formula 46 R823 4114-4118","differential equation; sigma at least tau; paired lambda endpoints tau and n-sigma","same equation; min of tau and n-sigma","same equation; min of tau and n-sigma","PASS","source-equivalent normalization","the inherited min notation is coherent but explicitly ledgered"
"P04S07-FORM-002","1","active","formula 47 R823 4124-4130","two transformation equations; primed x and p; sum over j","matching","two transformation equations with all multi-indices","PASS","retain","all primes and superscripts checked"
"P04S07-FORM-003","1","active","ground-form display R823 4132-4134","unnumbered product of pairings with exponents m_1 through m_{n-1}","matching","same product and exponents","PASS","retain","first of nine unnumbered displays"
"P04S07-FORM-004","1","active","formula 48 R823 4136-4144","transformed coefficient as first product times s-xi factor product","matching content and continuation","same factor content with multiplication continuation","PASS","follow R823 layout","print restarts the second line with equality; no content delta"
"P04S07-FORM-005","1","active","formula 49 R823 4146-4149","weakly decreasing k_1 through k_n","matching","weakly decreasing k_1 through k_n","PASS","retain","all inequality signs checked"
"P04S07-FORM-006","1","active","formula 50 R823 4151-4158","n-stage differentiation process; exponents k_i-k_{i+1}; final k_n","matching","same derivative rows powers and p indices","PASS","retain","process exactly exhausts xi rows"
"P04S07-FORM-007","1","active","formula 51 R823 4160-4166","phi product with exponents k_i-k_{i+1}; final ordinary n-row product","matching","same pairing sequence and final ordinary product","PASS","retain","pairing and ordinary-product roles distinguished"
"P04S07-FORM-008","1","active","property 1 inline process R823 4169","invariant derivative with respect to p_rho paired with xi row product","matching","same derivative and i_1 through i_rho indices","PASS","retain","defining-property evidence"
"P04S07-FORM-009","1","active","formula 52 R823 4170-4173","H product from q_{n-1} through q_1 with k differences","matching","same H product","PASS","retain","all subscripts and exponents checked"
"P04S07-FORM-010","1","active","property 2 first display R823 4177-4179","phi prime pairing; condition sigma at least tau","condition changed to sigma greater than tau","phi prime pairing; condition sigma at least tau","PASS","repair inherited","inclusive source relation restored"
"P04S07-FORM-011","1","active","property 2 double sum R823 4181-4184","R823 omits dots on complementary q and p; print has both dots","drops both dots","double sum with dotted complementary q and p","PASS","print-adjudicated restoration","source defects P04S07-SRCDEF-001 and 002"
"P04S07-FORM-012","1","active","property 2 complementary-p display R823 4185-4188","R823 substitutes prime; print has dotted p","uses undotted p","dotted p similar to s-row product","PASS","print-adjudicated restoration","source defect P04S07-SRCDEF-003"
