"record_id","revision","status","source_term","chosen_english","rejected_choice","reason","locator"
"P04S07-TERM-001","1","active","Entwicklung","expansion","development","standard mathematical sense for the displayed decompositions","R823 4112 onward"
"P04S07-TERM-002","1","active","invariante Bildung","invariant formation","invariant construction","continues established lane normalization","R823 4113 onward"
"P04S07-TERM-003","1","active","Grundform","ground form","basic form","continues Noether Paper 4 normalization","R823 throughout"
"P04S07-TERM-004","1","active","Formenreihe","form row","sequence of forms","retains established Reihe distinction","R823 4119 onward"
"P04S07-TERM-005","1","active","Normalform","normal form","canonical form","source defines its own technical term","R823 throughout"
"P04S07-TERM-006","1","active","Faltungsprozess","folding process","contraction process","continues the defined term from section 6","R823 4113"
"P04S07-TERM-007","1","active","Grundfaltung","fundamental folding","basic contraction","continues the section-8 target terminology","R823 4113"
"P04S07-TERM-008","1","active","Differentiationsprozess","differentiation process","differential operation","retains process terminology while operation is used for Einzeloperation","R823 throughout"
"P04S07-TERM-009","1","active","Transformationsgroessen","transformation quantities","transformation variables","distinguishes the xi rows from the original variables","R823 4121 onward"
"P04S07-TERM-010","1","active","kogredient","cogredient","contragredient","source states the same transformation behavior","R823 4121 onward"
"P04S07-TERM-011","1","active","Reihenentwicklung","series expansion","row expansion","means expansion rather than a sequence of rows","R823 4121"
"P04S07-TERM-012","1","active","Zerlegungsidentitaet","decomposition identity","resolution identity","continues established formula (30) terminology","R823 4119 and 4180"
"P04S07-TERM-013","1","active","Polare","polar","polarization","source refers to the resulting forms not only the operation","R823 4169 onward"
"P04S07-TERM-014","1","active","Simultaninvariante","simultaneous invariant","joint invariant","retains historical invariant-theory term","R823 4174 onward"
"P04S07-TERM-015","1","active","Aggregat","aggregate","collection","continues source's formal combination language","R823 4191 onward"
"P04S07-TERM-016","1","active","quaternaeres Gebiet","quaternary domain","quaternary case","retains source's domain terminology","R823 4113 onward"
