source_id,relative_path,source_role,document_order,reachable_from_master,bytes_before,sha256_before,bytes_after,sha256_after,action_count,change_status
sga4.source.0001,tomes/SGA4_English_translation_workpass.tex,cumulative_master,1,true,3741,3B9D15ACC5F102CA399823DA5A0C1AF58254F85B4DF696214922E1399AD7BB1B,3741,3B9D15ACC5F102CA399823DA5A0C1AF58254F85B4DF696214922E1399AD7BB1B,0,unchanged
sga4.source.0002,fichiers-configuration-latex/amsbook.cls,support_file,2,true,60969,880005708ACE819D035191770EEE5BD99C292A8EDC1E97421DD6572AF558B705,60969,880005708ACE819D035191770EEE5BD99C292A8EDC1E97421DD6572AF558B705,0,unchanged
sga4.source.0003,fichiers-configuration-latex/paquets.tex,support_file,3,true,1620,D95F5CB24DD87C40A9A911CA9D33B2FDC9F9FFDE6A5D5C8BD437B3B1EDC11353,1620,D95F5CB24DD87C40A9A911CA9D33B2FDC9F9FFDE6A5D5C8BD437B3B1EDC11353,0,unchanged
sga4.source.0004,fichiers-configuration-latex/numerotation.tex,support_file,4,true,878,199275DB6B7B631D54358BC0FD6ED2C60BE7F9FC550AF93B42AAC628C6ED3312,878,199275DB6B7B631D54358BC0FD6ED2C60BE7F9FC550AF93B42AAC628C6ED3312,0,unchanged
sga4.source.0005,fichiers-configuration-latex/macros.tex,support_file,5,true,14184,DA33BA4743C4609AE8978C330FF2A72250E8D89E22C2C17A9B017015D1BFBCF4,14184,DA33BA4743C4609AE8978C330FF2A72250E8D89E22C2C17A9B017015D1BFBCF4,0,unchanged
sga4.source.0006,01/01_English.tex,expose_wrapper,6,true,4405,9DA1134F932D6075E3846507FEE78406688904AAB18E5678B00856E81FB905B3,4433,6C10FB7CF9E2DB4770BAA23AE1D16A1342FDFAC720463322FBAD92F7A5D91B1D,2,planned_changed
sga4.source.0007,fichiers-configuration-latex/smfart.cls,support_file,7,true,47125,54E38DB5F0CB82FC361848813901011419F8AA89D40381754FC5E2D8023869C5,47125,54E38DB5F0CB82FC361848813901011419F8AA89D40381754FC5E2D8023869C5,0,unchanged
sga4.source.0008,01/drafts/SGA4_I_LINES_46_100_English.texfrag,translation_fragment,8,true,1998,BE9AC242BE8054D3AE6B6D934875A2BC35EE10642C81BEF3B1EC9BC72D26E07D,1998,BE9AC242BE8054D3AE6B6D934875A2BC35EE10642C81BEF3B1EC9BC72D26E07D,0,unchanged
sga4.source.0009,01/drafts/SGA4_I_LINES_102_196_English.texfrag,translation_fragment,9,true,3389,80A787BCAE8496098D170E53DEBE75D0DCB60773D9DD5030A81A6C8D772A4219,3389,80A787BCAE8496098D170E53DEBE75D0DCB60773D9DD5030A81A6C8D772A4219,0,unchanged
sga4.source.0010,01/drafts/SGA4_I_LINES_197_410_English.texfrag,translation_fragment,10,true,7918,C31264C62F9FBC1CE6C121F2E81A8F00DEFCF53751C33F95713876BEEE12F2F4,7918,C31264C62F9FBC1CE6C121F2E81A8F00DEFCF53751C33F95713876BEEE12F2F4,0,unchanged
sga4.source.0011,01/drafts/SGA4_I_LINES_411_824_English.texfrag,translation_fragment,11,true,15813,DCDF01B638FBE04190A0986E4BFA9BFDA8A00C79AFC90871AB4D6B5DB4CC8B8A,15879,67D9F9D9C334475A5A512C3816FB12C32C9DA64625AC42A8AE5C81F3F3AB9B9F,3,planned_changed
sga4.source.0012,01/drafts/SGA4_I_LINES_825_1024_English.texfrag,translation_fragment,12,true,8067,5CD3A85C27757E01A2B5E90143720AA7BAA9A1798333A8533ACB321A23E0C921,8179,480F1A3F0FA64E5AD8E6E47E1626C5685C4BF0EC178FC0B29DBFC3063614EC3C,5,planned_changed
sga4.source.0013,01/drafts/SGA4_I_LINES_1025_1161_English.texfrag,translation_fragment,13,true,4997,73DAF1917E2A13A09716BF9A7606A71B935AA672032FD3FB78B59A055C0E43AE,5081,3C8E1CF4F17A15BBED5D310E397C6AF4AB85F51EC8C22A674B712D6089FBF3B9,3,planned_changed
sga4.source.0014,01/drafts/SGA4_I_LINES_1162_1346_English.texfrag,translation_fragment,14,true,6655,BB9A27AD605893E64905DC45B3B3FA954E3020EB79FFC9EF1B9A70D777C472E9,6860,DD067AE9FEFF1D41D487B34A94974DE24CB01B18F6BEA4EA4C768E7472AE34D2,7,planned_changed
sga4.source.0015,01/drafts/SGA4_I_LINES_1347_1496_English.texfrag,translation_fragment,15,true,6069,27D6F41019A3C71D5A3CD3E59401D01BDEA01A7470DB55B553E0687D7D4E99D7,6211,1841C90A2BD832372B42E9C355090761FC98E60D8473AB694CEAF2708334252F,4,planned_changed
sga4.source.0016,01/drafts/SGA4_I_LINES_1497_1738_English.texfrag,translation_fragment,16,true,8698,DB5857F550A5B2C203B1526EBEC992DCB3725408577F54077930F666DD0ED963,8992,7F6AC61E6224F66D63E4806AFDAFEE0B0BB0F959A217FBBCF21DC16C5793D41A,9,planned_changed
sga4.source.0017,01/drafts/SGA4_I_LINES_1739_1946_English.texfrag,translation_fragment,17,true,8312,6442F84B84C89E423D0CDB6D3D618467A6761EC01C9BC5DB9DB0D5B75BD27100,8333,A33DC9CF01375642D1D3993A37F1A7DB9987A83E3B7B46BE5BBC1C6CBB30910B,1,planned_changed
sga4.source.0018,01/drafts/SGA4_I_LINES_1947_2034_English.texfrag,translation_fragment,18,true,4450,BC39ED560EB5DE62159BDEDC463CF8E1E87391BF8C955C682DC3DDC74399351B,4473,48A0F11FF4947DE58825438F86F77842B05011ABB65B798CCCF007888243C2DE,1,planned_changed
sga4.source.0019,01/drafts/SGA4_I_LINES_2035_2353_English.texfrag,translation_fragment,19,true,14429,5DAACD989F7B9BD7355D0EE959858DF0958AF2C21D2AE10F2B03CC91173E5738,14517,DD1128D500972F6A96814929513FFC1F7C46FCCD6074A401F833F7E05F348ABA,4,planned_changed
sga4.source.0020,01/drafts/SGA4_I_LINES_2354_2668_English.texfrag,translation_fragment,20,true,15263,0AE42FEC4F1D0FCCF8DD5BE03CB8EC1E6273653E5DE1625F9A47F34B810FC7C5,15457,9AC246FBA04D5F2CA57ABC9111638930FE8289F97F68428068F6463668FF5086,9,planned_changed
sga4.source.0021,01/drafts/SGA4_I_LINES_2669_2936_English.texfrag,translation_fragment,21,true,12141,BE0FDDC64B124E41F3ADE7C3DF1C926BC4472C8F3D03E0D76166BA33B62C2BF8,12594,65879CC7D786843DB6452B85E33E13759C2AE88E4307625B43858F22B0C752CE,13,planned_changed
sga4.source.0022,01/drafts/SGA4_I_LINES_2937_3118_English.texfrag,translation_fragment,22,true,7314,CD1B96CD8EF5E4F9D6A925DF43D45B1FB0006B8E4D61520B32E3242DCB09DBD4,8194,2C1C59078F280072A07A7B713D9E348A61DAB61F6779522E0812E6C525FB2D06,23,planned_changed
sga4.source.0023,01/drafts/SGA4_I_LINES_3119_3227_English.texfrag,translation_fragment,23,true,4866,96A60F9CC40D09D38886B1FF17FBD9504805CD3412982C50A8A0E62A89D097E3,5280,2BC7FBBAB287BAC159CD08D35663CEF59E4DF602B84BA605A30A57735E647B12,10,planned_changed
