source_document_id,language_lane,source_use_label,can_support_source_canon,can_support_generated_draft,fetch_status,hash_sha256,license_availability_note,upload_policy,non_claim_boundary
CJK-WAVE4-JA-PDF-RIMS-0909-1,japanese,candidate-source-body,candidate_pending_review,yes_with_labels,200,5CC766D7BD75A23BD5918A38745F49475E66992C355982BD0A1F838C6C4138B3,Public Kyoto University RIMS PDF URL; redistribution/license not cleared; manual review required,source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-JA-PDF-MATHSOC-ALGSYMP14,japanese,candidate-source-body,candidate_pending_review,yes_with_labels,200,1F816ABAADB5B3F417CD0D064ECFCFABB508214C061205627B4F655D91473286,Public Mathematical Society of Japan PDF URL; redistribution/license not cleared; manual review required,source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-JA-PDF-HIROSHIMA-KAN-KAGUN6,japanese,candidate-source-body,candidate_pending_review,yes_with_labels,200,D2A6B542A4916E58EE89F74686B00052E1FBD205535FB3B6FB335CF395293857,Public Hiroshima University course PDF URL; redistribution/license not cleared; manual review required,source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-JA-PDF-MATHSOC-BABA,japanese,candidate-source-body,candidate_pending_review,yes_with_labels,200,70FFCD87006D8F2545E4E084ED2537990B624999FA17CC0CB964DE180EC82F9E,Public Mathematical Society of Japan PDF URL; redistribution/license not cleared; manual review required,source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-JA-WIKI-ARTIN-MODULE-RAW,japanese,community-provenance-not-canonical,candidate_pending_review,yes_with_labels,200,A49CE124DB91820DFC7AEF5AF36367BB184748B5C35C155FFF88319704619C06,"Wikimedia raw page; CC BY-SA/GFDL-style project licensing expected, not legal clearance",source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-KO-PDF-KOREASCIENCE-GROUP-REP-HISTORY,korean_addendum,korean-addendum-candidate-source-body,candidate_pending_review,yes_with_labels,fetch_failed,,Public KoreaScience PDF URL; redistribution/license not cleared; manual review required,source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-KO-WIKI-REDUCTIVE-LIE-ALGEBRA-RAW,korean_addendum,korean-addendum-community-provenance-not-canonical,candidate_pending_review,yes_with_labels,200,67A1FB2F8ED57BD32A7B55A3FDE10102E3B50FAA4E56992466F93EE6F34608AD,"Wikimedia raw page; CC BY-SA/GFDL-style project licensing expected, not legal clearance",source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-KO-WIKI-LIE-GROUP-REPRESENTATION-RAW,korean_addendum,korean-addendum-community-provenance-not-canonical,candidate_pending_review,yes_with_labels,200,5C37379224931F451302894F571245611BF997BCD69DE5C36B105AA725FA59EB,"Wikimedia raw page; CC BY-SA/GFDL-style project licensing expected, not legal clearance",source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-KO-WIKI-HARISH-CHANDRA-PERSON-RAW,korean_addendum,korean-addendum-name-routing-only,candidate_pending_review,yes_with_labels,200,DE8EE41485C9D5602120EAC0CC1072194ADCDF0D85813A5FBED5AD57B7CA29E5,"Wikimedia raw page; CC BY-SA/GFDL-style project licensing expected, not legal clearance",source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-KO-WIKI-UNIVERSAL-ENVELOPING-ALGEBRA-RAW,korean_addendum,korean-addendum-partial-provenance-not-module,candidate_pending_review,yes_with_labels,200,AE9EEC62B28ABA35BA586A9D11F989CF0DAAA8B6CD3E34CBC2919AB9D24ABDF9,"Wikimedia raw page; CC BY-SA/GFDL-style project licensing expected, not legal clearance",source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-WAVE4-KO-MOONLIGHT-HARISH-CHANDRA-GENERATED-REVIEW,korean_addendum,do-not-use-as-source-canon,no,adverse_evidence_only,200,DB4FBBBFE26A52F0A7C29FB3D828305FA21D48C97592AE09B96DF4C2CE6F76C0,Generated web review; not treated as native/source-canon witness,source-body acquired for package/uploader; no license clearance claim,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
