form_id,lexeme_id,gloss,language_code,language_lane,form,supporting_source_document_ids,supporting_witness_ids,source_use_labels,support_status,form_note,non_claim_boundary
CJK-W4-FORM-cjk-w4-lex-harish-chandra-representation-theory-a419b6-cab8fa0ba7,CJK-W4-LEX-harish-chandra-representation-theory-a419b6bd13,Harish-Chandra,ja,japanese,Harish-Chandra 加群,CJK-WAVE4-JA-PDF-RIMS-0909-1,CJK-WAVE4-WITNESS-20260705-0001;CJK-WAVE4-DRAFT-JA-HARISH-CHANDRA-001,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-harish-chandra-representation-theory-a419b6-39d686192d,CJK-W4-LEX-harish-chandra-representation-theory-a419b6bd13,Harish-Chandra,ja,japanese,Harish-Chandra,CJK-WAVE4-JA-PDF-MATHSOC-ALGSYMP14;CJK-WAVE4-JA-PDF-RIMS-0909-1,CJK-WAVE4-WITNESS-20260705-0002;CJK-WAVE4-WITNESS-20260705-0004,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-harish-chandra-representation-theory-a419b6-5323a87aaa,CJK-W4-LEX-harish-chandra-representation-theory-a419b6bd13,Harish-Chandra,ja,japanese,Harish-Chandra 両側加群,CJK-WAVE4-JA-PDF-MATHSOC-ALGSYMP14,CJK-WAVE4-WITNESS-20260705-0003,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artin-artinian-finiteness-d5fab98be6-japane-c920d5a2c3,CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,Artin/Artinian,ja,japanese,Artin かつ Noether,CJK-WAVE4-JA-PDF-HIROSHIMA-KAN-KAGUN6,CJK-WAVE4-WITNESS-20260705-0005,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artin-artinian-finiteness-d5fab98be6-japane-105000f430,CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,Artin/Artinian,ja,japanese,Artin 性,CJK-WAVE4-JA-PDF-HIROSHIMA-KAN-KAGUN6,CJK-WAVE4-WITNESS-20260705-0006,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artin-artinian-finiteness-d5fab98be6-japane-4d600cf412,CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,Artin/Artinian,ja,japanese,Artin,CJK-WAVE4-JA-PDF-HIROSHIMA-KAN-KAGUN6,CJK-WAVE4-WITNESS-20260705-0007,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artinian-artin-finiteness-5a1f243ed6-japane-ac138dd1c5,CJK-W4-LEX-artinian-artin-finiteness-5a1f243ed6,Artinian/Artin,ja,japanese,Artin かつ Noether,CJK-WAVE4-JA-PDF-HIROSHIMA-KAN-KAGUN6,CJK-WAVE4-WITNESS-20260705-0008,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artinian-artin-finiteness-5a1f243ed6-japane-d832e26287,CJK-W4-LEX-artinian-artin-finiteness-5a1f243ed6,Artinian/Artin,ja,japanese,Artin 性,CJK-WAVE4-JA-PDF-HIROSHIMA-KAN-KAGUN6,CJK-WAVE4-WITNESS-20260705-0009,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artinian-artin-finiteness-5a1f243ed6-japane-7457f01b07,CJK-W4-LEX-artinian-artin-finiteness-5a1f243ed6,Artinian/Artin,ja,japanese,Artin,CJK-WAVE4-JA-PDF-HIROSHIMA-KAN-KAGUN6,CJK-WAVE4-WITNESS-20260705-0010,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artin-artinian-finiteness-d5fab98be6-japane-4ff476249e,CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,Artin/Artinian,ja,japanese,アルティン環,CJK-WAVE4-JA-PDF-MATHSOC-BABA;CJK-WAVE4-JA-WIKI-ARTIN-MODULE-RAW,CJK-WAVE4-WITNESS-20260705-0011;CJK-WAVE4-WITNESS-20260705-0016,candidate-source-body;community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
