"role","absolute_path","public_relative_path","sha256","supersedes"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper06\interslavic-cyrillic\v001\Noether_Paper06_Section09_Interslavic_Cyrillic_v001.tex","translations/paper06/interslavic-cyrillic/v001/Noether_Paper06_Section09_Interslavic_Cyrillic_v001.tex","916B7DA446976CEA6DD091E4FA8847AB71344F1A83E16EDD119A7DF93164AA8F","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_005_small_context\compiled_pdfs\paper06\interslavic-cyrillic\v001\Noether_Paper06_Section09_Interslavic_Cyrillic_v001.pdf","translations/paper06/interslavic-cyrillic/v001/Noether_Paper06_Section09_Interslavic_Cyrillic_v001.pdf","D69F0B455341DF7894BF4850C9B2448FDB651206403E8904ED7AB74AA9BD7AA6","same public relative path, if currently published"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper06\interslavic\v001\Noether_Paper06_Section09_Interslavic_v001.tex","translations/paper06/interslavic/v001/Noether_Paper06_Section09_Interslavic_v001.tex","3DA94F33C3BB3AEA344C4755A6053A25C1A157A3C4A485AD110E15E8AD332B43","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_005_small_context\compiled_pdfs\paper06\interslavic\v001\Noether_Paper06_Section09_Interslavic_v001.pdf","translations/paper06/interslavic/v001/Noether_Paper06_Section09_Interslavic_v001.pdf","AAC9578D3E2DC748E91C95388D59CD5AE3AB77A6DCF4250AD3C294BF1606C84E","same public relative path, if currently published"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper08\interslavic-cyrillic\v001\Noether_Paper08_Interslavic_Cyrillic_v001.tex","translations/paper08/interslavic-cyrillic/v001/Noether_Paper08_Interslavic_Cyrillic_v001.tex","0BB3DCF280BA35F8E9FED6F7273AB4750BE5F68FF98E81A60F8D14FC2A16370D","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_005_small_context\compiled_pdfs\paper08\interslavic-cyrillic\v001\Noether_Paper08_Interslavic_Cyrillic_v001.pdf","translations/paper08/interslavic-cyrillic/v001/Noether_Paper08_Interslavic_Cyrillic_v001.pdf","B90DC19087D8DF57B2D6A5A1979A56E3ED1F4D3D6D7BF9B870587A55F6C27580","same public relative path, if currently published"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper08\interslavic\v001\Noether_Paper08_Interslavic_v001.tex","translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex","40A84F8E13423AFC923C4C0C714CBFB78C11EBD6F10343EEACA93090FCBB10C3","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_005_small_context\compiled_pdfs\paper08\interslavic\v001\Noether_Paper08_Interslavic_v001.pdf","translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.pdf","CCC722BE6468EF3458AF22887CE5B525711524FDEDA77408DC90B98E52A8DA9E","same public relative path, if currently published"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper09\interslavic-cyrillic\v001\Noether_Paper09_Section03_Interslavic_Cyrillic_v001.tex","translations/paper09/interslavic-cyrillic/v001/Noether_Paper09_Section03_Interslavic_Cyrillic_v001.tex","FA846697F877878F558949EAA5A9C959CBF05B14F8D259912DC1D59113E83392","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_005_small_context\compiled_pdfs\paper09\interslavic-cyrillic\v001\Noether_Paper09_Section03_Interslavic_Cyrillic_v001.pdf","translations/paper09/interslavic-cyrillic/v001/Noether_Paper09_Section03_Interslavic_Cyrillic_v001.pdf","740DFD79F5A116D4907283CF56641705CA32E6FE137254E9CC0E381462AA58B9","same public relative path, if currently published"
