"defect_id","evidence_class","authority_role","unit_id","source_locator","source_tex_lines","original_printed_pages","physical_source_pdf_pages","finding","target_action","issue_state","status","confidence","record_revision","continuation_cursor","revisit_condition"
"SGA2-VIII-IV-II-NGT1-SRCDEF-001","witness_independence","direct_compiled_source_pdf_same_edition","SGA2-VIII-IV-II-NGT1","physical83-84","2856-2872","95-96","83-84","compiled French reader is generated from the corrected TeX and is not independent corroboration","use it only for page layout symbol and visual checks","same_edition_caveat_applied","independently_sealed_pending_archive_custody","high","1","French line2874","independent scan discovery"
"SGA2-VIII-IV-II-NGT1-SRCDEF-002","source_notation_oddity","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1","French2859","2859","95","83","corrected TeX underlines the prime ideal in prose but prints plain x in dim A slash x equals one","preserve plain x in target and disclose in authority box and machine ledgers","unresolved_no_emendation","independently_sealed_pending_archive_custody","high","1","French line2874","source-owner resolution or independent print witness"
"SGA2-VIII-IV-II-NGT1-SRCDEF-003","source_idiom","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1","French2856","2856","95","83","x suive y is an edition idiom whose literal English direction is misleading while y lies in closure of x","translate as y is an immediate specialization of x and preserve the dimension condition","resolved_by_geometric_explication","independently_sealed_pending_archive_custody","high","1","French line2874","geometric terminology review"
"SGA2-VIII-IV-II-NGT1-SRCDEF-004","source_logic_ambiguity","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1","French2865","2865","96","84","argument proves x and y outside Ass F-double-prime then invokes III.2.1 but defines F=tilde M and M=F(X); likely implicit renaming or F-double-prime typo; source-owner alert SGA2_EXPOSE_VIII_LINE2865_F_VS_FPP_MODULE_AMBIGUITY_20260719.md SHA256 47F28BA3DF672A98E4C70348C36F9FB48FEAE008152D00E223DBED45E79B5B82","preserve source F in English body; reject silent F-double-prime emendation; carry high-priority ambiguity into cumulative proof review","unresolved_high_priority_no_emendation","independently_sealed_pending_archive_custody","medium","1","French line2874","source-owner response or cumulative proof audit before Expose VIII freeze"
"SGA2-VIII-IV-II-NGT1-SRCDEF-005","page_locator_distinction","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1","French2864-2865","2864-2865","95-96","83-84","physical PDF page break is between lines2864 and2865 but pageoriginale token is inside line2865 after il existe","record both coordinates separately; place visible gray marker at paragraph start for target readability","resolved_locator_distinction","independently_sealed_pending_archive_custody","high","1","French line2874","source pagination revision"
"SGA2-VIII-IV-II-NGT1-SRCDEF-006","source_wording","corrected_french_tex","SGA2-VIII-IV-II-NGT1","French2868","2868","96","84","suite exacte d homologie is compressed wording for the sequence produced from the short exact sequence","translate as resulting long exact sequence without changing the mathematical consequence","resolved_by_mathematical_explication","independently_sealed_pending_archive_custody","high","1","French line2874","homological review"
"SGA2-VIII-IV-II-NGT1-SRCDEF-007","comparison_defects","comparison_only_not_authority","SGA2-VIII-IV-II-NGT1","comparison lines564-599","2856-2872","95-96","83-84","comparison says x follows y; marks running page76 as original page; uses plain Gamma; arrow g-dot; corrupted tilde N; raw code blocks","reject these forms and use corrected French plus direct reader control","comparison_rejected_not_authority","independently_sealed_pending_archive_custody","high","1","French line2874","upstream candidate revision"
"SGA2-VIII-IV-II-NGT1-SRCDEF-008","target_extraction_defect","production_target","SGA2-VIII-IV-II-NGT1","first base-change display","2856-2858","95","83","initial target enlarged delimiters generated two U+0001 extraction bytes","replace only enlarged delimiters with source-matching ordinary parentheses; rebuild; require forbidden controls zero","closed_by_revision_2","independently_sealed_pending_archive_custody","high","2","French line2874","new extraction failure"
"SGA2-VIII-IV-II-NGT1-SRCDEF-009","target_structure_defect","production_target","SGA2-VIII-IV-II-NGT1","authority box and line2859 note","2859","95","83","initial target said diagram 2.7 below although diagram was not reproduced and added a non-source editorial footnote","change to literal dependency wording; remove footnote; disclose plain-x oddity in authority box and ledgers","closed_by_revision_2","independently_sealed_pending_archive_custody","high","2","French line2874","new structural review finding"
"SGA2-VIII-IV-II-NGT1-SRCDEF-010","target_normalization_delta","corrected_french_tex_with_provisional_P2_SETUP_precedent","SGA2-VIII-IV-II-NGT1","style352-and354 and French2856-2872","2856-2872","95-96","83-84","corrected Fa macro renders upright roman F while P2-SETUP precedent uses calligraphic F","retain calligraphic F provisionally under the P2-SETUP precedent pending manager consolidation; do not claim literal glyph preservation","disclosed_adverse_delta_no_source_emendation","independently_sealed_pending_archive_custody","high","1","French line2874","SGA-wide notation policy revision"
