"decision_id","evidence_class","authority_role","unit_id","source_term_or_delta","source_locator","target_locator","chosen_english_or_action","normalization_class","adverse_delta","rejected_alternative","motivation","decision_state","status","confidence","record_revision","continuation_cursor","revisit_condition"
"SGA2-VIII-IV-II-NGT1-TERM-001","proof_register","corrected_french_tex","SGA2-VIII-IV-II-NGT1-INDUCTION","le resultat acquis","French2856","opening paragraph","assume the result established","standard_mathematical_register","avoids acquisition calque","the result is acquired","idiomatic SGA English without changing logical force","applied_production_self_reviewed","independently_sealed_pending_archive_custody","high","1","French line2874","register review"
"SGA2-VIII-IV-II-NGT1-TERM-002","specialization_language","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-POINTS","x suive y","French2856","opening paragraph","let y be an immediate specialization of x","geometric_relation_explication","avoids ambiguous literal direction","x follows y","y lies in closure of x and local dimension one fixes the specialization relation","applied_production_self_reviewed","independently_sealed_pending_archive_custody","high","1","French line2874","geometric terminology review"
"SGA2-VIII-IV-II-NGT1-TERM-003","direct_image_notation","corrected_french_tex","SGA2-VIII-IV-II-NGT1-BCISO","R-sup-p i-star","French2857","first isomorphism display","upright R-sup-p with exact i and i-prime subscripts","source_notation_preservation","none","spell out derived functor in prose","preserve source formula and SGA convention","applied_production_self_reviewed","independently_sealed_pending_archive_custody","high","1","French line2874","notation review"
"SGA2-VIII-IV-II-NGT1-TERM-004","cross_reference","corrected_french_tex","SGA2-VIII-IV-II-NGT1-BASECHANGE","Ref eq VIII.2.7","French2856","base-change paragraph","literal diagram (2.7)","standalone_cross_reference_safety","no unresolved question marks","unresolved TeX reference or duplicated diagram","dependency remains explicit and cumulative-safe","applied_production_self_reviewed","independently_sealed_pending_archive_custody","high","1","French line2874","cumulative assembly"
"SGA2-VIII-IV-II-NGT1-TERM-005","italic_emphasis","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-LOCALRED","On se ramene ainsi","French2859","italic reduction paragraph","Thus we are reduced to the case","source_emphasis_preservation","none","We can reduce to the case","retain source italic assertion and formal register","applied_production_self_reviewed","independently_sealed_pending_archive_custody","high","1","French line2874","register review"
"SGA2-VIII-IV-II-NGT1-TERM-006","source_oddity","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-LOCALRED","underlined x then dim A slash plain x","French2859","italic paragraph and authority box","preserve plain x in dim(A/x)=1 and disclose","source_notation_non_normalization","visible inconsistency retained","dim(A/underlined x)=1","do not silently promote a conjectural correction","applied_unresolved_source_oddity","independently_sealed_pending_archive_custody","high","1","French line2874","source-owner resolution"
"SGA2-VIII-IV-II-NGT1-TERM-007","sheaf_functor","corrected_french_tex","SGA2-VIII-IV-II-NGT1-TORSION","SheafGamma-sub-Y","French2859","F-prime display","underlined Gamma-sub-Y","source_notation_preservation","none","plain Gamma-sub-Y","the macro denotes the sheaf functor and underline is substantive notation","applied_production_self_reviewed","independently_sealed_pending_archive_custody","high","1","French line2874","notation review"
"SGA2-VIII-IV-II-NGT1-TERM-008","associated_points","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-ASS","Ass and x-y typography","French2861 and2865","paragraphs around second isomorphism","ordinary point x-y in Ass statements and underlined ideals in prime statements","semantic_typography_preservation","mixed glyph treatment is intentional","underline every x and y or make every one plain","source distinguishes points from corresponding ideals","applied_production_self_reviewed","independently_sealed_pending_archive_custody","high","1","French line2874","symbol review"
"SGA2-VIII-IV-II-NGT1-TERM-009","regular_sequence_term","corrected_french_tex","SGA2-VIII-IV-II-NGT1-REGULAR","M-regulier","French2865","regular-element paragraph","M-regular","standard_commutative_algebra_register","none","regular for M","standard English convention","applied_production_self_reviewed","independently_sealed_pending_archive_custody","high","1","French line2874","terminology review"
"SGA2-VIII-IV-II-NGT1-TERM-010","source_ambiguity","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-REGULAR","F equals tilde M after Ass F-double-prime argument","French2865","M display","preserve source F equals tilde M and flag ambiguity","source_fidelity_under_ambiguity","possible implicit renaming or F-double-prime typo remains unresolved","change body to F-double-prime equals tilde M","French unchanged pending source-owner or proof-level resolution","applied_high_priority_unresolved","independently_sealed_pending_archive_custody","medium","1","French line2874","source-owner response or cumulative proof audit"
