"comparison_id","evidence_class","authority_role","unit_id","object_type","source_locator","source_tex_lines","original_printed_pages","physical_source_pdf_pages","target_locator","parent_id","cross_references","critical_controls","decision","result","status","confidence","adverse_or_choice","rejected_alternative","record_revision","continuation_cursor"
"SGA2-VIII-IV-II-NGT1-CMP-001","source_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-INDUCTION","induction_hypothesis","French2856","2856","95","83","opening paragraph","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-POINTS","n greater than one; every n-prime below n","preserve","pass","independently_sealed_pending_archive_custody","high","none","result acquired literal calque","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-002","source_symbol_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-POINTS","associated_point","French2856","2856","95","83","opening paragraph","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-BASECHANGE","x in U; c(x)=1; x notin upright Ass F-sub-x","preserve exact symbols","pass","independently_sealed_pending_archive_custody","high","ordinary x is a point here","underline x as an ideal","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-003","source_geometry","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-POINTS","immediate_specialization","French2856","2856","95","83","opening paragraph and dimension display","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-BASECHANGE","y in closure{x} intersect Y; dim O-sub-closure{x},y equals one","translate geometric relation explicitly","pass","independently_sealed_pending_archive_custody","high","x suive y is source idiom","x follows y","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-004","source_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-BASECHANGE","base_change_map","French2856","2856","95","83","base-change display","SGA2-VIII-IV-II-NGT1","OUTBOUND:eq:VIII.2.7","v:Spec(O-sub-X,y) to X","preserve","pass","independently_sealed_pending_archive_custody","high","none","omit local-ring subscript","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-005","cross_reference","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-BASECHANGE","diagram_reference","French2856","2856","95","83","base-change paragraph","SGA2-VIII-IV-II-NGT1","OUTBOUND:eq:VIII.2.7","literal diagram (2.7); no unresolved reference token","preserve dependency without duplicating source body","pass","independently_sealed_pending_archive_custody","high","standalone has no prior equation counter","unresolved TeX Ref or copied diagram","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-006","source_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-BCISO","higher_direct_image_base_change","French2856-2858","2856-2858","95","83","first isomorphism display","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-LOCALRED","v-star(R-sup-p i-star(F|U)) simeq R-sup-p i-prime-star(v-prime-star(F|U)); p in Z","preserve all primes and quantifier","pass","independently_sealed_pending_archive_custody","high","ordinary parentheses chosen for extraction safety","enlarged delimiters yielding U+0001 controls","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-007","source_reference","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-BCISO","EGA_citation","French2856","2856","95","83","base-change paragraph","SGA2-VIII-IV-II-NGT1","OUTBOUND:EGA-III-1.4.15","EGA III 1.4.15","preserve","pass","independently_sealed_pending_archive_custody","high","none","drop citation","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-008","source_notation","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-LOCALRED","local_prime","French2859","2859","95","83","italic reduction paragraph","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-TORSION","X spectrum local A; underlined x prime ideal dimension one","preserve italic and underline","pass","independently_sealed_pending_archive_custody","high","corrected branch underlines named prime","plain x throughout","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-009","source_oddity","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-LOCALRED","dimension_quotient","French2859","2859","95","83","italic reduction paragraph and authority box","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-TORSION","dim(A/x)=1 with plain x","preserve and disclose","pass_with_unresolved_source_oddity","independently_sealed_pending_archive_custody","high","underline state changes within one sentence","silently regularize to underlined x","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-010","source_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-TORSION","supported_subsheaf","French2859","2859","95","83","F-prime and F-double-prime display","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-COHISO","F-prime=underlined Gamma-sub-Y(F); F-double-prime=F/F-prime","preserve","pass","independently_sealed_pending_archive_custody","high","Gamma is underlined sheaf functor","plain Gamma or omit prime marks","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-011","source_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-TORSION","stalk_and_associated_point","French2861","2861","95","83","paragraph after decomposition","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-COHISO","F-sub-x simeq F-double-prime-sub-x; y notin Ass F-double-prime","preserve ordinary point symbols","pass","independently_sealed_pending_archive_custody","high","none","underline point x or y","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-012","source_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-COHISO","higher_direct_image_identification","French2861-2864","2861-2864","95","83","second isomorphism display","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-ASS","R-sup-p i-star(F|U) simeq R-sup-p i-star(F-double-prime|U); p in Z","preserve","pass","independently_sealed_pending_archive_custody","high","none","drop p in Z or double prime","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-013","page_structure","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-MARKER","source_page_transition","French2864-2865","2864-2865","95-96","83-84","authority box and gray paragraph marker","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-ASS","physical break between lines2864 and2865; pageoriginale token inside line2865 after il existe","preserve separate locators","pass","independently_sealed_pending_archive_custody","high","visual marker moved to paragraph start for readable target","equate physical break with token position","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-014","source_symbol_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-ASS","point_versus_prime_notation","French2865","2865","96","84","printed-page-96 paragraph","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-REGULAR","ordinary x,y outside Ass F-double-prime; underlined x,y only prime ideals; underlined x containment","preserve typography by semantic role","pass","independently_sealed_pending_archive_custody","high","source switches point to ideal notation","normalize all instances","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-015","source_ambiguity","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-REGULAR","F_versus_F_double_prime_module","French2865","2865","96","84","regular-element paragraph and M display","SGA2-VIII-IV-II-NGT1","OUTBOUND:III.2.1","argument establishes x,y outside Ass F-double-prime then writes F=tilde M and M=F(X)","preserve source F and flag implicit renaming or typo","unresolved_high_priority_source_ambiguity","independently_sealed_pending_archive_custody","medium","cumulative proof may require F-double-prime interpretation","reject silent F-double-prime emendation; review trigger is source-owner response or independent proof audit","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-016","source_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-EXACT","short_exact_sequence","French2865-2868","2865-2868","96","84","short exact sequence","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-COHERENCE","0 to M; arrow label g-prime; M to N to 0","preserve exact arrow label","pass","independently_sealed_pending_archive_custody","high","candidate changes label to g dot","g dot or unlabeled arrow","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-017","source_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-COHERENCE","coherence_bound","French2868-2870","2868-2870","96","84","coherence conclusion display","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-CLOSE","R-sup-p i-star(tilde N|U) coherent for p<n-1","preserve tilde and strict bound","pass","independently_sealed_pending_archive_custody","high","candidate corrupts tilde N as N-tilde-like character","plain N or corrupted character","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-018","source_formula_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-IV-II-NGT1-CLOSE","depth_conclusion","French2872","2872","96","84","final depth display and proof square","SGA2-VIII-IV-II-NGT1","SGA2-VIII-IV-II-NGT1-CURSOR","upright prof(tilde N)-sub-x greater-than-or-equal n-1; prof F-sub-x greater-than-or-equal n","preserve weak inequalities and close proof","pass","independently_sealed_pending_archive_custody","high","candidate uses geqslant and raw prof","strong inequality or spelled-out depth in formula","1","French line2874"
"SGA2-VIII-IV-II-NGT1-CMP-019","target_normalization","corrected_french_tex_with_precedent_backed_provisional_english_policy_pending_manager_consolidation","SGA2-VIII-IV-II-NGT1","F_sheaf_glyph","style352-and354 plus French2856-2872","2856-2872","95-96","83-84","all target formulas","SGA2-VIII-IV-II-NGT1","OUTBOUND:SGA2-EN-NOTATION-POLICY","corrected source macro Fa renders upright roman F; target uses calligraphic F","retain the precedent-backed provisional SGA2 English calligraphic normalization pending manager consolidation; source glyph remains upright operator F/G","pass_with_disclosed_adverse_delta","independently_sealed_pending_archive_custody","high","glyph departs deliberately from corrected source while formula roles and primes remain aligned","silently claim target calligraphic F is literal source glyph","1","French line2874"
