"count","note","category"
"1a1110ebfcbe729d3c0db2a3fe98148e070a5389","1A1110EB is prior frontier only","frontier_correction_prior"
"8be81510d284b9804706e426a312f1649f39d080","B3 verified corrected current-head context","frontier_correction_current"
"8be81510d284b9804706e426a312f1649f39d080","remote branch head observed during correction build","observed_remote_head"
"True","remote observed equals corrected head","observed_matches_corrected"
"20","1A1110EB to 8BE81510 compare files","branch_compare_files"
"20","filename filter for R6/Indigenous/Creole/Sign terms","r6_relevant_or_possible_branch_rows"
"13","previous 1A packet SHA rows verified","input_sha_rows"
"0","should remain zero","input_sha_failures"
"11","source-recovery probe rows carried forward","probe_rows_carried"
"11","source-use/provenance rows carried forward","source_use_rows_carried"
"11","blocker/next-action rows carried forward","blocker_rows_carried"
"11","Fable/adverse/do-not-use rows carried forward","fable_rows_carried"
