paper,printed_page_or_range,current_head,last_updated_utc,source_witness_or_basis,source_quality,audited_by_or_qc_instances,audit_depth,fixes_found,fixes_integrated,current_status,next_action,evidence_files,notes
P06,195,Noether_LocalIntegration_20260705_P24p233_SourceStyleRecovery_from_R796,2026-07-05,Web R286 source witness plus current local head TeX locus check,source not reopened in this pass,origin=Web_found_previous_then_local_survival_checked,spot page/locus formula survival,1 hard formula regression,yes: current head has `F(x)=\\frac{\\Gamma(H_1(x)\\rcdots H_\\sigma(x))}{i}.`,closed_current_head_survival_no_new_patch,No action unless P06 is reopened for full visual page certification,Web R286 report; current TeX line 5770,Correction was found by Web R286; local machine-assisted production only verified survival in the current head.
P10,536;540;543;544;545,R796,2026-07-05,Web R286 staged GDZ full pages,GDZ full pages; exact DPI not rechecked here,Web R286,hard-locus audit,no new P10 patch,n/a,page_row_imported_from_web_report_no_patch,import exact page rows if P10 reopened,Web R286 report,p543 rank-four aligned system checked including dot-leader rows.
P13,248-257,Noether_LocalIntegration_20260705_P24p233_SourceStyleRecovery_from_R796,2026-07-05,external proposal lane R673 HardSymbol/HardMath ledgers; local integration lane R674 P13 source-style ledger; Web R781 whole-paper audit; current local head TeX context,"best local staged GDZ IIIF full-resolution page images, below preferred native650; R781 GDZ raw full-page witnesses and targeted crops",origin=mixed external proposal lane_found_previous + local_machine-assisted production_found_previous + Web_R781_found_p249_regression; local patch promoted 2026-07-05,hard-math cluster survival plus Web R781 correction,"R673/R674 found wrong indices, summation variable, derivative replacement family, Jacobian denominator, divergence notation, bare-vs-indexed sums, footnote-marker punctuation; Web R781 later found p249 integration display should use baseline subscript, not evaluation bar",yes: current local head now carries Web R781 p249 baseline-subscript repair plus the other R673/R674 P13 fixes,closed_known_band_after_WebR781_patch,Do not redo p248-p257 unless contradicted; P13 as a whole has an R781 whole-paper best-available audit row,R781 confirmed_fixes_R781.csv; R781 P13_page_audit_R781.csv; R673/R674 ledgers; current local TeX line 8855 after patch,This row supersedes earlier wording that treated the p249 evaluation-bar form as source-backed.
P13,235-257,Noether_LocalIntegration_20260705_P24p233_SourceStyleRecovery_from_R796,2026-07-05,Web R781 whole-paper audit against GDZ raw full-page witnesses p235-p257,"GDZ native400-class full pages plus targeted witness crops; best-available, not native650/native1000 ideal",origin=Web_R781_wholepaper_audit_logged_after_local_patch,whole-paper current-head audit with one promoted patch,1 live regression found and patched at p249; all other pages p235-p257 audited no patch in R781,yes: p249 patched locally; all other R781 P13 page rows logged no-patch,wholepaper_current_head_audited_best_available,No action unless a concrete contradiction appears; do not re-open P13 only because of stale pre-R781 rows,NOETHER_WEB_R781_P13P19_INTEGRATION_20260705.csv; R781 P13_page_audit_R781.csv,This is a Web audit imported as status evidence; local machine-assisted production did not independently re-open every P13 page in this turn.
P15,148,R796,2026-07-05,`P15_source_p148_two_row_case_source.png`; R780/R794 carried evidence,GDZ400-class source per Web notes,Web R780 plus local R794/R796 survival pattern,source visual fix plus current-head pattern survival,1 hard exponent error,yes,closed_best_available_known_locus,no action unless contradicted,`P15_confirmed_fixes_R780_web.csv`; `NOETHER_HARD_MATH_SURVIVAL_CHECK_R796_20260705.csv`,`\xi_{12}^\nu` and `(12)^\nu` corrected to x exponent.
P15,149,R796,2026-07-05,P15 p149 source crops in R794/R796 evidence,GDZ400-class source per Web notes,Web R780 plus local R793/R794/R796,source visual fix plus current-head pattern survival,product-dot omissions and relation conflict,yes,closed_best_available_known_locus,no action unless contradicted,`p15_dispositions_R793.csv`; `P15_stale_conflict_resolutions_R780.csv`; `web_R780_reconciliation_R794.csv`,Formula (7) equality retained; stale congruence/specialization rejected.
P15,149-150,R796,2026-07-05,R793 local source crops/native400 render1000,GDZ400-class source per local notes,local R793,source visual no-patch trap,no patch,not applicable,closed_no_patch_trap,no action unless contradicted,`p15_dispositions_R793.csv`,Iterated lambda formula remains juxtaposed; do not insert dot.
P15,152-153,R796,2026-07-05,R793 local source inspection,GDZ400-class source per local notes,local R793,source visual no-global-patch trap,no global dot insertion,not applicable,closed_no_patch_trap,no action unless contradicted,`p15_dispositions_R793.csv`,Do not globally insert dots after xi_{n-1
P15,155-156,R796,2026-07-05,Web R780/R793 source checks,GDZ400-class source per Web notes,Web R780 plus local R793,source visual no-patch trap,no patch,not applicable,closed_no_patch_trap,no action unless contradicted,`P15_stale_conflict_resolutions_R780.csv`; `p15_dispositions_R793.csv`,Reciprocal-looking substitution pair is source-real.
P19,32,Noether_LocalIntegration_20260705_P24p233_SourceStyleRecovery_from_R796,2026-07-05,Web R711 archaeology report plus current local head direct TeX locus check,source not reopened here,Web R711 plus local machine-assisted production 2026-07-05,reported source-backed archaeology fix plus exact current-head locus survival at Definition I complement line,1 family-symbol fix,yes; current head uses \ideal A_i at complement locus,closed_current_head_survival_no_new_patch,visual spot-check only if P19 reopened or better source contradiction appears,current TeX line 11359 in cum_de_R796_local_P24p233fix.tex; user-provided Web R711 report,"Both A_i and U_i occur elsewhere legitimately; closure is contextual at the complement-family locus, not a global string rule."
