authority_pdf_page	source_volume_page	paper_folio	unique_printed_page	prompt_id	work_disposition	capture_disposition	section_or_boundary_marker	raster_geometry	image_fallback_rule	copy_matter_exclusion
1	299	299	299	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	title; byline; dedication; Sommaire; Section 1; equations (1.1.1)-(1.1.4)	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
2	300	300	300	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
3	301	301	301	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
4	302	302	302	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 2 heading uses représentations réelles; Propositions 2.1-2.2; two commutative diagrams	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
5	303	303	303	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
6	304	304	304	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
7	305	305	305	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
8	306	306	306	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
9	307	307	307	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 3. Preuve de 1.5	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
10	308	308	308	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
11	309	309	309	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 4. Groupes de Weil et loi de réciprocité de Hasse	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
12	310	310	310	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
13	311	311	311	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
14	312	312	312	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
15	313	313	313	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	large exactness diagram; Section 5. Représentations orthogonales de groupes de Weil	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
16	314	314	314	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
17	315	315	315	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
18	316	316	316	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Bibliographie 1-3; Reçu le 20 septembre 1975; I.H.E.S. address; terminal blank remainder	1740x2670_1BIT_DEVICEGRAY_CCITT	RAW_AUTHORITY_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_SCANNER_MARGIN_OR_BLANK_REMAINDER_AS_BODY
