decision_id,source_locator,exact_german_phrase,concept_scope,zh_hans_cn_choice,sense_window,excluded_senses,alternatives_considered,lexical_attractor_basin,mandarin_simplified_dominance_risk_debt,evidence_class,controlled_hant_form,controlled_hant_status,independent_check_status,producer_note
P41-ZH-T001,title; §1 theorem; §2 theorem,Hauptgeschlechtssatz,principal-genus theorem in algebraic number theory,主属定理,The theorem about the principal genus in relative Galois number fields and its algebraic minimal analogue.,generic main category; biological genus; principal class theorem,主种定理; 主属定理（保留）,modern Sino-xenic coinage/calque,High: Mainland 主属 is the lexical base; regional acceptability is untested.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,主屬定理,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Kept distinct from Hauptklasse/主类.
P41-ZH-T002,title and opening,relativ-galoissche Zahlkörper,number-field extension Galois over a specified base,相对伽罗瓦数域,A number field considered as a Galois extension relative to its lower field.,relative Galois numbers; an absolute Galois field,相对 Galois 数域; 相对伽罗瓦扩张,modern Sino-xenic coinage/calque,Medium: Mainland transliteration and compressed 数域 phrasing may not be region-neutral.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,相對伽羅瓦數域,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Title form follows the producer's concise mathematical register.
P41-ZH-T003,§1 heading and theorem,im Minimalen,minimal algebraic case of the theorem,最小情形,The paper's named minimal case over an arbitrary commutative field.,minimum numerical value; local small case,极小情形; 最小情况,modern Sino-xenic coinage/calque,Medium: Mainland 情形 preference may obscure alternative regional phrasing.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,最小情形,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Contrast with im Kleinen is deliberately retained.
P41-ZH-T004,opening footnote,im Kleinen,the historically named small/local case,小情形,The 'small case' contrasted by Noether with the minimal algebraic analogue.,minimal case; merely easy case,小范围情形; 局部情形,mixed/contested,Medium: the literal Mainland-style label may not be established terminology elsewhere.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,小情形,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Held separate from 最小情形.
P41-ZH-T005,§1.1 throughout,verschränktes Produkt,crossed-product algebra,交叉积,The algebra generated from K and its Galois group with a factor system.,tensor product; direct product; Cartesian product,扭积; 交错积,modern Sino-xenic coinage/calque,High: 交叉积 is Mainland-dominant and could mask other CJK-derived conventions.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,交叉積,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Used consistently for the historical algebraic construction.
P41-ZH-T006,§1.2 theorem forms,verschränkte Darstellung,crossed representation governed by a factor system,交叉表示,A representation compatible with the crossed-product/factor-system relations.,informal interlaced presentation; ordinary linear representation without cocycle,射影表示; 扭表示,modern Sino-xenic coinage/calque,"High: 交叉表示 is a producer calque, not independently established across regions.",producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,交叉表示,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Historical scope is narrower than a generic projective representation.
P41-ZH-T007,§1.1 equations (3)–(5); §2,Faktorensystem,factor set / multiplicative cocycle of the crossed product,因子系,"The indexed multiplicative data a_{S,T} satisfying the associativity relation.",list of numerical factors; factorization system,因子集; 因子组,modern Sino-xenic coinage/calque,High: 因子系 reflects the inherited Mainland shelf and may compete with 因子集.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,因子系,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Choice preserves the producer's historical register.
P41-ZH-T008,§1.1 after equation (4),einfache normale Algebra,historical term for a central simple algebra,中心单代数,A finite-dimensional central simple algebra over the base field in this context.,merely simple normal algebra; normal extension,单纯正规代数; 简单正规代数,modern Sino-xenic coinage/calque,High: modern Mainland normalization suppresses the historical wording and needs checker review.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,中心單代數,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Modern structural term selected for clarity; historical equivalence remains reviewable.
P41-ZH-T009,opening; §2 auxiliary lemma 2,zerfallende Algebra,split algebra,分裂代数,An algebra split over the relevant field/place.,decomposable algebra; algebra breaking into components,裂代数; 可分解代数,modern Sino-xenic coinage/calque,Medium: 分裂 is Mainland-normalized but broadly Sino-xenic; regional prose untested.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,分裂代數,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Kept distinct from decomposition of ideals or groups.
P41-ZH-T010,§1.1 after equation (4),Zerfällungskörper,splitting field of the algebra,分裂域,A field over which the algebra becomes split.,field decomposition; residue field,分解域; 裂域,modern Sino-xenic coinage/calque,Medium: the form is Mainland lexical base; local conventional variants were not researched.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,分裂域,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Producer kept standard modern algebraic usage.
P41-ZH-T011,§1.1 after equation (5); §2,Transformationsgrößen,coboundary-type transformation quantities,变换量,The quantities c_S^T c_T / c_{ST} that relate associated factor systems.,transformation matrices; geometric coordinate transforms,变换因子; 转换量,modern Sino-xenic coinage/calque,High: 变换量 follows Mainland phrasing and may invite a matrix reading.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,變換量,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Sense window is fixed by equation (5).
P41-ZH-T012,§1.2 opening,Komplexe u_S K^*,cosets making up the extension group,陪集,"The cosets u_S K^* in the group extension, not complex numbers.",complex numbers; algebraic complexes as analytic objects,复形; 复集,Sino-xenic inherited,Medium: 陪集 is standard Mainland group terminology; the historical Komplexe nuance is not represented.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,陪集,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,The producer translates the mathematical role rather than calquing Komplexe.
P41-ZH-T013,§1.2 characterization of G*,reguläre Elemente,invertible elements in the algebra/group-extension context,（可逆）元素,Elements invertible for the conjugation action used here.,regular element in algebraic geometry; non-zero-divisor without invertibility,正则元素; 非奇异元素,mixed/contested,High: 可逆 resolves one contextual sense but may be narrower than historical regulär.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,（可逆）元素,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending,Parentheses flag the producer's contextual interpretation for checker review.
