adverse_id,term_decision_id,source_locator,exact_german_phrase,zh_hans_cn_producer_choice,trap_or_adverse_reading,contextual_reason_for_exclusion,alternative_held_for_independent_review,lexical_attractor_basin,mandarin_simplified_dominance_risk_debt,evidence_class,controlled_hant_status,review_state
P41-ZH-A001,P41-ZH-T001,title; §1 theorem; §2 theorem,Hauptgeschlechtssatz,主属定理,主类别定理,The theorem about the principal genus in relative Galois number fields and its algebraic minimal analogue.,主种定理,modern Sino-xenic coinage/calque,High: Mainland 主属 is the lexical base; regional acceptability is untested.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A002,P41-ZH-T002,title and opening,relativ-galoissche Zahlkörper,相对伽罗瓦数域,相对的伽罗瓦数,A number field considered as a Galois extension relative to its lower field.,相对伽罗瓦扩张,modern Sino-xenic coinage/calque,Medium: Mainland transliteration and compressed 数域 phrasing may not be region-neutral.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A003,P41-ZH-T003,§1 heading and theorem,im Minimalen,最小情形,在最小值中,The paper's named minimal case over an arbitrary commutative field.,极小情形,modern Sino-xenic coinage/calque,Medium: Mainland 情形 preference may obscure alternative regional phrasing.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A004,P41-ZH-T004,opening footnote,im Kleinen,小情形,容易情形,The 'small case' contrasted by Noether with the minimal algebraic analogue.,局部情形,mixed/contested,Medium: the literal Mainland-style label may not be established terminology elsewhere.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A005,P41-ZH-T005,§1.1 throughout,verschränktes Produkt,交叉积,普通乘积,The algebra generated from K and its Galois group with a factor system.,扭积,modern Sino-xenic coinage/calque,High: 交叉积 is Mainland-dominant and could mask other CJK-derived conventions.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A006,P41-ZH-T006,§1.2 theorem forms,verschränkte Darstellung,交叉表示,交错的陈述,A representation compatible with the crossed-product/factor-system relations.,射影表示,modern Sino-xenic coinage/calque,"High: 交叉表示 is a producer calque, not independently established across regions.",producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A007,P41-ZH-T007,§1.1 equations (3)–(5); §2,Faktorensystem,因子系,因数系统,"The indexed multiplicative data a_{S,T} satisfying the associativity relation.",因子集,modern Sino-xenic coinage/calque,High: 因子系 reflects the inherited Mainland shelf and may compete with 因子集.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A008,P41-ZH-T008,§1.1 after equation (4),einfache normale Algebra,中心单代数,简单的正规代数,A finite-dimensional central simple algebra over the base field in this context.,简单正规代数,modern Sino-xenic coinage/calque,High: modern Mainland normalization suppresses the historical wording and needs checker review.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A009,P41-ZH-T009,opening; §2 auxiliary lemma 2,zerfallende Algebra,分裂代数,分解代数,An algebra split over the relevant field/place.,裂代数,modern Sino-xenic coinage/calque,Medium: 分裂 is Mainland-normalized but broadly Sino-xenic; regional prose untested.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A010,P41-ZH-T010,§1.1 after equation (4),Zerfällungskörper,分裂域,分解体,A field over which the algebra becomes split.,裂域,modern Sino-xenic coinage/calque,Medium: the form is Mainland lexical base; local conventional variants were not researched.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A011,P41-ZH-T011,§1.1 after equation (5); §2,Transformationsgrößen,变换量,变换矩阵,The quantities c_S^T c_T / c_{ST} that relate associated factor systems.,变换因子,modern Sino-xenic coinage/calque,High: 变换量 follows Mainland phrasing and may invite a matrix reading.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A012,P41-ZH-T012,§1.2 opening,Komplexe u_S K^*,陪集,复数 u_S K^*,"The cosets u_S K^* in the group extension, not complex numbers.",复集,Sino-xenic inherited,Medium: 陪集 is standard Mainland group terminology; the historical Komplexe nuance is not represented.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A013,P41-ZH-T013,§1.2 characterization of G*,reguläre Elemente,（可逆）元素,正则元素（不加限定）,Elements invertible for the conjugation action used here.,正则元素,mixed/contested,High: 可逆 resolves one contextual sense but may be narrower than historical regulär.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A014,P41-ZH-T014,§2.1,Hauptklasse,主类,主要类别,The distinguished principal class in an ideal-class partition.,单位类,Sino-xenic inherited,Medium: 主类 is Mainland base and must remain distinct from 主属.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
P41-ZH-A015,P41-ZH-T015,§2.2,Hauptgeschlecht,主属,主类,The genus containing the class vectors whose transformation quantities lie in the induced principal class.,主种,modern Sino-xenic coinage/calque,High: 主属 is a Mainland-oriented established attractor and not regionally validated.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,controlled generic script derivative; not zh-Hant-TW/HK/MO,independent check pending
