crosswalk_id,term_decision_id,source_locator,exact_german_phrase,zh_hans_cn_producer_form,zh_hant_controlled_form,zh_hant_status,ja_form,ko_form,ja_ko_evidence_status,sense_window,excluded_senses,lexical_attractor_basin,mandarin_simplified_dominance_risk_debt,evidence_class,independent_check_status
P41-ZH-X001,P41-ZH-T001,title; §1 theorem; §2 theorem,Hauptgeschlechtssatz,主属定理,主屬定理,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,The theorem about the principal genus in relative Galois number fields and its algebraic minimal analogue.,generic main category; biological genus; principal class theorem,modern Sino-xenic coinage/calque,High: Mainland 主属 is the lexical base; regional acceptability is untested.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
P41-ZH-X002,P41-ZH-T002,title and opening,relativ-galoissche Zahlkörper,相对伽罗瓦数域,相對伽羅瓦數域,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,A number field considered as a Galois extension relative to its lower field.,relative Galois numbers; an absolute Galois field,modern Sino-xenic coinage/calque,Medium: Mainland transliteration and compressed 数域 phrasing may not be region-neutral.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
P41-ZH-X003,P41-ZH-T003,§1 heading and theorem,im Minimalen,最小情形,最小情形,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,The paper's named minimal case over an arbitrary commutative field.,minimum numerical value; local small case,modern Sino-xenic coinage/calque,Medium: Mainland 情形 preference may obscure alternative regional phrasing.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
P41-ZH-X004,P41-ZH-T004,opening footnote,im Kleinen,小情形,小情形,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,The 'small case' contrasted by Noether with the minimal algebraic analogue.,minimal case; merely easy case,mixed/contested,Medium: the literal Mainland-style label may not be established terminology elsewhere.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
P41-ZH-X005,P41-ZH-T005,§1.1 throughout,verschränktes Produkt,交叉积,交叉積,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,The algebra generated from K and its Galois group with a factor system.,tensor product; direct product; Cartesian product,modern Sino-xenic coinage/calque,High: 交叉积 is Mainland-dominant and could mask other CJK-derived conventions.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
P41-ZH-X006,P41-ZH-T006,§1.2 theorem forms,verschränkte Darstellung,交叉表示,交叉表示,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,A representation compatible with the crossed-product/factor-system relations.,informal interlaced presentation; ordinary linear representation without cocycle,modern Sino-xenic coinage/calque,"High: 交叉表示 is a producer calque, not independently established across regions.",producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
P41-ZH-X007,P41-ZH-T007,§1.1 equations (3)–(5); §2,Faktorensystem,因子系,因子系,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,"The indexed multiplicative data a_{S,T} satisfying the associativity relation.",list of numerical factors; factorization system,modern Sino-xenic coinage/calque,High: 因子系 reflects the inherited Mainland shelf and may compete with 因子集.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
P41-ZH-X008,P41-ZH-T008,§1.1 after equation (4),einfache normale Algebra,中心单代数,中心單代數,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,A finite-dimensional central simple algebra over the base field in this context.,merely simple normal algebra; normal extension,modern Sino-xenic coinage/calque,High: modern Mainland normalization suppresses the historical wording and needs checker review.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
P41-ZH-X009,P41-ZH-T009,opening; §2 auxiliary lemma 2,zerfallende Algebra,分裂代数,分裂代數,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,An algebra split over the relevant field/place.,decomposable algebra; algebra breaking into components,modern Sino-xenic coinage/calque,Medium: 分裂 is Mainland-normalized but broadly Sino-xenic; regional prose untested.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
P41-ZH-X010,P41-ZH-T010,§1.1 after equation (4),Zerfällungskörper,分裂域,分裂域,controlled generic script derivative; not zh-Hant-TW/HK/MO,,,not consulted and not authorized as Chinese evidence,A field over which the algebra becomes split.,field decomposition; residue field,modern Sino-xenic coinage/calque,Medium: the form is Mainland lexical base; local conventional variants were not researched.,producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent,independent check pending
