concept_id,concept,domain,language,fill_status,form,source_document,source_locator,source_category,source_use_label,confidence,note
C2-prime_ideal,prime ideal,curriculum_algebra,fa_IR,witnessed,ایده‌آل اول,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,line 2965; compare fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt lines 998-1000 and 1053-1057,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.75,"Persian/Farsi row only; does not authorize Dari, Tajik, or Urdu."
C2-prime_ideal,prime ideal,curriculum_algebra,prs_AF,gap,[gap],prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 6565-6579 in prior lane notes contain استلزام اول = prime implicant, not prime ideal",adverse-evidence,false-friend-gap,0.00,Do not use استلزام اول for prime ideal.
C2-prime_ideal,prime ideal,curriculum_algebra,tg_Cyrl_TJ,gap,[gap],tg_Cyrl_TJ source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,Tajik remains zero-promoted-row; no prime-ideal term promoted.
C2-prime_ideal,prime ideal,curriculum_algebra,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu prime-ideal body in current shelf.
C2-elementary_divisor,elementary divisor,noether_corpus,fa_IR,gap,[gap],fa_IR source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.
C2-elementary_divisor,elementary divisor,noether_corpus,prs_AF,gap,[gap],prs_AF source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.
C2-elementary_divisor,elementary divisor,noether_corpus,tg_Cyrl_TJ,gap,[gap],tg_Cyrl_TJ source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.
C2-elementary_divisor,elementary divisor,noether_corpus,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.
C2-resultant,resultant,noether_corpus,fa_IR,gap,[gap],fa_IR source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.
C2-resultant,resultant,noether_corpus,prs_AF,gap,[gap],prs_AF source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.
C2-resultant,resultant,noether_corpus,tg_Cyrl_TJ,gap,[gap],tg_Cyrl_TJ source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.
C2-resultant,resultant,noether_corpus,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.
C2-assumption,assumption,proof_grammar,fa_IR,witnessed,فرض,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 589, 620, 647 and nearby proof contexts",OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.70,Proof-register Persian assumption/hypothesis anchor.
C2-assumption,assumption,proof_grammar,prs_AF,witnessed,فرض,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,line 666 and graph-proof context,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.65,Dari/Afghan Persian evidence stands alone.
C2-assumption,assumption,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,фарзия,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt,lines 421-435 statistical-hypothesis headings,OCR-located-in-native-PDF,source-discovery-not-promoted,0.35,Tajik source-discovery only; not a promoted term row.
C2-assumption,assumption,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu assumption witness in current package.
C2-conversely,conversely,proof_grammar,fa_IR,witnessed,برعکس / به عکس,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,lines 2794 and 2948,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.65,Proof connector in Persian source; normalize form only after review.
C2-conversely,conversely,proof_grammar,prs_AF,witnessed,برعکس,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,line 2234,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.55,Broad graph-prose connector; not borrowed from fa_IR.
C2-conversely,conversely,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,баръакс,tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt,line 278 in proof-method heading,OCR-located-in-native-PDF,source-discovery-not-promoted,0.35,Tajik non-row only.
C2-conversely,conversely,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu proof-connector witness in current package.
C2-equation,equation,proof_grammar,fa_IR,witnessed,معادله,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 904-905 and 1382,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.75,Formula-neighboring Persian math prose.
C2-equation,equation,proof_grammar,prs_AF,witnessed,معادله,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 681 and 6802 in mathematical equation/expression contexts,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.65,Dari/Persian Afghanistan anchor; Pashto eCampus algebra body is excluded from prs_AF authority.
