row_group,language,concept_id,concept,fill_status,classification,generated_draft_rendering,source_document,source_locator,source_use_label,source_sha256,confidence,term_register_alternatives,formula_neighboring_note,branch_gap_note,boundary
c2_rows,fa_IR,C2-prime_ideal,prime ideal,witnessed,source-gated-draft-ready,ایده‌آل اول,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,line 2965; compare fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt lines 998-1000 and 1053-1057,source-witness-pdf-with-ocr-locator,0C9DDD45EDABB82285882DFBF617B085BC5CDAED7FBD80D126F2A24A98610E66,0.75,[single witnessed surface; reviewer may still choose register],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,"Persian/Farsi row only; does not authorize Dari, Tajik, or Urdu.","fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
c2_rows,prs_AF,C2-prime_ideal,prime ideal,gap,source-canon-insufficient,[none: source acquisition/gap row],prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 6565-6579 in prior lane notes contain استلزام اول = prime implicant, not prime ideal",false-friend-gap,3C69812198A648F1518AC47626316BC2F1C7386AA5E5D7AA7097D2A431D0A24A,0.00,[none: source-acquisition required],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,Do not use استلزام اول for prime ideal.,prs_AF only; Iranian Persian and Pashto do not authorize this row
c2_rows,tg_Cyrl_TJ,C2-prime_ideal,prime ideal,gap,source-canon-insufficient,[none: source acquisition/gap row],tg_Cyrl_TJ source package,searched current package / no responsible C2 fill witness found,source-acquisition-target,[not in source_documents.csv: source package/gap route],0.00,[none: source-acquisition required],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,Tajik remains zero-promoted-row; no prime-ideal term promoted.,tg_Cyrl_TJ source-discovery/non-promoted only
c2_rows,fa_IR,C2-elementary_divisor,elementary divisor,gap,source-canon-insufficient,[none: source acquisition/gap row],fa_IR source package,searched current package / no responsible C2 fill witness found,source-acquisition-target,[not in source_documents.csv: source package/gap route],0.00,[none: source-acquisition required],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
c2_rows,prs_AF,C2-elementary_divisor,elementary divisor,gap,source-canon-insufficient,[none: source acquisition/gap row],prs_AF source package,searched current package / no responsible C2 fill witness found,source-acquisition-target,[not in source_documents.csv: source package/gap route],0.00,[none: source-acquisition required],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.,prs_AF only; Iranian Persian and Pashto do not authorize this row
c2_rows,tg_Cyrl_TJ,C2-elementary_divisor,elementary divisor,gap,source-canon-insufficient,[none: source acquisition/gap row],tg_Cyrl_TJ source package,searched current package / no responsible C2 fill witness found,source-acquisition-target,[not in source_documents.csv: source package/gap route],0.00,[none: source-acquisition required],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.,tg_Cyrl_TJ source-discovery/non-promoted only
c2_rows,fa_IR,C2-resultant,resultant,gap,source-canon-insufficient,[none: source acquisition/gap row],fa_IR source package,searched current package / no responsible C2 fill witness found,source-acquisition-target,[not in source_documents.csv: source package/gap route],0.00,[none: source-acquisition required],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
c2_rows,prs_AF,C2-resultant,resultant,gap,source-canon-insufficient,[none: source acquisition/gap row],prs_AF source package,searched current package / no responsible C2 fill witness found,source-acquisition-target,[not in source_documents.csv: source package/gap route],0.00,[none: source-acquisition required],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.,prs_AF only; Iranian Persian and Pashto do not authorize this row
c2_rows,tg_Cyrl_TJ,C2-resultant,resultant,gap,source-canon-insufficient,[none: source acquisition/gap row],tg_Cyrl_TJ source package,searched current package / no responsible C2 fill witness found,source-acquisition-target,[not in source_documents.csv: source package/gap route],0.00,[none: source-acquisition required],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.,tg_Cyrl_TJ source-discovery/non-promoted only
c2_rows,fa_IR,C2-assumption,assumption,witnessed,source-gated-draft-ready,فرض,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 589, 620, 647 and nearby proof contexts",source-witness-pdf-with-ocr-locator,660455C960CFB8B808F74EE6FC07D64C3D6544D3C1F54149A2C0736CD7877CA7,0.70,[single witnessed surface; reviewer may still choose register],Proof-prose connector; verify punctuation and comma placement around displayed formulas.,Proof-register Persian assumption/hypothesis anchor.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
c2_rows,prs_AF,C2-assumption,assumption,witnessed,source-gated-draft-ready,فرض,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,line 666 and graph-proof context,source-witness-pdf-with-ocr-locator,3C69812198A648F1518AC47626316BC2F1C7386AA5E5D7AA7097D2A431D0A24A,0.65,[single witnessed surface; reviewer may still choose register],Proof-prose connector; verify punctuation and comma placement around displayed formulas.,Dari/Afghan Persian evidence stands alone.,prs_AF only; Iranian Persian and Pashto do not authorize this row
c2_rows,tg_Cyrl_TJ,C2-assumption,assumption,source_discovery_non_promoted,source-discovery-non-promoted,"[none: Tajik source-discovery only, no promoted row]",tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt,lines 421-435 statistical-hypothesis headings,source-discovery-not-promoted,2DB0887B57E488E7019BC725CADE376A0D5AE6A0867A7AC0DEE5EAD13541F2C7,0.35,[single witnessed surface; reviewer may still choose register],Proof-prose connector; verify punctuation and comma placement around displayed formulas.,Tajik source-discovery only; not a promoted term row.,tg_Cyrl_TJ source-discovery/non-promoted only
c2_rows,fa_IR,C2-conversely,conversely,witnessed,source-gated-draft-ready,برعکس / به عکس,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,lines 2794 and 2948,source-witness-pdf-with-ocr-locator,660455C960CFB8B808F74EE6FC07D64C3D6544D3C1F54149A2C0736CD7877CA7,0.65,برعکس / به عکس,Proof-prose connector; verify punctuation and comma placement around displayed formulas.,Proof connector in Persian source; normalize form only after review.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
c2_rows,prs_AF,C2-conversely,conversely,witnessed,source-gated-draft-ready,برعکس,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,line 2234,source-witness-pdf-with-ocr-locator,3C69812198A648F1518AC47626316BC2F1C7386AA5E5D7AA7097D2A431D0A24A,0.55,[single witnessed surface; reviewer may still choose register],Proof-prose connector; verify punctuation and comma placement around displayed formulas.,Broad graph-prose connector; not borrowed from fa_IR.,prs_AF only; Iranian Persian and Pashto do not authorize this row
c2_rows,tg_Cyrl_TJ,C2-conversely,conversely,source_discovery_non_promoted,source-discovery-non-promoted,"[none: Tajik source-discovery only, no promoted row]",tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt,line 278 in proof-method heading,source-discovery-not-promoted,AE8AD825C13517D2D9EB4ABDB3D5DB9792F9D84A19FD6C9C00AC8C3245082760,0.35,[single witnessed surface; reviewer may still choose register],Proof-prose connector; verify punctuation and comma placement around displayed formulas.,Tajik non-row only.,tg_Cyrl_TJ source-discovery/non-promoted only
c2_rows,fa_IR,C2-equation,equation,witnessed,source-gated-draft-ready,معادله,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 904-905 and 1382,source-witness-pdf-with-ocr-locator,0C9DDD45EDABB82285882DFBF617B085BC5CDAED7FBD80D126F2A24A98610E66,0.75,[single witnessed surface; reviewer may still choose register],RTL prose; keep Latin variables/operators/displayed formulas isolated in TeX math mode or LTR islands; do not reorder formula symbols around Arabic-script text.,Formula-neighboring Persian math prose.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
c2_rows,prs_AF,C2-equation,equation,witnessed,source-gated-draft-ready,معادله,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 681 and 6802 in mathematical equation/expression contexts,source-witness-pdf-with-ocr-locator,3C69812198A648F1518AC47626316BC2F1C7386AA5E5D7AA7097D2A431D0A24A,0.65,[single witnessed surface; reviewer may still choose register],RTL prose; keep Latin variables/operators/displayed formulas isolated in TeX math mode or LTR islands; do not reorder formula symbols around Arabic-script text.,Dari/Persian Afghanistan anchor; Pashto eCampus algebra body is excluded from prs_AF authority.,prs_AF only; Iranian Persian and Pashto do not authorize this row
c2_rows,tg_Cyrl_TJ,C2-equation,equation,source_discovery_non_promoted,source-discovery-non-promoted,"[none: Tajik source-discovery only, no promoted row]",tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt,"lines 27, 57, 100 and related linear-system headings",source-discovery-not-promoted,AE8AD825C13517D2D9EB4ABDB3D5DB9792F9D84A19FD6C9C00AC8C3245082760,0.50,[single witnessed surface; reviewer may still choose register],RTL prose; keep Latin variables/operators/displayed formulas isolated in TeX math mode or LTR islands; do not reorder formula symbols around Arabic-script text.,Tajik source-discovery only.,tg_Cyrl_TJ source-discovery/non-promoted only
c2_rows,fa_IR,C2-exercise,exercise,witnessed,source-gated-draft-ready,تمرین,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,line 853,source-witness-pdf-with-ocr-locator,660455C960CFB8B808F74EE6FC07D64C3D6544D3C1F54149A2C0736CD7877CA7,0.65,[single witnessed surface; reviewer may still choose register],No special formula-neighboring handling beyond ordinary RTL/LTR isolation.,Persian source has exercise reference.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
