concept_id,concept,language,current_status,needed_next_evidence,current_evidence_pointer,boundary
C2-prime_ideal,prime ideal,prs_AF,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,"prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt; lines 6565-6579 in prior lane notes contain استلزام اول = prime implicant, not prime ideal","generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-prime_ideal,prime ideal,tg_Cyrl_TJ,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,tg_Cyrl_TJ source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-prime_ideal,prime ideal,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-elementary_divisor,elementary divisor,fa_IR,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,fa_IR source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-elementary_divisor,elementary divisor,prs_AF,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,prs_AF source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-elementary_divisor,elementary divisor,tg_Cyrl_TJ,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,tg_Cyrl_TJ source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-elementary_divisor,elementary divisor,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-resultant,resultant,fa_IR,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,fa_IR source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-resultant,resultant,prs_AF,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,prs_AF source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-resultant,resultant,tg_Cyrl_TJ,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,tg_Cyrl_TJ source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-resultant,resultant,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-assumption,assumption,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt; lines 421-435 statistical-hypothesis headings,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-assumption,assumption,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-conversely,conversely,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt; line 278 in proof-method heading,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-conversely,conversely,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-equation,equation,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,"tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt; lines 27, 57, 100 and related linear-system headings","generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-equation,equation,ur,ocr_only,Perform PDF visual check or acquire cleaner text/source archive before use.,ur/ur_glossary_technical_terms_english_urdu_mathematics_djvu.txt; line 2545,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-exercise,exercise,tg_Cyrl_TJ,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,tg_Cyrl_TJ source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-exercise,exercise,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-exists,exists,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt; searched; OCR variants appear in broader text,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-exists,exists,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-for_all,for all,tg_Cyrl_TJ,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,tg_Cyrl_TJ source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-for_all,for all,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-formula,formula,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt; lines 100 and 139,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-formula,formula,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-identity,identity,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt; line 1765,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-identity,identity,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-if_and_only_if,if and only if,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt; line 278,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-if_and_only_if,if and only if,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-notation,notation,fa_IR,witnessed_indirect,Find exact noun/phrase witness or obtain reviewer decision for the indirect form.,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt; line 1211; compare fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt line 425,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-notation,notation,prs_AF,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,prs_AF source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-notation,notation,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,"tg_Cyrl_TJ/tg_cyrl_zarowadk_davlatov_choriev_algebra_number_theory_part1.pdftotext.txt; lines 199, 335, 2842 and related notation prose","generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-notation,notation,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-proposition,proposition,prs_AF,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,"prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt; searched; قضیه candidate is theorem-like, not proposition fill","generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-proposition,proposition,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt; lines 587 and theorem headings around 1458,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-proposition,proposition,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-relation,relation,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt; line 33; compare tnu_2017_conference_mater2017 line 65 general робита,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-relation,relation,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-respectively,respectively,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,"tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt; lines 649, 1348, 1565, 1977 and others","generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-respectively,respectively,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-statement,statement,fa_IR,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt; searched; گزاره and عبارت candidates overlap proposition/expression,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-statement,statement,prs_AF,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,"prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt; lines 156, 188, 260 show عبارت but not a settled statement label","generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-statement,statement,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt; line 587,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-statement,statement,ur,gap,Find a target-language source body or source archive with this exact concept in mathematical/proof context.,ur source package; searched current package / no responsible C2 fill witness found,"generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
C2-therefore,therefore,tg_Cyrl_TJ,source_discovery_non_promoted,Route Tajik/Urdu evidence through source-language review before any row promotion.,"tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt; lines 513, 523, 618, 1345, 1439, 1546","generated-draft/non-canonical; no native review, accepted terminology, gate promotion, license clearance, source certification, or completion claim"
