language,concept_id,concept,current_gap,searched_or_adverse_source,next_action,boundary
prs_AF,C2-prime_ideal,prime ideal,Do not use استلزام اول for prime ideal.,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,Find independent Dari/Persian Afghanistan source body; do not use ps_AF Pashto or fa_IR evidence.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
tg_Cyrl_TJ,C2-prime_ideal,prime ideal,Tajik remains zero-promoted-row; no prime-ideal term promoted.,tg_Cyrl_TJ source package,Continue Tajik Cyrillic source discovery; route witness for source-language review before row promotion.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
fa_IR,C2-elementary_divisor,elementary divisor,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.,fa_IR source package,Find stronger fa_IR source body or exact-context source locator.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
prs_AF,C2-elementary_divisor,elementary divisor,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.,prs_AF source package,Find independent Dari/Persian Afghanistan source body; do not use ps_AF Pashto or fa_IR evidence.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
tg_Cyrl_TJ,C2-elementary_divisor,elementary divisor,No source-pinned elementary-divisor term in this Persianate/Tajik/Urdu shelf.,tg_Cyrl_TJ source package,Continue Tajik Cyrillic source discovery; route witness for source-language review before row promotion.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
fa_IR,C2-resultant,resultant,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.,fa_IR source package,Find stronger fa_IR source body or exact-context source locator.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
prs_AF,C2-resultant,resultant,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.,prs_AF source package,Find independent Dari/Persian Afghanistan source body; do not use ps_AF Pashto or fa_IR evidence.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
tg_Cyrl_TJ,C2-resultant,resultant,No source-pinned resultant term in this Persianate/Tajik/Urdu shelf.,tg_Cyrl_TJ source package,Continue Tajik Cyrillic source discovery; route witness for source-language review before row promotion.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
tg_Cyrl_TJ,C2-exercise,exercise,No exact Tajik exercise term pinned in current math body; do not infer from independent-work phrases.,tg_Cyrl_TJ source package,Continue Tajik Cyrillic source discovery; route witness for source-language review before row promotion.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
tg_Cyrl_TJ,C2-for_all,for all,No clean Tajik барои ҳар proof-grammar anchor found in current shelf.,tg_Cyrl_TJ source package,Continue Tajik Cyrillic source discovery; route witness for source-language review before row promotion.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
prs_AF,C2-notation,notation,No exact Dari notation term pinned in current shelf.,prs_AF source package,Find independent Dari/Persian Afghanistan source body; do not use ps_AF Pashto or fa_IR evidence.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
prs_AF,C2-proposition,proposition,Need exact Dari proposition/گزاره source or reviewer decision.,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,Find independent Dari/Persian Afghanistan source body; do not use ps_AF Pashto or fa_IR evidence.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
fa_IR,C2-statement,statement,Need reviewer/source decision for statement vs proposition/expression.,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,Find stronger fa_IR source body or exact-context source locator.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
prs_AF,C2-statement,statement,Candidate not enough for C2 witnessed fill.,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,Find independent Dari/Persian Afghanistan source body; do not use ps_AF Pashto or fa_IR evidence.,"generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, gate promotion, source certification, final status, or translation completion claim"
