packet_id,language,concept_id,concept,draft_form,source_document,source_locator,source_use_label,confidence,register_alternatives,formula_neighboring_note,interlinear_scaffold,source_boundary,status
PTR-PRE-fa_IR-C2-prime_ideal,fa_IR,C2-prime_ideal,prime ideal,ایده‌آل اول,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,line 2965; compare fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt lines 998-1000 and 1053-1057,source-witness-pdf-with-ocr-locator,0.75,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,[prime ideal] ایده‌آل اول,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-assumption,fa_IR,C2-assumption,assumption,فرض,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 589, 620, 647 and nearby proof contexts",source-witness-pdf-with-ocr-locator,0.70,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,فرض-بند: فرض [A]؛ سپس [B].,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-conversely,fa_IR,C2-conversely,conversely,برعکس / به عکس,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,lines 2794 and 2948,source-witness-pdf-with-ocr-locator,0.65,برعکس / به عکس,Use as proof-prose connector only where source context supports it.,برگشت: برعکس / به عکس، اگر [B] آنگاه [A].,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-equation,fa_IR,C2-equation,equation,معادله,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 904-905 and 1382,source-witness-pdf-with-ocr-locator,0.75,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",فرمول-همسایه: معادله (1) را با نماد لاتین/LTR جدا نگه دار.,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-exercise,fa_IR,C2-exercise,exercise,تمرین,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,line 853,source-witness-pdf-with-ocr-locator,0.65,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,[exercise] تمرین,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-exists,fa_IR,C2-exists,exists,وجود دارد,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,lines 719 and 745,source-witness-pdf-with-ocr-locator,0.70,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",سور وجودی: x وجود دارد چنان‌که [P(x)].,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-for_all,fa_IR,C2-for_all,for all,برای هر,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,lines 745-746 and 780,source-witness-pdf-with-ocr-locator,0.70,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",سور کلی: برای هر x ∈ X، [P(x)].,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-formula,fa_IR,C2-formula,formula,فرمول,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 907 and 1079,source-witness-pdf-with-ocr-locator,0.75,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",فرمول-همسایه: فرمول \( f(x)=0 \)؛ نشانه‌گذاری LTR در math mode بماند.,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-identity,fa_IR,C2-identity,identity,همانی,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 745-746 plus index hits 3059, 3777, 3920",source-witness-pdf-with-ocr-locator,0.70,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,[identity] همانی,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-if_and_only_if,fa_IR,C2-if_and_only_if,if and only if,اگر و تنها اگر,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 779, 884, 1412, 2853, 2906",source-witness-pdf-with-ocr-locator,0.75,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",دوطرفه: [A] اگر و تنها اگر [B].,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-proposition,fa_IR,C2-proposition,proposition,گزاره,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 427, 643, 647, 776, 804, 843 and many others",source-witness-pdf-with-ocr-locator,0.75,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,[proposition] گزاره,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
