row_id,language,concept,classification,generated_draft_rendering,source_context_citation,source_use_label,term_register_alternatives,formula_neighboring_note,branch_gap_note,boundary
term-fa-ir-0001,fa_IR,algebra,source-gated-draft-ready,جبر,FA-IUT-ALG; FA-KNTU-ALG; FA-SHAHROOD-NC; FA-TEX-LA,source-witness-pdf-with-ocr-locator / adjacent TeX source-format evidence,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,Use ساختار جبری only when the source means algebraic structure; generated draft only.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0002,fa_IR,field,source-gated-draft-ready,میدان,FA-IUT-GAL; FA-IUT-ALG; FA-KNTU-ALG,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Algebraic-field sense must be explicit; current Dari row is not authorized by fa_IR.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0003,fa_IR,Artinian,source-gated-draft-ready,آرتینی,FA-PNU-RM; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,Adjective/ezafe behavior needs review.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0004,fa_IR,submodule,source-gated-draft-ready,زیرمدول,FA-IUT-ALG; FA-PNU-RM; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Spacing variant زیر مدول remains style/review issue.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0005,fa_IR,tensor product,source-gated-draft-ready,ضرب تانسوری,FA-IUT-ALG; FA-TEX-LA adjacent,source-witness-pdf-with-ocr-locator / adjacent TeX source-format evidence,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,Alternative حاصل‌ضرب تانسوری remains register review.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0006,fa_IR,module,source-gated-draft-ready,مدول,FA-IUT-ALG; FA-PNU-RM; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,RTL normalization and R-module phrasing require review.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0007,fa_IR,free module,source-gated-draft-ready,مدول آزاد,FA-IUT-ALG; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Use over-R phrasing only when context supplies the ring.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0008,fa_IR,right module,source-gated-draft-ready,مدول راست,FA-IUT-ALG; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Noncommutative left/right order must be preserved.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0009,fa_IR,left module,source-gated-draft-ready,مدول چپ,FA-IUT-ALG; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Do not infer from right-module row alone.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0010,fa_IR,automorphism,source-gated-draft-ready,خودریختی,FA-SHAHROOD-NC; FA-KNTU-ALG,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,Compare اتومورفیسم only as reviewer alternative.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
