"recheck_id","source_label","path_or_ref","sha256_or_commit","status","key_findings","r3_action","checked_utc"
"R3-RECHECK-001","GitHub instruction bus: AGENTS.md","origin/codex/noether-pc-20260629:AGENTS.md copied to C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_PROGRAM_ALIGNMENT_20260704T201340Z\AGENTS_20260704T201340Z.md","6FD4D660C40D0A17FBA6B65736CF8493DD99B96ACD8E23FC3EB077D1F183EB7B","read_from_branch","Source canon before translation; generated translations and glossaries are not source canon; language lanes do not push.","Normalize R3 witness rows to source-canon fields and avoid translation/glossary/approval claims.","20260704T201340Z"
"R3-RECHECK-002","GitHub instruction bus: .github/copilot-instructions.md","origin/codex/noether-pc-20260629:.github/copilot-instructions.md copied to C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_PROGRAM_ALIGNMENT_20260704T201340Z\copilot-instructions_20260704T201340Z.md","9EABDB65018E81E9E367BCCD81A3F3F0ABC6599CE4993AB31926A6F506F88DDC","read_from_branch","Requires AGENTS, parent ledger, steering record, B3 steward log, source-canon shelves, relevant lane outputs, and branch/frontier checks.","This artifact records each of those checks and stays unpacked for B3.","20260704T201340Z"
"R3-RECHECK-003","Parent consolidation ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","45DE371E2F933ECAEFB9726ADE04B52FDE1D20E217129067544707F7B21F72AB","read_local","Parent ledger is authoritative historical context; current work is source-canon-first and language lanes do not push.","Treat prior translation-completion language as superseded by source-canon steering.","20260704T201340Z"
"R3-RECHECK-004","Source-canon-first steering record","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","read_local","Defines required witness table fields and forbids native/canonical/license/gate/completion claims.","Emit exact required columns in the normalized R3 table.","20260704T201340Z"
"R3-RECHECK-005","B3 steward log","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md","D90B72C21DB212355FBACEFB51C9A965C4DC0145E869FAB54B39C77F533E7C0D","read_local","B3 owns staging, packaging, pushing, and PR verification; current frontier includes instruction-bus commit 6f756fc.","R3 emits unpacked sidecars only; no Git push or package claim.","20260704T201340Z"
"R3-RECHECK-006","Arabic RTL source-canon witness table","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","A07413989A6192AB2320CF614838F800E64C74D7EACDD9D2A98E99C732DCADE1","read_local","Rows checked: 13; direct Arabic algebra/ring witness rows: 2; includes stronger algebra/ring PDFs than R3 adjacent linear-algebra-only witnesses.","Route Arabic R3 rows to Arabic RTL only as source-canon support; no term approval or completion claim.","20260704T201340Z"
"R3-RECHECK-007","Persianate/Tajik source-canon witness table","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","C75EF869F9AF82C920975A4F0F3FB80C362178E8055C40E7EA007A6DDC7B14BB","read_local","Rows checked: 12; fa_IR=5; prs_AF=3; tg=4; table explicitly separates Farsi, Dari, and Tajik.","Align R3 Persian/Farsi, Dari, and Tajik rows to separate gates; fa_IR evidence cannot authorize prs_AF/tg/Urdu/Hindustani/Pan-Turkic.","20260704T201340Z"
"R3-RECHECK-008","R2 Pan-Turkic source-canon register","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv","DB1666F6614B4CB322883F947943E268AFDE91D0416000A93864B94EEA194F88","read_local","Rows checked: 61; TeX/arXiv/source-package mentions counted for context: 46; Pan-Turkic rows remain separate and cannot inherit Arabic/Persianate evidence.","Keep R3 Pan-Turkic impact at no-inheritance boundary only.","20260704T201340Z"
"R3-RECHECK-009","Interlanguage source-canon priority-one ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\NOETHER_SOURCE_CANON_PRIORITY_ONE_LEDGER_20260704T164040Z.json","644B17289F7C1204ED16A594A4ED8DC2153104BEA16438A44F3E7227A96DC0DA","read_local","Rows checked: 17; relevant Session F/Pan-Turkic controls found: 3; priority rule places source canon before method output.","Use global priority and no-go boundaries in every R3 normalized row.","20260704T201340Z"
"R3-RECHECK-010","R3 current witness layer","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\R3_SOURCE_CANON_WITNESS_LEDGER_20260704T164132Z.csv","96C35093D97C49ACE5A2363ED854BD261F608E244ABB2CFD56ABFD388C1CD938","read_local","Rows normalized: 22; source-level rows: 3; fallback rows: 16; gap/blocker rows: 4.","Preserve R3 witness layer as evidence; add required source-canon field names for B3 consumption.","20260704T201340Z"
