language	page	predecessor_page	disposition	raster_sha256	width	height	text_sha256	text_characters
EN	1	1	PREDECESSOR_EXACT_RASTER_AND_TEXT	60FBC2F9BB036BF716DC69CF303189C7080278CB2F4D14B7F85AE87B990DEF2D	596	842	F67C92404E99D364DB477BE887FD0204A5FE8000BC46B29C9AD9482F590EBA68	79
EN	2	2	CONTENTS_UPDATED	CB15AA61D82B1FA492601EC8B0D9736409919728E303001B85BEBCC4A0E0B9BE	596	842	DF63C4B18B6CC5251178D963D48D4F808A72BA4279DC8C1C32407F60E2A2F078	4147
EN	3	3	PREDECESSOR_EXACT_RASTER_AND_TEXT	94AE0F82F2F2186044483D143BB6FFA49AF77B3B60FD25728ACDDD90E555F266	596	842	265CD622909DACFFE14FE7130E0089AE537F1E69BD320B60248B8D49F61B3F57	1584
EN	4	4	PREDECESSOR_EXACT_RASTER_AND_TEXT	001A64F851F696D4144193BBD951A5894741E6279BE61423B2FE0CD47A9450F8	596	842	C49DD9AF0A2442FAE526BF73B90709711E0A890E42141C9FE29A265ACB5D00CA	2754
EN	5	5	PREDECESSOR_EXACT_RASTER_AND_TEXT	F0D7B0E28FA4DDE5471A48B5D239565CD52130821287DA0D432769CD048C9E24	596	842	72AFD942CE768E158DD65B7A692752652A7E435E6612139C8197A22B711BEAEF	2026
EN	6	6	PREDECESSOR_EXACT_RASTER_AND_TEXT	E3AC6F0F8B014099D2AF6AA9DA97E86677BC115EEC2C60983CD230D348B35D37	596	842	D45FEC933F2085E32F490E871281D93B665B948C0575946AB1F27B0FD80F2FD3	336
EN	7	7	PREDECESSOR_EXACT_RASTER_AND_TEXT	002BA1E22C1F448A0B21043F35F81737329386AFF56B645FB5C83694CED524B1	596	842	E7002F1AB8725DB9B043E403C687BCB24CBF7AF7846E314D070D3639356DA889	1909
EN	8	8	PREDECESSOR_EXACT_RASTER_AND_TEXT	98234343CB7390C3DC7FF7ACE7D89B2E9D4AB3F9DA9C4DD76009A23DE94EB7BC	596	842	BF598398A449D55F4F52FD26DC53BA8D78ACC7686D546A61E0C28D5CEEECC006	2355
EN	9	9	PREDECESSOR_EXACT_RASTER_AND_TEXT	312899BF44E751338F293BDCE5B706C12A09BA722F7A78F863A29FEAF23A4AE1	596	842	9625EE35B6E3621B116AB022C5EDD28A6DC6BC3D0B5B140B0D429909215A9AD7	2295
EN	10	10	PREDECESSOR_EXACT_RASTER_AND_TEXT	12C11EB0507F966C232BA6F42A4CA290391730435A1DEDAC1C396799DD906881	596	842	84F65388FF3BE793E5A27D094CA9BD95AC238EC8B77E7DECFC5067B7E4F9A91D	1623
EN	11	11	PREDECESSOR_EXACT_RASTER_AND_TEXT	ED2A13DCD0A99A21A49603431E90099D7692E53D9F92A9BC80BFB6B39C1486F2	596	842	B4E05C452CFF42A4188B6855BC1035722AFB141ECEFCCFE79D362D03B40A1CDD	1667
