language	work	first	last	pages	source_path	source_sha256
EN	D001	3	6	4	works/D001_EN.pdf	FBBB612292DC9F3C94B8A4D5B984B593127C1E3E4959EBE936FA243FD5A394BD
EN	D002	7	18	12	works/D002_EN.pdf	BDE6B832859555994F889C0CFDA7642B8D6848A1D4907503B6A52B3A0C3E2C71
EN	D003	19	34	16	works/D003_EN.pdf	90E0C6C7B1D6F856497220E3460D5D647C7C84F41DF9F7D69D015844583EFA8C
EN	D004	35	39	5	works/D004_EN.pdf	453EB5C7C31853D2D57F22AB865648E82A626737CC82457C1BA0055F8AABD6B8
EN	D005	40	65	26	works/D005_EN.pdf	742209A289091657EA028F87ABCB916BA5CB1FEB65438036236EB34D1B4BAF0B
EN	D006	66	84	19	works/D006_EN.pdf	D18ADCCD678EE8524D5F6AA4EC6E841F1A44662B2D67695127521FAE1E74B9FA
EN	D007	85	97	13	works/D007_EN.pdf	950D53201413C1C88958E442DAB161E255A45B0CE317D31E8F290186206D4997
EN	D008	98	115	18	works/D008_EN.pdf	77CE316A7B9A27680C21B620050F1AB48E56C41E16D6845DCCA5E1CDB28E4597
EN	D009	116	120	5	works/D009_EN.pdf	678E89CA796E3451A86114968E351BFB5B077F29C51A9DE2FEAE1F478AD83E48
EN	D010	121	162	42	works/D010_EN.pdf	FE5E26BD43ACCCA9662E505E61E9CFF5DE6F112424148ABC2351C09B24C6670A
EN	D011	163	165	3	works/D011_EN.pdf	986F654023E6E892712F6A3CF7B889893C21F6391F91E68E76A3EAFE65285AD5
EN	D012	166	186	21	works/D012_EN.pdf	E29BEBEA244D4CE8BF5EEED5FDD3F0C59CF0F55D3496FF9BE24FAF7040AD3083
EN	D013	187	200	14	works/D013_PUBLIC_SAFE/D013_EN.pdf	B5E47B03804F03DDB5987B30A142F8C2E3D5D94C482CD3CD72BB96AD76815D42
EN	D014	201	220	20	works/D014_EN.pdf	9A95BEE7B2FB995B55E0C02E2F43DB0DE999F5D145B4BA8A32E6D84B1BB9B546
EN	D015	221	227	7	works/D015_EN.pdf	607E3F0EB100655151CBB830632D6555587918007BB7B76E45CC7F22F33059A2
