decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-P2-SETUP-TERM-001,terminology,corrected_french_tex,SGA2-VIII-P2-SETUP-STRATEGY,désormais,French2733,opening strategy,henceforth,formal_register,none,from now on,established mathematical register,applied_self_reviewed,high,1,French line2751,register revision
SGA2-VIII-P2-SETUP-TERM-002,terminology,corrected_french_tex,SGA2-VIII-P2-SETUP-STRATEGY,de type fini,French2733,module hypothesis,finitely generated,module_register,none,of finite type,standard English for modules,applied_self_reviewed,high,1,French line2751,SGA-wide terminology revision
SGA2-VIII-P2-SETUP-TERM-003,register,corrected_french_tex,SGA2-VIII-P2-SETUP-STRATEGY,numéro précédent,French2733,strategy paragraph,preceding subsection,structural_register,minor expansion,preceding number,avoids a French structural calque while preserving the reference,applied_self_reviewed,medium,1,French line2751,cumulative structure review
SGA2-VIII-P2-SETUP-TERM-004,terminology,corrected_french_tex,SGA2-VIII-P2-SETUP-DUAL,foncteur dualisant,French2735,local-duality setup,dualizing functor,duality_register,none,duality functor,shared SGA2 IV-V usage,applied_self_reviewed,high,1,French line2751,SGA-wide terminology revision
SGA2-VIII-P2-SETUP-TERM-005,terminology,corrected_french_tex,SGA2-VIII-P2-SETUP-NOTE4,être nul,French2743,vanishing note,vanishes,module_register,none,is zero,idiomatic in cohomological prose while preserving biconditional,applied_self_reviewed,high,1,French line2751,register revision
SGA2-VIII-P2-SETUP-TERM-006,notation,corrected_french_tex,SGA2-VIII-P2-SETUP-SSETS,support and closures,French2744-2749,equation2.4,Supp S-prime-q and overline S-prime-q,source_notation_preservation,none,spell out support or close S-q,preserve exact symbols and prime placement,applied_self_reviewed,high,1,French line2751,notation revision
SGA2-VIII-P2-SETUP-TERM-007,orthography,corrected_french_tex,SGA2-VIII-P2-SETUP,Noetherian,French2733-2740,prose,Noetherian,US_mathematical_spelling,none,noetherian,proper name capitalization follows current SGA2 usage,applied_self_reviewed,high,1,French line2751,SGA-wide spelling revision
SGA2-VIII-P2-SETUP-TERM-008,comparison_disposition,comparison_only_not_authority,SGA2-VIII-P2-SETUP-CAND,jcreinhold lines360-400,current candidate,comparison controls only,retain comparison-only status,candidate_adverse_control,candidate uses code-block math and same LLM lineage,promote candidate wording or formulas,all accepted content is rederived from French authority,recorded_not_promoted,high,1,French line2751,candidate revision
SGA2-VIII-P2-SETUP-TERM-009,extraction_safety,production_target,SGA2-VIII-P2-SETUP,large delimiter commands,target PDF extracted text,equations2.2 and2.3,ordinary parentheses,machine_readability,initial extraction emitted U+0001 after each large delimiter group,retain bigl and bigr commands,preserves mathematics while removing forbidden searchable-text controls,applied_self_reviewed,high,1,French line2751,font or TeX-engine change
SGA2-VIII-P2-SETUP-TERM-010,notation_normalization,corrected_french_tex_plus_established_english_register,SGA2-VIII-P2-SETUP-SEXT,SheafExt macro renders underlined Ext,French2741 and2746,equations2.3 and2.4,calligraphic sheaf Ext,SGA2_English_sheaf_Ext_typography,typographic departure from the corrected French underlined Ext macro,underlined Ext,aligns with established SGA2 English units while retaining every degree base and argument,applied_self_reviewed_pending_independent_notation_review,high,1,French line2751,SGA-wide notation policy revision
SGA2-VIII-P2-SETUP-TERM-011,notation_normalization,corrected_french_tex_plus_established_english_register,SGA2-VIII-P2-SETUP,F and corrected Fa branch render plain F,French2733-2746,prose and formulas,calligraphic F,SGA2_English_sheaf_symbol_typography,typographic departure from the corrected French plain-F branch,plain F,aligns with established SGA2 English unit notation while preserving the same coherent sheaf,applied_self_reviewed_pending_independent_notation_review,high,1,French line2751,SGA-wide notation policy revision
