alignment_id,evidence_class,authority_role,unit_id,parent_id,source_tex_lines,original_printed_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,revisit_condition,record_revision
SGA2-VIII-P2-SETUP-ALIGN-001,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P2-SETUP,,2733-2750,91-92,80-81,72-73,complete bounded target,complete,include strategy and local-duality setup through equation2.4 then stop,self_gated_production_pending_independent_review,high,none,extend into equivalence argument at2751,OUTBOUND:SGA2-VIII-P2-EQUIV,French line2751,independent source review,1
SGA2-VIII-P2-SETUP-ALIGN-002,source_structure,corrected_french_tex,SGA2-VIII-P2-SETUP-STRATEGY,SGA2-VIII-P2-SETUP,2733,91,80,72,opening strategy paragraph,complete,preserve implication graph among a b c d and roman conditions,self_reviewed_source_pass,high,none,simplify or reorder implication graph,SGA2-VIII-P2-SETUP-DUAL,French line2751,independent logic review,1
SGA2-VIII-P2-SETUP-ALIGN-003,formula_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P2-SETUP-DUAL,SGA2-VIII-P2-SETUP,2735-2736,91,80,72,local-duality display,complete,preserve D H exponent and Ext degree base ring arguments,self_reviewed_formula_pass,high,none,drop c-x shift or replace sheaf stalk by global module,SGA2-VIII-P2-SETUP-DX,French line2751,independent formula review,1
SGA2-VIII-P2-SETUP-ALIGN-004,formula_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P2-SETUP-DX,SGA2-VIII-P2-SETUP,2737-2739,91,80,72,equation2.2,complete,preserve both definitions of d-x and ordered codimension pair,self_reviewed_formula_pass,high,none,reverse codimension arguments or omit c-x,SGA2-VIII-P2-SETUP-SEXT,French line2751,independent formula review,1
SGA2-VIII-P2-SETUP-ALIGN-005,formula_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P2-SETUP-SEXT,SGA2-VIII-P2-SETUP,2740-2742,91,80,72,equation2.3,complete,preserve coherent sheaf Ext stalk identity and degree,self_reviewed_formula_pass,high,none,render sheaf Ext as ordinary Ext without stalk,SGA2-VIII-P2-SETUP-SSETS,French line2751,independent sheaf-Ext review,1
SGA2-VIII-P2-SETUP-ALIGN-006,source_note,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P2-SETUP-NOTE4,SGA2-VIII-P2-SETUP,2743,91-92,80-81,72-73,editor note cross-reference,complete,retain vanishing iff dual vanishing and editor note4 page54,self_reviewed_note_pass,high,printed marker92 occurs on this line,omit note or treat line break as logical boundary,SGA2-VIII-P2-SETUP-PAGE,French line2751,independent note review,1
SGA2-VIII-P2-SETUP-ALIGN-007,formula_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P2-SETUP-SSETS,SGA2-VIII-P2-SETUP,2743-2750,92,81,73,equation2.4,complete,preserve definitions S-q S-prime-q Z-q support closure intersection and U equals X-minus-Y,self_reviewed_formula_pass,high,none,drop prime or close S-q instead of S-prime-q,SGA2-VIII-P2-SETUP-BOUND,French line2751,independent formula review,1
SGA2-VIII-P2-SETUP-ALIGN-008,page_coordinate_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P2-SETUP-PAGE,SGA2-VIII-P2-SETUP,2733-2750,91-92,80-81,72-73,authority box and source renders,complete,keep printed physical and running pages distinct,self_reviewed_page_mapping_pass,high,printed marker92 at2743 before equation2.4,collapse page systems,SGA2-VIII-P2-SETUP-NOTE4;SGA2-VIII-P2-SETUP-BOUND,French line2751,source repagination,1
SGA2-VIII-P2-SETUP-ALIGN-009,comparison_control,comparison_only_not_authority,SGA2-VIII-P2-SETUP-CAND,SGA2-VIII-P2-SETUP,jcreinhold360-400 compared with French2733-2750,91-92,80-81,72-73,comparison ledger,complete_comparison_only,accept no wording or formula without direct French check,comparison_audited_not_promoted,high,candidate uses code-block math and cannot corroborate its own LLM lineage,promote candidate as independent English authority,COMPARISON:jcreinhold_e7a259f,French line2751,candidate revision,1
SGA2-VIII-P2-SETUP-ALIGN-010,boundary_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P2-SETUP-BOUND,SGA2-VIII-P2-SETUP,2750-2751,92,81,73,outbound cursor,complete,stop after equation2.4 and before equivalence argument beginning2751,self_reviewed_boundary_pass,high,physical81 continues beyond boundary,extend because source shares a page,OUTBOUND:SGA2-VIII-P2-EQUIV,French line2751,next-unit integration,1
