paper,span,source_pages,visual_item,status
D079,p041_055,41,quotient pushout square G/F,rebuilt TeX
D079,p041_055,42,Proposition 35 lifting/pushout diagrams (35.1),rebuilt TeX
D079,p041_055,43,cocartesian square (35.2) and filtration displays,rebuilt TeX
D079,p041_055,44,"Proposition 36 pushout/pullback diagrams (36.1),(36.2)",rebuilt TeX
D079,p041_055,45,Proposition 37 pushout/pullback square and smash-product display,rebuilt TeX
D079,p041_055,46-47,upper distinguished square and Theorem 6/Proposition 42 squares,rebuilt TeX
D079,p041_055,50,Proposition 45 square and displayed functor (45.1),rebuilt TeX
D079,p041_055,52,pushout square (45.2) and cartesian/cocartesian square (45.3),rebuilt TeX
D079,p041_055,53-54,square (45.4) and componentwise lifting displays,rebuilt TeX
D079,p041_055,54,smash-variant non-empty pullback diagram,rebuilt TeX
D079,p041_055,55,Lemma 20 smash display and final A1-homotopy display,rebuilt TeX
D079,p041_055,41-55,non-mathematical figures/illustrations,none detected
