adjudication_id,hit_id,input_id,volume,pdf_path,pdf_page,phrase,context,classification,reader_action,rationale,evidence_basis,status
SGA-SURFACE-ADJ-R3-0001,SGA-SURFACE-HIT-0001,SGA-SURFACE-IN-002,SGA2,archive_staging_imports_r1/00b_SGA2_English_Reader.pdf,3,editorial note,"ls have also been supplied for some proofs. To avoid confusion, original notes retain star-based numbering, whereas new editorial notes use Arabic numbers. The page numbers of the original edition are shown in the margins. I thank the mathematicians who ",edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Published SGA2 reissue editor apparatus carried by the adopted edition,lead_adjudicated
SGA-SURFACE-ADJ-R3-0002,SGA-SURFACE-HIT-0002,SGA-SURFACE-IN-002,SGA2,archive_staging_imports_r1/00b_SGA2_English_Reader.pdf,23,editorial note,"ct to inclusion inAssM. Proposition 1.2.Letpbe a prime ideal ofA. The following assertions are equivalent: (i)p∈SuppM. 1Editorial note.The reissue of Serre’s text (J.-P. Serre,Algèbre locale. Multiplicités, course at the Collège de France, 1957–58, writt",edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Published SGA2 reissue editor apparatus carried by the adopted edition,lead_adjudicated
SGA-SURFACE-ADJ-R3-0003,SGA-SURFACE-HIT-0003,SGA-SURFACE-IN-003,SGA3,archive_staging_imports_r1/00c_SGA3_English_Reader.pdf,497,editorial note,ε×G D×G idG×G m 19The editors corrected “isomorphism” to “anti-isomorphism” and added assertion (ii); see the preceding editorial note.,edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Polo-Gille SGA3 re-edition editor apparatus carried by the adopted edition,lead_adjudicated
SGA-SURFACE-ADJ-R3-0004,SGA-SURFACE-HIT-0004,SGA-SURFACE-IN-003,SGA3,archive_staging_imports_r1/00c_SGA3_English_Reader.pdf,499,editorial note," the identity on G. Since ρ is a monomorphism, so is Lie(ρ) : Lie( G/S) − →Lie(AutS(G)/S) (see, for example, Exposé II, editorial note 50). Consequently Lie(ρ) : Lie( G) − →Lie(Aut G) is injective. On the other hand, by 1.5 the map β, which assigns to ev",edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Polo-Gille SGA3 re-edition editor apparatus carried by the adopted edition,lead_adjudicated
SGA-SURFACE-ADJ-R3-0005,SGA-SURFACE-HIT-0005,SGA-SURFACE-IN-003,SGA3,archive_staging_imports_r1/00c_SGA3_English_Reader.pdf,500,editorial note,"ram that the image of Lie(ρ)(x) under β is the composite deviation G ≃ S × G IS × G G × G G σ×G s×G G×x m which, by the editorial note to 2.2, is precisely G(σx) = ρ′(α(x)). Thus one obtains the commutative diagram Lie(G) Lie(Aut G) U (G) Dif G/S Lie(ρ) ",edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Polo-Gille SGA3 re-edition editor apparatus carried by the adopted edition,lead_adjudicated
SGA-SURFACE-ADJ-R3-0006,SGA-SURFACE-HIT-0006,SGA-SURFACE-IN-003,SGA3,archive_staging_imports_r1/00c_SGA3_English_Reader.pdf,623,editorial note," Ge p ε where ε is the identity section of Ge. Since p induces a bijection on the underlying sets, it follows (cf. 1.2, editorial note 41) that the underlying set of ker(p) is the image of Spf(k) under ε, and that, for every point s of Spf(k), the local ",edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Polo-Gille SGA3 re-edition editor apparatus carried by the adopted edition,lead_adjudicated
SGA-SURFACE-ADJ-R3-0007,SGA-SURFACE-HIT-0007,SGA-SURFACE-IN-003,SGA3,archive_staging_imports_r1/00c_SGA3_English_Reader.pdf,625,editorial note," and let ks be a separable closure of k. 102The groups αp,k, (Z/pZ)k, and Gλ are also ﬁnite ﬂat algebraic k-groups; see editorial note 84 in 2.2.2. 103The editors introduced the numbering 2.5.3 and 2.5.3.A– 2.5.3.C. 104This agrees with the “usual” notion",edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Polo-Gille SGA3 re-edition editor apparatus carried by the adopted edition,lead_adjudicated
SGA-SURFACE-ADJ-R3-0008,SGA-SURFACE-HIT-0008,SGA-SURFACE-IN-003,SGA3,archive_staging_imports_r1/00c_SGA3_English_Reader.pdf,635,editorial note,"ann M ≃ Endk(M ). 118The editors added this subsection to express Proposition 2.5.2, together with the variant noted in editorial note 100, in the language of cocommutative Hopf algebras.",edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Polo-Gille SGA3 re-edition editor apparatus carried by the adopted edition,lead_adjudicated
SGA-SURFACE-ADJ-R3-0009,SGA-SURFACE-HIT-0009,SGA-SURFACE-IN-003,SGA3,archive_staging_imports_r1/00c_SGA3_English_Reader.pdf,669,editorial note,"s also the following supplement. For every n, J n = AI n B is the image in A both of A ˆ⊗BI n B 151With the notation of editorial note 149, this implies that the formal completion of G/H along the unit section, whose aﬃne algebra is ∏ n Bn, is isomorphic",edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Polo-Gille SGA3 re-edition editor apparatus carried by the adopted edition,lead_adjudicated
SGA-SURFACE-ADJ-R3-0010,SGA-SURFACE-HIT-0010,SGA-SURFACE-IN-003,SGA3,archive_staging_imports_r1/00c_SGA3_English_Reader.pdf,674,editorial note,": I 2 × S∞ × ˆ⨁ rSr I ω = ω′ ∞ × ω∞ φ η ×θ Here ˆ⨁ rSr is the direct sum of the Sr in PC(k), that is, (∏ r S† r )∗ (cf. editorial note (16) to 0.2.2), and θ : ˆ⨁ rSr − →ω∞ is induced by the maps Sr ∼− →ω′ r ↪− →ω∞. It follows that a suﬃcient condition (b",edition_intrinsic_editorial_matter,retain_in_reader,"Published editor/source-era apparatus belongs to the adopted edition; it is not archive workflow, source-status, QA, model, or correction-rationale prose written by this translation project.",Polo-Gille SGA3 re-edition editor apparatus carried by the adopted edition,lead_adjudicated
