token,count,files,old_classification,new_classification,recommended_action,note,existing_group_id,existing_lemma,dictionary_isv,dictionary_en,dictionary_pos,top_files
musi,10,4,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-morati (morati); match=exact_variant,reg-morati,morati,,,,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section02_Interslavic_v001.tex
izhodet,10,4,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group starting-point (izhodišče); match=head_match_izhod,starting-point,izhodišče,,,,translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex; translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex
asu,10,3,short_function_or_artifact,tex_or_short_artifact,exclude_or_stop,TeX/math residue or too short to classify as lexicon without context,,,,,,translations/paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section23_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section25_Interslavic_v001.tex
bhu,10,3,short_function_or_artifact,tex_or_short_artifact,exclude_or_stop,TeX/math residue or too short to classify as lexicon without context,,,,,,translations/paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section23_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section25_Interslavic_v001.tex
hensel,10,2,low_frequency_backlog,name_or_eponym,covered_by_eponym_or_bibliography_rule,Name/eponym; not ordinary lexicon item unless used as term modifier,,,,,,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/endmatter/postbibliography/source_fidelity/interslavic/v001/Noether_PostBibliography_SourceFidelity_Interslavic_v001.tex
dobyva,10,2,low_frequency_backlog,proof_register_candidate,insert_internal_register,Corpus proof/register word; internal insertion only pending linguistic review,,,dobyvatelj,conqueror,m.anim.,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section11_Interslavic_v001.tex
hsu,10,2,short_function_or_artifact,tex_or_short_artifact,exclude_or_stop,TeX/math residue or too short to classify as lexicon without context,,,,,,translations/paper02/interslavic/v001/Noether_Paper02_Section23_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section25_Interslavic_v001.tex
dt,10,2,short_function_or_artifact,tex_or_short_artifact,exclude_or_stop,TeX/math residue or too short to classify as lexicon without context,,,,,,translations/paper12/interslavic/v001/Noether_Paper12_Interslavic_v001.tex; translations/paper21/interslavic/v001/Noether_Paper21_Interslavic_v001.tex
silny,10,2,low_frequency_backlog,needs_context_review,context_review,No high-confidence classification from ledger/dictionary/root rules,,,,,,translations/paper30/section05/interslavic/v001/Noether_Paper30_Section05_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex
respektivno,10,2,low_frequency_backlog,proof_register_candidate,insert_internal_register,Corpus proof/register word; internal insertion only pending linguistic review,,,respekt,respect,m.sg.,translations/paper37/source_fidelity/interslavic/v001/Noether_Paper37_SourceFidelity_Interslavic_v001.tex; translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex
