source_id,rel_path,language,branch,bytes,sha256,text_chars,source_type,evidence_scope,lane_decision,use_category,use_boundary
belarusian_bnt_elementary_math,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/belarusian/belarusian_bnt_elementary_math.html,be,E,28916,52cc7e17a36743949dce632c15b98163b66acccae779e691eaa1f2d0e15b4344,3855,historical terminology dictionary,Belarusian mathematical terminology across arithmetic algebra geometry trigonometry analytic geometry and higher analysis; Slounik page states 898 articles and source basis from Inbelkult 1922,use as historical Belarusian terminology context only; not a current native-review return,anchor_control_candidate,row-context review required; no automatic term promotion
belarusian_rubelmatslovar_1993_algebra,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/belarusian/belarusian_rubelmatslovar_1993_algebra.html,be,E,32445,a6a6f32a98ad71aff1a44018b3feae33574a8792c9b7f86e09e297b8af293d7f,10477,mathematical dictionary OCR,Belarusian entries for abstract/commutative/differential/Hopf/Lie and other algebra terms; OCR source warns generated text may be imperfect,candidate Belarusian algebra-register control; verify against scan before any term mutation,anchor_control_candidate,row-context review required; no automatic term promotion
belarusian_rubelmatslovar_1993_ring,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/belarusian/belarusian_rubelmatslovar_1993_ring.html,be,E,32251,c0f91ed24e37994a669e09a7d53c7277dca773b8429623ddd49a3f54aa6f6ea3,8859,mathematical dictionary OCR,Belarusian ring-family vocabulary including ring division ring commutative ring topological ring endomorphism ring and related terms; OCR source warns generated text may be imperfect,candidate Belarusian ring-register control; verify against scan before any term mutation,anchor_control_candidate,row-context review required; no automatic term promotion
macedonian_im_pmf_textbook_catalog,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/macedonian/macedonian_im_pmf_textbook_catalog.html,mk,S,119432,f7a78f49fd6a97e6f62c03733e4764b0997ffaae0787778124347fce5f8e00ef,10090,university textbook catalog,Institute of Mathematics PMF/UKIM catalog lists algebra lecture books algebra problem collections algebraic n-ary structures linear algebra and mathematical lexicon items,Macedonian source-finding anchor; use for review routing not canonical authority,anchor_control_candidate,row-context review required; no automatic term promotion
macedonian_ukim_math_lexicon,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/macedonian/macedonian_ukim_math_lexicon.pdf,mk,S,11567506,9f7363ca7d612ce59065eef5609b7f6552f6eb143584cf61e7b48e69eef47ee7,2075240,mathematical lexicon/listed PDF,Catalog lists N. Celakoski V. Celakoska-Jordanova and E. Celakoska Matematicki leksikon UKIM Skopje 2021,candidate Macedonian lexicon control; access/inspect PDF before any term mutation,anchor_control_candidate,row-context review required; no automatic term promotion
sorbian_domowina_math_terminology_2008,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/sorbian_upper/sorbian_domowina_math_terminology_2008.pdf,hsb/dsb,W_S,4261931,11125b6782dac314229cf32a0171dd78dd6f38d42cce0ee7bd27f74db4942044,315423,bibliographic math-terminology control,"Domowina-Verlag literature list records Terminologija za predmjet matematika / Terminologie fuer das Fach Mathematik, Deutsch-Obersorbisch and Obersorbisch-Deutsch, 2008, 106 pages, ISBN 978-3-7420-1359-0",math-specific Sorbian control found bibliographically; inspect booklet before any Sorbian-dependent term mutation,anchor_control_candidate,row-context review required; no automatic term promotion
sorbian_dow_online,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/sorbian_upper/sorbian_dow_online.html,hsb/dsb,W_S,3196,e6579307b696f792b6c7cf8b4ced282a6be56495f7fcdbc4598a568487f704cf,1254,institutional dictionary,Sorbisches Institut page says DOW-online contains 36478 articles and 66151 German-word equivalents and is provided as an online Sorbian-language-practice resource,Sorbian lexical infrastructure only; not enough to close math-specific algebra control,anchor_control_candidate,row-context review required; no automatic term promotion
sorbian_institute_text_corpus_termmat_1996,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/sorbian_upper/sorbian_institute_text_corpus_termmat_1996.pdf,hsb/dsb,W_S,63162,9b444e52c8a7b2ffd05a85b41367cfb99cab1662245d71128b1520a9d1d96de3,36497,text-corpus source-list math terminology control,"Sorbian Institute Upper Sorbian text-corpus source list includes Termmat and records Terminologija za predmjet matematika, German-Upper Sorbian and Upper Sorbian-German, for elementary school, Budysin 1996",math-specific Sorbian source-list control found; inspect corpus/booklet text before any Sorbian-dependent term mutation,anchor_control_candidate,row-context review required; no automatic term promotion
sorbian_soblex_institute,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/sorbian_upper/sorbian_soblex_institute.html,hsb/dsb,W_S,82970,c92c80a3208579c3fa527e0fb6fbaac8a4dfde4cf91a2239478297a1e6427d03,4488,institutional lexicographic infrastructure,Sorbisches Institut records soblex expansion and says current Upper Sorbian dictionary lexicon is represented in the soblex database,Sorbian lexical infrastructure only; seek math-specific Sorbian text or native specialist before Sorbian-dependent term decisions,anchor_control_candidate,row-context review required; no automatic term promotion
sorbian_sorbib_kuskec_1996,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/sorbian_upper/sorbian_sorbib_kuskec_1996.pdf,hsb/dsb,W_S,15187,2064c5ededf6433bb495c27090121c0685c7152c963245bd9f5ba07a6ff7c91b,0,bibliographic math-terminology record,SorBib records the 1996 Budysin title as German-Upper Sorbian and Upper Sorbian-German mathematics terminology for elementary school with 96 pages,math-specific Sorbian bibliographic control confirmed; inspect booklet/corpus text or ask qualified reviewer before any Sorbian-dependent term mutation,anchor_control_candidate,row-context review required; no automatic term promotion
