entry_id,lemma,en,class,variant_count,variants,root_signatures,policy_class,recommendation,status
reg-znati,znati,known,knowledge_marker,5,poznana; poznano; poznany; znano; znati,pozna:3; znano:1; znat:1,dominant_lemma_with_variant_scatter,prefer lemma; keep minority variants as search aliases; review if variants are visible in final prose,proposal_only_needs_linguistic_review
step,korak,step (of a proof/algorithm),proof_grammar,5,korak; koraka; korakov; krokov; kroky,korak:3; kroko:1; krok:1,dominant_lemma_with_variant_scatter,prefer lemma; keep minority variants as search aliases; review if variants are visible in final prose,proposal_only_needs_linguistic_review
corresponds,sootvětstvovati,corresponds (to),proof_predicate,5,odgovara; odpovídá; sootvet; sootvęt; sootvět,sootv:3; odgov:1; odpov:1,dominant_lemma_with_variant_scatter,prefer lemma; keep minority variants as search aliases; review if variants are visible in final prose,proposal_only_needs_linguistic_review
reg-ležati,ležati,lies; belongs,set_membership_predicate,4,lezet; ležati; ležet; leži,lezet:2; lezat:1; lezi:1,dominant_lemma_with_variant_scatter,prefer lemma; keep minority variants as search aliases; review if variants are visible in final prose,proposal_only_needs_linguistic_review
reg-sostojati,sostojati,consists of,structure_predicate,4,sostaji; sostoj; sostojati; sostoji,sosto:2; sosta:1; sost:1,dominant_lemma_with_variant_scatter,prefer lemma; keep minority variants as search aliases; review if variants are visible in final prose,proposal_only_needs_linguistic_review
holds-is-valid,važi,holds / is valid,proof_grammar,4,platn; vazi; važi; važiti,vazi:2; platn:1; vazit:1,dominant_lemma_with_variant_scatter,prefer lemma; keep minority variants as search aliases; review if variants are visible in final prose,proposal_only_needs_linguistic_review
entirely,sovsěm,entirely; completely,discourse_adverb,4,popolno; sasvim; sovsem; sovsěm,sovs:2; popol:1; sasvi:1,dominant_lemma_with_variant_scatter,prefer lemma; keep minority variants as search aliases; review if variants are visible in final prose,proposal_only_needs_linguistic_review
carry-out,provesti / izvesti,carry out; perform (a construction/proof),proof_operation,4,izved; izvesti; proved; provesti,prove:2; izved:1; izve:1,dominant_lemma_with_variant_scatter,prefer lemma; keep minority variants as search aliases; review if variants are visible in final prose,proposal_only_needs_linguistic_review
reg-nastavati,nastavati,arises/comes about,sequence_predicate,7,nastaja; nastaje; nastal; nastalo; nastane; nastavaje; nastavati,nasta:7,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
reg-pokazati,pokazati,shows,proof_predicate,6,pokaz; pokazano; pokazati; pokazuje; pokazyva; pokaže,pokaz:6,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
reg-izčezati,izčezati,vanishes,vanishing_predicate,5,izcezn; izčezaje; izčezajut; izčezati; izčeznu,izcez:5,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
reg-vměsto,vměsto,instead of,discourse_connective,5,namesto; naměsto; vmesto; vměsto; vměstě,vmest:3; names:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
expresses,vyražati,expresses,proof_predicate,5,izraza; izraža; vyraza; vyraža; vyražen,vyraz:3; izraz:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
well-defined,jednoznačno oprěděljeny,well-defined / uniquely determined,proof_grammar,4,jednoznacn; jednoznačn; opredel; oprěděl,jedno:2; opred:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
reg-naležati,naležati,belongs; is contained/located,set_membership_predicate,4,nalez; nalež; naležati; naleži,nalez:4,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
consequence,poslědstvije,consequence,proof_grammar,4,posledic; posledstv; poslědic; poslědstv,posle:4,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
reg-pytanje,pytanje,question,discourse_noun,4,pytanja; pytanje; vprasanj; vprašanj,pytan:2; vpras:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
reg-rěšenje,rěšenje,solution,math_general,4,reseno; rěšena; rěšenje; rěšeno,resen:4,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
reg-sadržati,sadržati,contains,containment_predicate,4,obsahuje; sadržati; sadrže; sadrži,sadrz:3; obsah:1,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
assumption-noun,prědpoloženje,assumption; hypothesis,proof_grammar,4,predpoloz; predpostav; prědpolož; prědpostav,predp:4,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
contrary,protivno,conversely; to the contrary,proof_connective,4,proti; protiv; protivn; protivno,proti:3; prot:1,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
set-put,postaviti,set; put (we set …),proof_operation,4,poloz; polož; postavi; postavim,poloz:2; posta:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
as-said,rečeno,(as) said/stated,proof_reference,4,receno; rečen; rečeno; rěč,recen:3; rec:1,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
further-daljny,daljny,further; subsequent,proof_sequence,4,daljnj; daljny; dalsi; dalši,daljn:2; dals:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
transfer,prěnesti,transfer; carry over,proof_operation,4,prenes; prenos; prěnes; prěnos,prene:2; preno:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
form-shape,oblik,form; shape,math_general,4,oblici; oblik; oblika; obliku,oblik:3; oblic:1,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
curve,kriva,curve,math_general,4,kriva; krive; krivoj; krivyh,kriv:4,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
preceding,prědhodny,preceding; previous,proof_reference,4,predhodn; predydu; prědhodn; prědydu,predh:2; predy:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
assign,prirěditi,assign; associate to,proof_operation,4,prirad; prirađ; prired; prirěd,prira:2; prire:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
corollary-borrowed,korolar,corollary (borrowed form),proof_grammar,4,korolar; korolara; korolaru; korolarě,korol:4,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
image-obraz,obraz,image (of a map),curriculum_algebra,4,obraz; obraza; obrazov; obrazy,obraz:4,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
letter-symbol,bukva,letter (symbol),proof_grammar,4,bukva; bukvami; bukvoju; bukvy,bukv:4,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
pass-over,prějdti,pass over (to); proceed to,proof_sequence,4,prejd; prejti; prějd; prějti,prejd:2; prejt:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
generality,obščnost,generality,proof_grammar,4,obščnost; obscnost; obščejš; obscejs,obscn:2; obsce:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
beginning,početek,beginning; start,proof_reference,4,početk; pocetk; počat; pocat,pocet:2; pocat:2,inflectional_or_orthographic_cluster,keep lemma as citation form; variants are inflection/orthography surfaces; normalize only for search/indexing,proposal_only_needs_linguistic_review
reg-obći,obći,general — orthographic scatter obće/obču/vobče/voobče,discourse_adverb,12,najobcejs; najobčejš; obcego; obcu; obće; obći; občego; obču; vobce; vobče; voobce; voobče,najob:2; obceg:2; obcu:2; vobc:2; voobc:2; obce:1; obci:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
is-called,nazyvaje se,is called / is named,proof_grammar,10,naziva; nazva; nazyva; nazyvaje; nazyvajut; nazyvati; zove; zovemo; zovut; zvana,nazyv:4; naziv:1; nazv:1; zove:1; zovem:1; zovut:1; zvan:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
series-sequence-red,ręd,series / sequence (ręd),technical_general,10,red; redu; redy; ręd; ręda; rędami; rędov; rěda; rědov; rědu,red:2; redu:2; reda:2; redov:2; redy:1; redam:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
lemma-noun,lema,lemma,proof_grammar,9,lema; lemah; leme; lemi; lemoju; lemou; lemu; lemy; lemě,leme:2; lema:1; lemah:1; lemi:1; lemoj:1; lemo:1; lemu:1; lemy:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
