paper,lang,footnotes,tag_count,tags
P07,de,6,1,1
P07,en,6,1,1
P07,es,6,1,1
P07,ja,6,1,1
P08,de,5,5,1 2 3 4 5
P08,en,5,5,1 2 3 4 5
P08,es,5,5,1 2 3 4 5
P08,ja,5,5,1 2 3 4 5
P09,de,42,19,1 1 2 3 4 5 1 2 3 4 5 6 7 1 2 3 4 5 6
P09,en,42,19,1 1 2 3 4 5 1 2 3 4 5 6 7 1 2 3 4 5 6
P09,es,42,19,1 1 2 3 4 5 1 2 3 4 5 6 7 1 2 3 4 5 6
P09,ja,42,19,1 1 2 3 4 5 1 2 3 4 5 6 7 1 2 3 4 5 6
P10,de,16,0,
P10,en,16,0,
P10,es,16,0,
P10,ja,16,0,
P11,de,15,12,1 2 3 4 5 6 7 8 9 10 11 12
P11,en,15,12,1 2 3 4 5 6 7 8 9 10 11 12
P11,es,15,12,1 2 3 4 5 6 7 8 9 10 11 12
P11,ja,15,12,1 2 3 4 5 6 7 8 9 10 11 12
P12,de,2,14,1 2 3 4 5 6 7 8 9 10 11 12 13 14
P12,en,2,14,1 2 3 4 5 6 7 8 9 10 11 12 13 14
P12,es,2,14,1 2 3 4 5 6 7 8 9 10 11 12 13 14
P12,ja,2,14,1 2 3 4 5 6 7 8 9 10 11 12 13 14
