unit_id,order,unit_type,source_locator,target_locator,title_or_function,dependencies,source_status,target_status,review_state,confidence,ambiguity
NOE-P37-U000,0,article,P31 lines 18613-18799; source lines 1-187,Hans lines 29-214,Paper 37 complete logical article,,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U001,1,metadata,P31 lines 18613-18617; source lines 1-5,Hans lines 29-33,title and journal citation,,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U002,2,author,P31 lines 18619-18621; source lines 7-9,Hans lines 35-37,author and Göttingen byline,NOE-P37-U001,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U003,3,opening,P31 lines 18623-18631; source lines 11-19,Hans lines 39-48,opening argument and announced normal-basis result,NOE-P37-U002,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-N001,3.1,footnote,P31 line 18623; source line 11,Hans line 39,Speiser necessary-condition citation,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-N002,3.2,footnote,P31 line 18627; source line 15,Hans line 43,Artin conductor citation,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-N003,3.3,footnote,P31 line 18627; source line 15,Hans lines 43-44,dated Deuring nonmaximal-order example,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,target footnote occupies two physical lines; four source multiplication products restored
NOE-P37-N004,3.4,footnote,P31 line 18629; source line 17,Hans line 46,Hasse maximal-order citation and localization qualification,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-S001,10,subsection,P31 lines 18633-18655; source lines 21-43,Hans lines 50-72,§1 p-adically extended integral group ring,NOE-P37-U003,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U010,10.1,subsection_opening,P31 lines 18635-18637; source lines 23-25,Hans lines 52-54,§1 notation and semisimplicity setup,,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U011,11,theorem,P31 lines 18639-18650; source lines 27-38,Hans lines 56-67,Theorem 1 maximality criterion,NOE-P37-U010,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-N005,11.1,footnote,P31 line 18642; source line 30,Hans line 59,Noether 1929 group-ring discriminant citation,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-E001,11.2,display,P31 lines 18645-18649; source lines 33-37,Hans lines 62-66,trivial-representation order extension and unindexed group sum,,sealed_p31_exact,complete,display_semantic_signature_checked,high,source unindexed sum retained exactly
NOE-P37-U012,12,theorem,P31 lines 18652-18655; source lines 40-43,Hans lines 69-72,Theorem 2 principal ideals in the maximal order,NOE-P37-U011,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-N006,12.1,footnote,P31 line 18655; source line 43,Hans line 72,Hasse principal-ideal extension to semisimple systems,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-S002,20,subsection,P31 lines 18657-18707; source lines 45-95,Hans lines 74-124,§2 Galois modules operator isomorphism and normal bases,NOE-P37-S001,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U020,20.1,subsection_opening,P31 lines 18659-18663; source lines 47-51,Hans lines 76-80,§2 Galois action as group-algebra module,,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-E002,20.2,display,P31 lines 18660-18663; source lines 48-51,Hans lines 77-80,group-algebra action formula,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
