structural_id,parent_id,order,unit_type,source_locator,target_locator,title,dependencies,completion_state,review_state,publication_state,boundary_confidence,ambiguity
NOE-P37-ZH-U000,,0,article,P31 lines 18613-18799; source lines 1-187,Hans lines 29-214,Paper 37 complete logical article,,complete,mapped_and_automated_parity_checked,handoff_ready,high,
NOE-P37-ZH-U001,NOE-P37-ZH-U000,1,metadata,P31 lines 18613-18617; source lines 1-5,Hans lines 29-33,title and journal citation,,complete,mapped_and_automated_parity_checked,handoff_ready,high,
NOE-P37-ZH-U002,NOE-P37-ZH-U000,2,author,P31 lines 18619-18621; source lines 7-9,Hans lines 35-37,author and Göttingen byline,NOE-P37-ZH-U001,complete,mapped_and_automated_parity_checked,handoff_ready,high,
NOE-P37-ZH-U003,NOE-P37-ZH-U000,3,opening,P31 lines 18623-18631; source lines 11-19,Hans lines 39-48,opening argument and announced normal-basis result,NOE-P37-ZH-U002,complete,mapped_and_automated_parity_checked,handoff_ready,high,
NOE-P37-ZH-N001,NOE-P37-ZH-U003,3.1,footnote,P31 line 18623; source line 11,Hans line 39,Speiser necessary-condition citation,,complete,footnote_locus_and_text_checked,handoff_ready,high,
NOE-P37-ZH-N002,NOE-P37-ZH-U003,3.2,footnote,P31 line 18627; source line 15,Hans line 43,Artin conductor citation,,complete,footnote_locus_and_text_checked,handoff_ready,high,
NOE-P37-ZH-N003,NOE-P37-ZH-U003,3.3,footnote,P31 line 18627; source line 15,Hans lines 43-44,dated Deuring nonmaximal-order example,,complete,footnote_locus_and_text_checked,handoff_ready,high,target footnote occupies two physical lines; four source multiplication products restored
NOE-P37-ZH-N004,NOE-P37-ZH-U003,3.4,footnote,P31 line 18629; source line 17,Hans line 46,Hasse maximal-order citation and localization qualification,,complete,footnote_locus_and_text_checked,handoff_ready,high,
NOE-P37-ZH-S001,NOE-P37-ZH-U000,10,subsection,P31 lines 18633-18655; source lines 21-43,Hans lines 50-72,§1 p-adically extended integral group ring,NOE-P37-ZH-U003,complete,mapped_and_automated_parity_checked,handoff_ready,high,
NOE-P37-ZH-U010,NOE-P37-ZH-S001,10.1,subsection_opening,P31 lines 18635-18637; source lines 23-25,Hans lines 52-54,§1 notation and semisimplicity setup,,complete,mapped_and_automated_parity_checked,handoff_ready,high,
NOE-P37-ZH-U011,NOE-P37-ZH-S001,11,theorem,P31 lines 18639-18650; source lines 27-38,Hans lines 56-67,Theorem 1 maximality criterion,NOE-P37-ZH-U010,complete,mapped_and_automated_parity_checked,handoff_ready,high,
NOE-P37-ZH-N005,NOE-P37-ZH-U011,11.1,footnote,P31 line 18642; source line 30,Hans line 59,Noether 1929 group-ring discriminant citation,,complete,footnote_locus_and_text_checked,handoff_ready,high,
