structural_id,work_id,unit_type,title,parent_id,order,authority_path,authority_locator,authority_sha256,authority_language,target_count,target_languages,target_locators,completion_state,review_state,publication_state,continuation_cursor,boundary_confidence,ambiguity,decision_ids
CJK-STR-NOE-P37-WORK,NOE-P37,work,NOE-P37,,0,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,sealed P31; logical article exact-CRLF SHA-256 AF3B34ACF4FF8D91850AC56C4F86447ABC61E6641FF9795BEFBFDA004788585D; LF comparison SHA-256 68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B; original JRAM pp.147-152 visually checked,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,complete file|complete file,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,high,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-SECTION-001,NOE-P37,section,37. Normalbasis bei Körpern ohne höhere Verzweigung,CJK-STR-NOE-P37-WORK,1,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 1-1,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 29-29|lines 31-31,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,high,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-CITATION-NOTE-001,NOE-P37,citation_note,"Journal f. d. reine u. angew. Math. 167 (1932), S. 147--152",CJK-STR-NOE-P37-SECTION-001,2,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 3-5,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 31-33|lines 33-35,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,high,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-PARAGRAPH-001,NOE-P37,paragraph,Von Emmy Noether in Göttingen.,CJK-STR-NOE-P37-SECTION-001,3,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 7-9,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 28-28|lines 30-30,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,high,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-PARAGRAPH-002,NOE-P37,paragraph,Unter Normalbasis eines Galoisschen Zahlkörpers \(K/k\) versteht man eine aus konjugierten Elementen bestehende Basis der Hauptordnung \(\) von \(K\) in bezug a,CJK-STR-NOE-P37-SECTION-001,4,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 11-11,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 35-37|lines 37-39,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,high,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-BIBLIOGRAPHY-ITEM-001,NOE-P37,bibliography_item,"Vgl. A. Speiser, Gruppendeterminante und Körperdiskriminante, § 6. Math. Ann. 77 (1916), S. 546--562.",CJK-STR-NOE-P37-PARAGRAPH-002,5,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 11-11; inline note 1,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 39-39|lines 41-41,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,medium,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-PARAGRAPH-003,NOE-P37,paragraph,"Für alle Stellen \(\), wo \(\) nicht im Grad von \(K/k\) aufgeht, existiert eine Normalbasis. Insbesondere also: Besitzt \(K/k\) keine höhere Verzweigung, so ex",CJK-STR-NOE-P37-SECTION-001,6,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 13-13,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 41-41|lines 41-41,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,high,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-EXAMPLE-001,NOE-P37,example,"Dieser letzteren Aussage ist zuzufügen, daß -- entgegen einer Vermutung von E. Artin -- der Übergang zu seinen FührernE. Artin, Über die gruppentheoretische Str",CJK-STR-NOE-P37-SECTION-001,7,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 15-15,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 43-44|lines 45-46,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,high,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-BIBLIOGRAPHY-ITEM-002,NOE-P37,bibliography_item,"E. Artin, Über die gruppentheoretische Struktur der Diskriminante. J. f. Math. 164 (1931), S. 1--11.",CJK-STR-NOE-P37-EXAMPLE-001,8,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 15-15; inline note 1,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 43-44|lines 45-46,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,medium,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-NOTE-001,NOE-P37,note,"[6. 10. 31.] Daß auch allgemein noch idealtheoretische Überlegungen notwendig sein werden, zeigt das folgende, mir von M. Deuring mitgeteilte -- beliebig zu var",CJK-STR-NOE-P37-EXAMPLE-001,9,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 15-15; inline note 2,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 43-44|lines 45-46,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,medium,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-PROOF-001,NOE-P37,proof,"Der Beweis für die Existenz der Normalbasis unter den obigen Voraussetzungen beruht darauf, daß \(/\), aufgefaßt als Galoismodul -- d. h. als \(\)-Modul mit den",CJK-STR-NOE-P37-SECTION-001,10,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 17-17,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 39-39|None,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,high,one or more target correspondences are held,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
CJK-STR-NOE-P37-BIBLIOGRAPHY-ITEM-003,NOE-P37,bibliography_item,"Vgl. H. Hasse, Über \(\)-adische Schiefkörper und ihre Bedeutung für die Arithmetik hyperkomplexer Zahlsysteme, Sätze 46 und 47. Math. Ann. 104 (1931), S. 495--",CJK-STR-NOE-P37-PROOF-001,11,evidence://local-workspace/interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper37_zh_rebase_001_20260718\source\Noether_Paper37_German_P31_logical_article_LF.tex,lines 17-17; inline note 1,68C72173E0C060BC68CB3651AF078ACE82B4D5806C8A41584632AA2BB4A9B27B,de,2,zh-Hans-CN|zh-Hant-controlled,lines 46-46|lines 48-48,complete,internal_source_parity_build_render_review,not_handed_off,Paper 37 target/build/render complete; typed-evidence and freeze/handoff integration open; external and regional review remain open,medium,,ZH-D034|ZH-D036|ZH-D038|ZH-D039|ZH-D041
